"Code","Mouse_ID","Year","HI","HI_NLoci","Longitude","Latitude"
"MILMC47","SK_3102","2015",0.88,13,13.595,53.1158
"MOLK12","AA_0209","2016",0.7391304348,12,14.0672,52.4019
"MOLK12","AA_0207","2016",0.64,13,14.0672,52.4019
"NETEM7","SK_2935","2014",0.84,13,13.7755555555556,53.0866666666667
"NEUG21","SK_2834","2014",0.8,14,14.1205555555556,52.7547222222222
"NEUG21","SK_2832","2014",0.8,13,14.1205555555556,52.7547222222222
"NEUG21","SK_2833","2014",0.84,13,14.1205555555556,52.7547222222222
"NEUG21","SK_3104","2015",0.85,14,14.1205555555556,52.7547222222222
"NEUG21","SK_3364","2015",0.8,13,14.1205555555556,52.7547222222222
"NEUG21","SK_3108","2015",0.84,13,14.1205555555556,52.7547222222222
"NEULO9","SK_3175","2015",0.08,13,13.1972222222222,52.9008333333333
"NEULO9","SK_3172","2015",0,13,13.1972222222222,52.9008333333333
"NEULO9","SK_3152","2015",0.32,13,13.1972222222222,52.9008333333333
"NEULO9","SK_2921","2014",0,8,13.1972222222222,52.9008333333333
"NEULO9","SK_2917","2014",0,14,13.1972222222222,52.9008333333333
"NEULO9","SK_2918","2014",0,14,13.1972222222222,52.9008333333333
"NEULO9","SK_2920","2014",0.2,13,13.1972222222222,52.9008333333333
"NEULO9","SK_2919","2014",0,13,13.1972222222222,52.9008333333333
"NEULUD","AA_0182","2016",0.04,13,13.1725,53.0503
"NEUM39","SK_3146","2015",0.85,14,14.1611,52.7408
"NEUM39","SK_3160","2015",0.92,13,14.1611,52.7408
"NEUM39","SK_3161","2015",0.96,13,14.1611,52.7408
"NEUR14","SK_2905","2014",0.9,14,14.1822222222222,52.7897222222222
"NEUR14","SK_2846","2014",0.96,13,14.1822222222222,52.7897222222222
"NEUR14","SK_2845","2014",0.88,13,14.1822222222222,52.7897222222222
"NEUR14","SK_2894","2014",0.96,13,14.1822222222222,52.7897222222222
"NEUR14","SK_2849","2014",0.88,13,14.1822222222222,52.7897222222222
"OEHN","AA_0096","2016",0,6,13.0439,51.93
"ORTB7","SK_3367","2015",0.9,14,13.7586,53.1406
"ORTB7","SK_3139","2015",0.9,14,13.7586,53.1406
"ORTB7","SK_3147","2015",0.9,14,13.7586,53.1406
"ORTB7","SK_3138","2015",0.8947368421,13,13.7586,53.1406
"ORTB7","SK_3143","2015",0.9,14,13.7586,53.1406
"ORTB7","SK_3140","2015",0.88,13,13.7586,53.1406
"PAPP1","SK_3368","2015",0.76,13,13.6506,53.2108
"PAPP1","SK_3148","2015",0.8,13,13.6506,53.2108
"PAPP1","SK_3149","2015",0.8,13,13.6506,53.2108
"PAUS","SK_2823","2014",0,13,13.0447222222222,52.6372222222222
"PAUS","SK_2821","2014",0,14,13.0447222222222,52.6372222222222
"PAUS","SK_2824","2014",0,13,13.0447222222222,52.6372222222222
"PAUS","SK_2822","2014",0.1,14,13.0447222222222,52.6372222222222
"PAUS","SK_2825","2014",0,14,13.0447222222222,52.6372222222222
"PAUS","SK_3195","2015",0,14,13.0447222222222,52.6372222222222
"PREN14","AA_0143","2016",0,13,13.5544,52.7881
