"","Got.the.sheet.","location","Adress","GPS.coordinates.long","GPS.coordinates.lat","trapping_date","trapping_time","number_of_traps","collection_date","collection_time","number_of_mice","collection_team","comment..by.catch..etc.","area","Y_N","MperT"
"120","","","Dorfstrasse 34a, Ringenwalde",53.0575,13.7212,"26.09.2016","11h52",3,"27.09.2016","12h15",0,"Paula-Naomi","","B","None",0
"121","","E_ANDE","An der Schäferei 10, 15518, Steinhöfel",52.430311,14.043857,"26.09.2016","18h00",30,"27.09.2016","12h00",1,"Fiona- Irina","","D","Mm",0.0333333333333333
"122","","","Max-Schmelingstr. 31, 15374, Hoppegarten",52.489685,14.018114,"26.09.2016","11h20",8,"27.09.2016","11h00",0,"Fiona- Irina","1 Spitzmaus","D","None",0
"123","","","Hirsegarten 6d, 15528, Speenhagen",52.33122,13.886509,"26.09.2016","12h00",25,"26.09.2016","16h00",0,"Fiona- Irina","1 Spitzmaus, 1 Wühlmaus","D","None",0
"124","","","Hirsegarten 5, Spreenhagen",52.335667,13.884526,"26.09.2016","11h20",30,"26.09.2016","16h20",0,"Fiona- Irina","","D","None",0
"125","","","Hauptstr. 34, Sprenhagen",52.340229,13.875007,"26.09.2016","10h40",22,"26.09.2016","12h00",0,"Fiona- Irina","","D","None",0
"126","","E_STE1","Steinhöfelerstr. 1, 15518, Steinhöfel Buchholz",52.421551,14.127122,"26.09.2016","14h20",30,"27.09.2016","13h00",1,"Fiona- Irina","","D","Mm",0.0333333333333333
"130","","E_DU19","Dubenerhauptstr. 19, 15926",51.897811,13.809616,"27.09.2016","10h40",27,"28.09.2016","11h00",13,"Emanuel-Nicole-Phuong","1 M.m entwischt ","F","Mm",0.481481481481481
"131","","E_LUCK","Freiimfelde 1 15926 Luckau/ Duben",51.885597,13.787119,"27.09.2016","11h10",24,"28.09.2016","11h30",2,"Emanuel-Nicole-Phuong","","F","Mm",0.0833333333333333
"132","","E_HIND","Hindenbergerdorfstr. 31 03222",51.853542,13.847336,"27.09.2016","14h30",28,"28.09.2016","12h00",13,"Emanuel-Nicole-Phuong ","3 junge M.m tot","F","Mm",0.464285714285714
"133","","","Uckeroergutshof 3, 15926 Luckau",51.854556,13.614258,"27.09.2016","13h15",13,"28.09.2016","13h30",0,"Emanuel-Nicole-Phuong","","F","None",0
"134","","E_DORW","Dorfweg. 21, 15936 Dahme",51.848838,13.534375,"27.09.2016","12h00",23,"28.09.2016","14h00",3,"Emanuel-Nicole-Phuong","2 Spitzmäuse (1 tot)","F","Mm",0.130434782608696
"135","","","Heckelbergerstr. 6, 16259 Brunow",52.731077,13.867283,"27.09.2016","15h50",5,"28.09.2016","14h40",0,"Gregor-Pedro","","C","None",0
"136","","","Serwester Dorfstr. 56, Serwest",52.933813,13.991718,"27.09.2016","10h00",8,"28.09.2016","12h00",0,"Gregor-Pedro","","C","None",0
"137","","","Felchower Straße 15a, Crussow",53.005224,14.080622,"27.09.2016","11h45",5,"28.09.2016","10h00",0,"Gregor-Pedro","","C","None",0
"138","","E_MU14","Mühlengasse 14, 16348 Wandlitz (Prenden)",52.78755,13.55461,"22.09.2016","10h45",24,"27.09.2016","14h00",1,"Victor-Sascha-Naomi","","B","Mm",0.0416666666666667
"139","","E_GERS","Böckenberg 31, 17268 Gerswalde",53.13322,13.755,"27.09.2016","15h00",30,"28.09.2016","15h15",2,"Paula-Naomi-Sascha","+1 Wühlmaus","B","Mm",0.0666666666666667
"140","","","Templiner Str. 22, Temmen-Ringenwalde",53.0602,13.7145,"26.09.2016","13h00",17,"28.09.2016","14h30",0,"Paula-Naomi-Sascha","","B","None",0
"141","","","Poratz 18",53.0629,13.7926,"26.09.2016","15h30",8,"28.09.2016","13h45",0,"Paula-Naomi-Sascha","","B","None",0
"142","","","Lindenallee 3A, 17268 Temmen-Ringenwalde",53.098183,13.7527,"27.09.2016","11h45",30,"28.09.2016","13h15",0,"Paula-Naomi-Sascha","","B","None",0
"143","","STEG1","Fredenwalder Weg 1, Stegelitz",53.126703,13.843372,"27.09.2016","15h30",11,"28.09.2016","13h00",1,"Paula-Naomi-Sascha","+3 Spitzmäuse","B","Mm",0.0909090909090909
"144","","","Werbelliner Dorfstraße 27, Werbellin",52.890079,13.7027,"27.09.2016","16h15",13,"28.09.2016","12h00",0,"Paula-Naomi-Sascha","","B","None",0
