"","Mouse_ID","pop","counts"
"720","AA_0728","IFNy_CD8",0.96
"721","AA_0729","CD4",38.85
"722","AA_0729","Treg",10.305
"723","AA_0729","Div_Treg",18.9
"724","AA_0729","Treg17",9.28
"725","AA_0729","Treg_prop",89.7
"726","AA_0729","Th1",3.67
"727","AA_0729","Div_Th1",24.9
"728","AA_0729","Th17",1.4
"729","AA_0729","Div_Th17",5.22
"730","AA_0729","CD8",9.26
"731","AA_0729","Act_CD8",13.5
"732","AA_0729","Div_Act_CD8",34.1
"733","AA_0729","IFNy_CD4",3.405
"734","AA_0729","IL17A_CD4",0.325
"735","AA_0729","IFNy_CD8",11.37
"736","AA_0730","CD4",44.8
"737","AA_0730","Treg",6.895
"738","AA_0730","Div_Treg",32.2
"739","AA_0730","Treg17",12.85
"740","AA_0730","Treg_prop",93.1
"741","AA_0730","Th1",1.395
"742","AA_0730","Div_Th1",51.4
"743","AA_0730","Th17",2.45
"744","AA_0730","Div_Th17",21.2
"745","AA_0730","CD8",17.45
"746","AA_0730","Act_CD8",12.155
"747","AA_0730","Div_Act_CD8",19.8
"748","AA_0730","IFNy_CD4",0.91
"749","AA_0730","IL17A_CD4",0.1025
"750","AA_0730","IFNy_CD8",31.9
"751","AA_0763","CD4",28.7
"752","AA_0763","Treg",4.49
"753","AA_0763","Div_Treg",25.8
"754","AA_0763","Treg17",8.63
"755","AA_0763","Treg_prop",95.5
"756","AA_0763","Th1",4.99
"757","AA_0763","Div_Th1",46.1
"758","AA_0763","Th17",0.94
"759","AA_0763","Div_Th17",25.1
"760","AA_0763","CD8",11.2
"761","AA_0763","Act_CD8",5.26
"762","AA_0763","Div_Act_CD8",40.8
"763","AA_0763","IFNy_CD4",2.135
"764","AA_0763","IL17A_CD4",0.194
"765","AA_0763","IFNy_CD8",5.995
"766","AA_0764","CD4",45.4
"767","AA_0764","Treg",8.66
"768","AA_0764","Div_Treg",19.3
"769","AA_0764","Treg17",7.23
"770","AA_0764","Treg_prop",91.3
"771","AA_0764","Th1",1.96
"772","AA_0764","Div_Th1",36
"773","AA_0764","Th17",1.09
"774","AA_0764","Div_Th17",14.3
"775","AA_0764","CD8",12.5
"776","AA_0764","Act_CD8",10.2
"777","AA_0764","Div_Act_CD8",19.4
"778","AA_0764","IFNy_CD4",2.955
"779","AA_0764","IL17A_CD4",0.585
"780","AA_0764","IFNy_CD8",10.03
"781","AA_0765","CD4",46.1
"782","AA_0765","Treg",4.2
"783","AA_0765","Div_Treg",25
"784","AA_0765","Treg17",12.8
"785","AA_0765","Treg_prop",96
"786","AA_0765","Th1",2.06
"787","AA_0765","Div_Th1",39.5
"788","AA_0765","Th17",1.19
"789","AA_0765","Div_Th17",21.3
"790","AA_0765","CD8",9.41
"791","AA_0765","Act_CD8",7.89
"792","AA_0765","Div_Act_CD8",39.4
"793","AA_0765","IFNy_CD4",1.905
"794","AA_0765","IL17A_CD4",0.49
"795","AA_0765","IFNy_CD8",4.215
"796","AA_0766","CD4",32.8
"797","AA_0766","Treg",3.53
"798","AA_0766","Div_Treg",29.4
"799","AA_0766","Treg17",9.48
"800","AA_0766","Treg_prop",96.5
"801","AA_0766","Th1",1.09
"802","AA_0766","Div_Th1",49.2
"803","AA_0766","Th17",1.01
"804","AA_0766","Div_Th17",22.4
"805","AA_0766","CD8",4.97
"806","AA_0766","Act_CD8",4.97
"807","AA_0766","Div_Act_CD8",37.8
"808","AA_0766","IFNy_CD4",1.5
"809","AA_0766","IL17A_CD4",0
"810","AA_0766","IFNy_CD8",8.005
"811","AA_0767","CD4",51.1
"812","AA_0767","Treg",2.69
"813","AA_0767","Div_Treg",39.8
"814","AA_0767","Treg17",9.78
"815","AA_0767","Treg_prop",97.3
"816","AA_0767","Th1",2.1
"817","AA_0767","Div_Th1",46.8
"818","AA_0767","Th17",1.1
"819","AA_0767","Div_Th17",25.8
"820","AA_0767","CD8",10.7
"821","AA_0767","Act_CD8",5.64
"822","AA_0767","Div_Act_CD8",50.4
"823","AA_0767","IFNy_CD4",2.85
"824","AA_0767","IL17A_CD4",0.125
"825","AA_0767","IFNy_CD8",20
"826","AA_0768","CD4",56
"827","AA_0768","Treg",9.1
"828","AA_0768","Div_Treg",11.5
"829","AA_0768","Treg17",10.1
"830","AA_0768","Treg_prop",90.9
"831","AA_0768","Th1",4.48
"832","AA_0768","Div_Th1",44.1
"833","AA_0768","Th17",3.61
"834","AA_0768","Div_Th17",9.33
"835","AA_0768","CD8",3.94
"836","AA_0768","Act_CD8",9.32
"837","AA_0768","Div_Act_CD8",53.3
"838","AA_0768","IFNy_CD4",11.345
"839","AA_0768","IL17A_CD4",0.565
"840","AA_0768","IFNy_CD8",29.2
"841","AA_0769","CD4",35.9
"842","AA_0769","Treg",3.07
"843","AA_0769","Div_Treg",38.4
"844","AA_0769","Treg17",11
"845","AA_0769","Treg_prop",96.9
"846","AA_0769","Th1",2.2
"847","AA_0769","Div_Th1",40.7
"848","AA_0769","Th17",1.23
"849","AA_0769","Div_Th17",48.9
"850","AA_0769","CD8",7.37
"851","AA_0769","Act_CD8",7.02
"852","AA_0769","Div_Act_CD8",42.8
"853","AA_0769","IFNy_CD4",3.125
"854","AA_0769","IL17A_CD4",0.3
"855","AA_0769","IFNy_CD8",26.15
"856","AA_0770","CD4",18.9
"857","AA_0770","Treg",7.34
"858","AA_0770","Div_Treg",33.2
"859","AA_0770","Treg17",3.65
"860","AA_0770","Treg_prop",92.7
"861","AA_0770","Th1",15.8
"862","AA_0770","Div_Th1",42.8
"863","AA_0770","Th17",2.98
"864","AA_0770","Div_Th17",13.6
"865","AA_0770","CD8",10.7
"866","AA_0770","Act_CD8",34.9
"867","AA_0770","Div_Act_CD8",51.6
"868","AA_0770","IFNy_CD4",6.78
"869","AA_0770","IL17A_CD4",0.355
"870","AA_0770","IFNy_CD8",20.48
"871","AA_0771","CD4",25.2
"872","AA_0771","Treg",5.77
"873","AA_0771","Div_Treg",13.8
"874","AA_0771","Treg17",5.59
"875","AA_0771","Treg_prop",94
"876","AA_0771","Th1",6.37
"877","AA_0771","Div_Th1",31.9
"878","AA_0771","Th17",0.9
"879","AA_0771","Div_Th17",14.7
"880","AA_0771","CD8",13.9
"881","AA_0771","Act_CD8",22.1
"882","AA_0771","Div_Act_CD8",26.7
"883","AA_0771","IFNy_CD4",10.765
"884","AA_0771","IL17A_CD4",0.4
"885","AA_0771","IFNy_CD8",18.45
"886","AA_0772","CD4",46.8
"887","AA_0772","Treg",4.66
"888","AA_0772","Div_Treg",30
"889","AA_0772","Treg17",9.31
"890","AA_0772","Treg_prop",95.3
"891","AA_0772","Th1",5.6
"892","AA_0772","Div_Th1",34.7
"893","AA_0772","Th17",1.43
"894","AA_0772","Div_Th17",26.2
"895","AA_0772","CD8",10.1
"896","AA_0772","Act_CD8",13.3
"897","AA_0772","Div_Act_CD8",30.7
"898","AA_0772","IFNy_CD4",1.53
"899","AA_0772","IL17A_CD4",0.125
"900","AA_0772","IFNy_CD8",8.51
"901","AA_0773","CD4",47.2
"902","AA_0773","Treg",3.87
"903","AA_0773","Div_Treg",22.2
"904","AA_0773","Treg17",10.7
"905","AA_0773","Treg_prop",96.1
"906","AA_0773","Th1",1.72
"907","AA_0773","Div_Th1",40.4
"908","AA_0773","Th17",1
"909","AA_0773","Div_Th17",26.7
"910","AA_0773","CD8",9.06
"911","AA_0773","Act_CD8",7.7
"912","AA_0773","Div_Act_CD8",49.2
"913","AA_0773","IFNy_CD4",2.395
"914","AA_0773","IL17A_CD4",0.205
"915","AA_0773","IFNy_CD8",16.65
"916","AA_0774","CD4",52
"917","AA_0774","Treg",3.04
"918","AA_0774","Div_Treg",18.9
"919","AA_0774","Treg17",9.14
"920","AA_0774","Treg_prop",97
"921","AA_0774","Th1",0.93
"922","AA_0774","Div_Th1",36.5
"923","AA_0774","Th17",0.77
"924","AA_0774","Div_Th17",9.3
"925","AA_0774","CD8",6.9
"926","AA_0774","Act_CD8",3.79
"927","AA_0774","Div_Act_CD8",48.3
"928","AA_0774","IFNy_CD4",2.295
"929","AA_0774","IL17A_CD4",0.11
"930","AA_0774","IFNy_CD8",13.46
"931","AA_0775","CD4",39.7
"932","AA_0775","Treg",4.39
"933","AA_0775","Div_Treg",25.5
"934","AA_0775","Treg17",6.73
"935","AA_0775","Treg_prop",95.6
"936","AA_0775","Th1",3.36
"937","AA_0775","Div_Th1",39
"938","AA_0775","Th17",1.15
"939","AA_0775","Div_Th17",29.8
"940","AA_0775","CD8",6.44
"941","AA_0775","Act_CD8",5.2
"942","AA_0775","Div_Act_CD8",49.2
"943","AA_0775","IFNy_CD4",6.2
"944","AA_0775","IL17A_CD4",0.435
"945","AA_0775","IFNy_CD8",29.9
"946","AA_0776","CD4",35.3
"947","AA_0776","Treg",6.27
"948","AA_0776","Div_Treg",27.5
"949","AA_0776","Treg17",5.09
"950","AA_0776","Treg_prop",93.3
"951","AA_0776","Th1",6.5
"952","AA_0776","Div_Th1",30.1
"953","AA_0776","Th17",1.1
"954","AA_0776","Div_Th17",20
"955","AA_0776","CD8",13.5
"956","AA_0776","Act_CD8",12.8
"957","AA_0776","Div_Act_CD8",43.7
"958","AA_0776","IFNy_CD4",3.71
"959","AA_0776","IL17A_CD4",0.555
"960","AA_0776","IFNy_CD8",4.945
"961","AA_0777","CD4",29.3
"962","AA_0777","Treg",2.89
"963","AA_0777","Div_Treg",34.2
"964","AA_0777","Treg17",14.3
"965","AA_0777","Treg_prop",97.1
"966","AA_0777","Th1",12.4
"967","AA_0777","Div_Th1",39.8
"968","AA_0777","Th17",1.1
"969","AA_0777","Div_Th17",32.9
"970","AA_0777","CD8",15.8
"971","AA_0777","Act_CD8",14.4
"972","AA_0777","Div_Act_CD8",35.8
"973","AA_0777","IFNy_CD4",8.495
"974","AA_0777","IL17A_CD4",0.7
"975","AA_0777","IFNy_CD8",17.62
"976","AA_0778","CD4",36.2
"977","AA_0778","Treg",5.87
"978","AA_0778","Div_Treg",22.8
"979","AA_0778","Treg17",7.95
"980","AA_0778","Treg_prop",94.1
"981","AA_0778","Th1",2.68
"982","AA_0778","Div_Th1",43.3
"983","AA_0778","Th17",1.18
"984","AA_0778","Div_Th17",32.9
"985","AA_0778","CD8",10.3
"986","AA_0778","Act_CD8",6.58
"987","AA_0778","Div_Act_CD8",68.4
"988","AA_0778","IFNy_CD4",4.315
"989","AA_0778","IL17A_CD4",0.46
"990","AA_0778","IFNy_CD8",15.35
"991","AA_0779","CD4",34.7
"992","AA_0779","Treg",7.19
"993","AA_0779","Div_Treg",22.4
"994","AA_0779","Treg17",8.6
"995","AA_0779","Treg_prop",92.8
"996","AA_0779","Th1",5.01
"997","AA_0779","Div_Th1",31.7
"998","AA_0779","Th17",3.38
"999","AA_0779","Div_Th17",20.6
"1000","AA_0779","CD8",7.61
"1001","AA_0779","Act_CD8",10.7
"1002","AA_0779","Div_Act_CD8",50.6
"1003","AA_0779","IFNy_CD4",5.1
"1004","AA_0779","IL17A_CD4",0.635
"1005","AA_0779","IFNy_CD8",24.5
"1006","AA_0780","CD4",46
"1007","AA_0780","Treg",2.41
"1008","AA_0780","Div_Treg",32.4
"1009","AA_0780","Treg17",5.64
"1010","AA_0780","Treg_prop",97.6
"1011","AA_0780","Th1",0.96
"1012","AA_0780","Div_Th1",37.6
"1013","AA_0780","Th17",0.69
"1014","AA_0780","Div_Th17",17.6
"1015","AA_0780","CD8",7.1
"1016","AA_0780","Act_CD8",5.04
"1017","AA_0780","Div_Act_CD8",39.8
"1018","AA_0780","IFNy_CD4",2.065
"1019","AA_0780","IL17A_CD4",0.14
"1020","AA_0780","IFNy_CD8",21.2
"1021","AA_0781","CD4",38.9
"1022","AA_0781","Treg",4.81
"1023","AA_0781","Div_Treg",32.6
"1024","AA_0781","Treg17",14.2
"1025","AA_0781","Treg_prop",95.2
"1026","AA_0781","Th1",1.51
"1027","AA_0781","Div_Th1",54.3
"1028","AA_0781","Th17",0.8
"1029","AA_0781","Div_Th17",18.5
"1030","AA_0781","CD8",25
"1031","AA_0781","Act_CD8",4.49
"1032","AA_0781","Div_Act_CD8",37.6
"1033","AA_0781","IFNy_CD4",1.72
"1034","AA_0781","IL17A_CD4",0.1215
"1035","AA_0781","IFNy_CD8",1.73
"1036","AA_0782","CD4",59.7
"1037","AA_0782","Treg",3.94
"1038","AA_0782","Div_Treg",40.6
"1039","AA_0782","Treg17",13.5
"1040","AA_0782","Treg_prop",96.1
"1041","AA_0782","Th1",0.5
"1042","AA_0782","Div_Th1",56
"1043","AA_0782","Th17",1.39
"1044","AA_0782","Div_Th17",30
"1045","AA_0782","CD8",9.94
"1046","AA_0782","Act_CD8",4.81
"1047","AA_0782","Div_Act_CD8",54.8
"1048","AA_0782","IFNy_CD4",0.6
"1049","AA_0782","IL17A_CD4",0.13
"1050","AA_0782","IFNy_CD8",6.655
"1051","AA_0783","CD4",45.8
"1052","AA_0783","Treg",5.93
"1053","AA_0783","Div_Treg",22
"1054","AA_0783","Treg17",13.1
"1055","AA_0783","Treg_prop",94.1
"1056","AA_0783","Th1",1.08
"1057","AA_0783","Div_Th1",46.3
"1058","AA_0783","Th17",0.75
"1059","AA_0783","Div_Th17",14.3
"1060","AA_0783","CD8",17
"1061","AA_0783","Act_CD8",5.68
"1062","AA_0783","Div_Act_CD8",19
"1063","AA_0783","IFNy_CD4",1.18
"1064","AA_0783","IL17A_CD4",0.0655
"1065","AA_0783","IFNy_CD8",0.845
"1066","AA_0784","CD4",42.4
"1067","AA_0784","Treg",6.18
"1068","AA_0784","Div_Treg",12.4
"1069","AA_0784","Treg17",6.18
"1070","AA_0784","Treg_prop",93.8
"1071","AA_0784","Th1",0.95
"1072","AA_0784","Div_Th1",47.6
"1073","AA_0784","Th17",0.84
"1074","AA_0784","Div_Th17",9.7
"1075","AA_0784","CD8",13.6
"1076","AA_0784","Act_CD8",6.83
"1077","AA_0784","Div_Act_CD8",21.4
"1078","AA_0784","IFNy_CD4",1.52
"1079","AA_0784","IL17A_CD4",0.085
"1080","AA_0784","IFNy_CD8",0.425
"1081","AA_0785","CD4",52.6
"1082","AA_0785","Treg",6.21
"1083","AA_0785","Div_Treg",16.2
"1084","AA_0785","Treg17",8.55
"1085","AA_0785","Treg_prop",93.8
"1086","AA_0785","Th1",1.91
"1087","AA_0785","Div_Th1",36.5
"1088","AA_0785","Th17",1.03
"1089","AA_0785","Div_Th17",14.3
"1090","AA_0785","CD8",19.2
"1091","AA_0785","Act_CD8",8.64
"1092","AA_0785","Div_Act_CD8",32.7
"1093","AA_0785","IFNy_CD4",6.61
"1094","AA_0785","IL17A_CD4",0.195
"1095","AA_0785","IFNy_CD8",5.945
"1096","AA_0786","CD4",34.6
"1097","AA_0786","Treg",9.82
"1098","AA_0786","Div_Treg",14.3
"1099","AA_0786","Treg17",6.94
"1100","AA_0786","Treg_prop",90.2
"1101","AA_0786","Th1",1.88
"1102","AA_0786","Div_Th1",58.6
"1103","AA_0786","Th17",1.31
"1104","AA_0786","Div_Th17",17.7
"1105","AA_0786","CD8",29.2
"1106","AA_0786","Act_CD8",2.91
"1107","AA_0786","Div_Act_CD8",71.1
"1108","AA_0786","IFNy_CD4",3.785
"1109","AA_0786","IL17A_CD4",0
"1110","AA_0786","IFNy_CD8",1.19
"1111","AA_0787","CD4",39.1
"1112","AA_0787","Treg",7.01
"1113","AA_0787","Div_Treg",17.9
"1114","AA_0787","Treg17",4.88
"1115","AA_0787","Treg_prop",93
"1116","AA_0787","Th1",1.71
"1117","AA_0787","Div_Th1",61.5
"1118","AA_0787","Th17",1.35
"1119","AA_0787","Div_Th17",17.5
"1120","AA_0787","CD8",13.4
"1121","AA_0787","Act_CD8",9.7
"1122","AA_0787","Div_Act_CD8",75.6
"1123","AA_0787","IFNy_CD4",2.8015
"1124","AA_0787","IL17A_CD4",0.355
"1125","AA_0787","IFNy_CD8",3.235
"1126","AA_0788","CD4",47.7
"1127","AA_0788","Treg",6.19
"1128","AA_0788","Div_Treg",19.3
"1129","AA_0788","Treg17",3.36
"1130","AA_0788","Treg_prop",93.8
"1131","AA_0788","Th1",1.33
"1132","AA_0788","Div_Th1",48.9
"1133","AA_0788","Th17",0.65
"1134","AA_0788","Div_Th17",20.1
"1135","AA_0788","CD8",22.6
"1136","AA_0788","Act_CD8",4.42
"1137","AA_0788","Div_Act_CD8",33.6
"1138","AA_0788","IFNy_CD4",2.735
"1139","AA_0788","IL17A_CD4",0.515
"1140","AA_0788","IFNy_CD8",2.895
"1141","AA_0789","CD4",40.4
"1142","AA_0789","Treg",8.65
"1143","AA_0789","Div_Treg",35.4
"1144","AA_0789","Treg17",1.54
"1145","AA_0789","Treg_prop",91.3
"1146","AA_0789","Th1",3.75
"1147","AA_0789","Div_Th1",69.9
"1148","AA_0789","Th17",0.6
"1149","AA_0789","Div_Th17",49.6
"1150","AA_0789","CD8",21.3
"1151","AA_0789","Act_CD8",11.4
"1152","AA_0789","Div_Act_CD8",70.3
"1153","AA_0789","IFNy_CD4",7.87
"1154","AA_0789","IL17A_CD4",0.39
"1155","AA_0789","IFNy_CD8",6.07
"1156","AA_0790","CD4",43.4
"1157","AA_0790","Treg",4.77
"1158","AA_0790","Div_Treg",35.8
"1159","AA_0790","Treg17",6.95
"1160","AA_0790","Treg_prop",95.2
"1161","AA_0790","Th1",3.4
"1162","AA_0790","Div_Th1",50.3
"1163","AA_0790","Th17",1.65
"1164","AA_0790","Div_Th17",32.5
"1165","AA_0790","CD8",16.7
"1166","AA_0790","Act_CD8",13.8
"1167","AA_0790","Div_Act_CD8",30.2
"1168","AA_0790","IFNy_CD4",7.045
"1169","AA_0790","IL17A_CD4",0.3
"1170","AA_0790","IFNy_CD8",5.62
"1171","AA_0791","CD4",30.4
"1172","AA_0791","Treg",64.7
"1173","AA_0791","Div_Treg",0
"1174","AA_0791","Treg17",90.9
"1175","AA_0791","Treg_prop",35.3
"1176","AA_0791","Th1",50
"1177","AA_0791","Div_Th1",0
"1178","AA_0791","Th17",66.7
"1179","AA_0791","Div_Th17",0
"1180","AA_0791","CD8",1.79
"1181","AA_0791","Act_CD8",0
"1182","AA_0791","Div_Act_CD8",0
"1183","AA_0791","IFNy_CD4",1.325
"1184","AA_0791","IL17A_CD4",1.39
"1185","AA_0791","IFNy_CD8",1.735
"1186","AA_0792","CD4",34.9
"1187","AA_0792","Treg",7.94
"1188","AA_0792","Div_Treg",45
"1189","AA_0792","Treg17",2.48
"1190","AA_0792","Treg_prop",92.1
"1191","AA_0792","Th1",7.69
"1192","AA_0792","Div_Th1",79.9
"1193","AA_0792","Th17",0.66
"1194","AA_0792","Div_Th17",55
"1195","AA_0792","CD8",16.4
"1196","AA_0792","Act_CD8",14.2
"1197","AA_0792","Div_Act_CD8",69.2
"1198","AA_0792","IFNy_CD4",4.045
"1199","AA_0792","IL17A_CD4",0.495
"1200","AA_0792","IFNy_CD8",2.015
"1201","AA_0793","CD4",42.4
"1202","AA_0793","Treg",12.7
"1203","AA_0793","Div_Treg",13.2
"1204","AA_0793","Treg17",2.99
"1205","AA_0793","Treg_prop",87.3
"1206","AA_0793","Th1",6.86
"1207","AA_0793","Div_Th1",28.7
"1208","AA_0793","Th17",0.94
"1209","AA_0793","Div_Th17",14.9
"1210","AA_0793","CD8",24
"1211","AA_0793","Act_CD8",19.6
"1212","AA_0793","Div_Act_CD8",33.8
"1213","AA_0793","IFNy_CD4",4.17
"1214","AA_0793","IL17A_CD4",0.37
"1215","AA_0793","IFNy_CD8",6.1
"1216","AA_0794","CD4",26.6
"1217","AA_0794","Treg",14
"1218","AA_0794","Div_Treg",27
"1219","AA_0794","Treg17",2.24
"1220","AA_0794","Treg_prop",86
"1221","AA_0794","Th1",5.51
"1222","AA_0794","Div_Th1",63.8
"1223","AA_0794","Th17",0.74
"1224","AA_0794","Div_Th17",36.6
"1225","AA_0794","CD8",24.2
"1226","AA_0794","Act_CD8",28.7
"1227","AA_0794","Div_Act_CD8",80.4
"1228","AA_0794","IFNy_CD4",5.315
"1229","AA_0794","IL17A_CD4",0.55
"1230","AA_0794","IFNy_CD8",7.475
"1231","AA_0795","CD4",35
"1232","AA_0795","Treg",13.7
"1233","AA_0795","Div_Treg",19.5
"1234","AA_0795","Treg17",3.11
"1235","AA_0795","Treg_prop",86.3
"1236","AA_0795","Th1",4.11
"1237","AA_0795","Div_Th1",55.6
"1238","AA_0795","Th17",0.89
"1239","AA_0795","Div_Th17",35.1
"1240","AA_0795","CD8",22.7
"1241","AA_0795","Act_CD8",7.49
"1242","AA_0795","Div_Act_CD8",49.5
"1243","AA_0795","IFNy_CD4",8.11
"1244","AA_0795","IL17A_CD4",0.645
"1245","AA_0795","IFNy_CD8",6.225
"1246","AA_0796","CD4",37.5
"1247","AA_0796","Treg",11.1
"1248","AA_0796","Div_Treg",9.63
"1249","AA_0796","Treg17",7.82
"1250","AA_0796","Treg_prop",88.9
"1251","AA_0796","Th1",1.37
"1252","AA_0796","Div_Th1",42.6
"1253","AA_0796","Th17",0.85
"1254","AA_0796","Div_Th17",23.3
"1255","AA_0796","CD8",23.7
"1256","AA_0796","Act_CD8",1.55
"1257","AA_0796","Div_Act_CD8",40.4
"1258","AA_0796","IFNy_CD4",2.355
"1259","AA_0796","IL17A_CD4",0.2
"1260","AA_0796","IFNy_CD8",2.065
"1261","AA_0797","CD4",30.4
"1262","AA_0797","Treg",11.9
"1263","AA_0797","Div_Treg",40.2
"1264","AA_0797","Treg17",1.57
"1265","AA_0797","Treg_prop",88.1
"1266","AA_0797","Th1",6.53
"1267","AA_0797","Div_Th1",65.8
"1268","AA_0797","Th17",0.48
"1269","AA_0797","Div_Th17",57.7
"1270","AA_0797","CD8",26.2
"1271","AA_0797","Act_CD8",14.8
"1272","AA_0797","Div_Act_CD8",62.2
"1273","AA_0797","IFNy_CD4",6.24
"1274","AA_0797","IL17A_CD4",0.445
"1275","AA_0797","IFNy_CD8",14.535
"1276","AA_0798","CD4",37.6
"1277","AA_0798","Treg",8.47
"1278","AA_0798","Div_Treg",25.1
"1279","AA_0798","Treg17",8.18
"1280","AA_0798","Treg_prop",91.5
"1281","AA_0798","Th1",5.18
"1282","AA_0798","Div_Th1",51.7
"1283","AA_0798","Th17",1.72
"1284","AA_0798","Div_Th17",41.3
"1285","AA_0798","CD8",33.4
"1286","AA_0798","Act_CD8",7.38
"1287","AA_0798","Div_Act_CD8",32.7
"1288","AA_0798","IFNy_CD4",11.37
"1289","AA_0798","IL17A_CD4",0.575
"1290","AA_0798","IFNy_CD8",4.65
"1291","AA_0799","CD4",31.4
"1292","AA_0799","Treg",15.2
"1293","AA_0799","Div_Treg",24.6
"1294","AA_0799","Treg17",4.05
"1295","AA_0799","Treg_prop",84.8
"1296","AA_0799","Th1",5.96
"1297","AA_0799","Div_Th1",62.3
"1298","AA_0799","Th17",1.05
"1299","AA_0799","Div_Th17",32.7
"1300","AA_0799","CD8",27.1
"1301","AA_0799","Act_CD8",3.27
"1302","AA_0799","Div_Act_CD8",76.7
"1303","AA_0799","IFNy_CD4",5.705
"1304","AA_0799","IL17A_CD4",1.495
"1305","AA_0799","IFNy_CD8",4.02
"1306","AA_0800","CD4",46.9
"1307","AA_0800","Treg",11.8
"1308","AA_0800","Div_Treg",41.1
"1309","AA_0800","Treg17",16.2
"1310","AA_0800","Treg_prop",88.2
"1311","AA_0800","Th1",2.94
"1312","AA_0800","Div_Th1",61.6
"1313","AA_0800","Th17",3.26
"1314","AA_0800","Div_Th17",46.2
"1315","AA_0800","CD8",17.2
"1316","AA_0800","Act_CD8",5.6
"1317","AA_0800","Div_Act_CD8",52.1
"1318","AA_0800","IFNy_CD4",1.125
"1319","AA_0800","IL17A_CD4",0.235
"1320","AA_0800","IFNy_CD8",2.14
"1321","AA_0801","CD4",31.2
"1322","AA_0801","Treg",12.7
"1323","AA_0801","Div_Treg",16.4
"1324","AA_0801","Treg17",3.76
"1325","AA_0801","Treg_prop",87.3
"1326","AA_0801","Th1",4.97
"1327","AA_0801","Div_Th1",34.8
"1328","AA_0801","Th17",0.89
"1329","AA_0801","Div_Th17",26.5
"1330","AA_0801","CD8",44.4
"1331","AA_0801","Act_CD8",4.98
"1332","AA_0801","Div_Act_CD8",39
"1333","AA_0801","IFNy_CD4",7.115
"1334","AA_0801","IL17A_CD4",0.3735
"1335","AA_0801","IFNy_CD8",8.27
"1336","AA_0802","CD4",39
"1337","AA_0802","Treg",11.8
"1338","AA_0802","Div_Treg",12.9
"1339","AA_0802","Treg17",1.86
"1340","AA_0802","Treg_prop",88.2
"1341","AA_0802","Th1",2.74
"1342","AA_0802","Div_Th1",47.2
"1343","AA_0802","Th17",0.33
"1344","AA_0802","Div_Th17",23.2
"1345","AA_0802","CD8",37.8
"1346","AA_0802","Act_CD8",2.21
"1347","AA_0802","Div_Act_CD8",46.8
"1348","AA_0802","IFNy_CD4",8.965
"1349","AA_0802","IL17A_CD4",0.1135
"1350","AA_0802","IFNy_CD8",7.465
"1351","AA_0803","CD4",34.7
"1352","AA_0803","Treg",15.8
"1353","AA_0803","Div_Treg",15.2
"1354","AA_0803","Treg17",2.41
"1355","AA_0803","Treg_prop",84.2
"1356","AA_0803","Th1",1.93
"1357","AA_0803","Div_Th1",36.8
"1358","AA_0803","Th17",0.73
"1359","AA_0803","Div_Th17",14.9
"1360","AA_0803","CD8",20.8
"1361","AA_0803","Act_CD8",2.65
"1362","AA_0803","Div_Act_CD8",41.9
"1363","AA_0803","IFNy_CD4",5.565
"1364","AA_0803","IL17A_CD4",0.855
"1365","AA_0803","IFNy_CD8",10.12
"1366","AA_0804","CD4",31.8
"1367","AA_0804","Treg",13.9
"1368","AA_0804","Div_Treg",22.1
"1369","AA_0804","Treg17",1.62
"1370","AA_0804","Treg_prop",85.7
"1371","AA_0804","Th1",4.22
"1372","AA_0804","Div_Th1",56.8
"1373","AA_0804","Th17",0.4
"1374","AA_0804","Div_Th17",38.4
"1375","AA_0804","CD8",23.6
"1376","AA_0804","Act_CD8",4.97
"1377","AA_0804","Div_Act_CD8",63.3
"1378","AA_0804","IFNy_CD4",4.71
"1379","AA_0804","IL17A_CD4",0.74
"1380","AA_0804","IFNy_CD8",4.065
"1381","AA_0805","CD4",32.2
"1382","AA_0805","Treg",15
"1383","AA_0805","Div_Treg",33.1
"1384","AA_0805","Treg17",2.67
"1385","AA_0805","Treg_prop",84.5
"1386","AA_0805","Th1",7.33
"1387","AA_0805","Div_Th1",54.3
"1388","AA_0805","Th17",0.72
"1389","AA_0805","Div_Th17",33.8
"1390","AA_0805","CD8",22.4
"1391","AA_0805","Act_CD8",6.39
"1392","AA_0805","Div_Act_CD8",63.1
"1393","AA_0805","IFNy_CD4",3.27
"1394","AA_0805","IL17A_CD4",0.91
"1395","AA_0805","IFNy_CD8",3.785
"1396","AA_0806","CD4",35.4
"1397","AA_0806","Treg",16.7
"1398","AA_0806","Div_Treg",12.4
"1399","AA_0806","Treg17",3.72
"1400","AA_0806","Treg_prop",83.2
"1401","AA_0806","Th1",2.41
"1402","AA_0806","Div_Th1",42.6
"1403","AA_0806","Th17",0.87
"1404","AA_0806","Div_Th17",11.5
"1405","AA_0806","CD8",22.6
"1406","AA_0806","Act_CD8",4.02
"1407","AA_0806","Div_Act_CD8",40.9
"1408","AA_0806","IFNy_CD4",3.725
"1409","AA_0806","IL17A_CD4",0.295
"1410","AA_0806","IFNy_CD8",3.4
"1411","AA_0807","CD4",30.1
"1412","AA_0807","Treg",15
"1413","AA_0807","Div_Treg",17.2
"1414","AA_0807","Treg17",2.32
"1415","AA_0807","Treg_prop",84.5
"1416","AA_0807","Th1",5.32
"1417","AA_0807","Div_Th1",44.6
"1418","AA_0807","Th17",1.25
"1419","AA_0807","Div_Th17",13.2
