"","CD4","Treg","Div_Treg","Treg17","Th1","Div_Th1","Th17","Div_Th17","CD8","Act_CD8","Div_Act_CD8","IFNy_CD4","IL17A_CD4","IFNy_CD8","Mouse_ID","Position"
"90",11.1,9.08,51.4,14.7,3.01,49,9.9,23.4,4.4,6.62,60.9,3.46,0.38,0.94,"AA_0720","spleen"
"91",7.92,12,17.7,4.17,5.09,19,3.15,3.46,3.49,8.32,24.7,5.77,0.72,6.91,"AA_0721","spleen"
"92",22.9,7.79,24.5,3.45,10.7,42.1,1.76,16.9,11.3,13.1,43.4,9.04,0.49,10.3,"AA_0722","spleen"
"93",22.3,7.03,23.1,1.3,5.97,49.2,1.98,43.4,10.4,6.81,51.5,8.51,0.75,13,"AA_0723","spleen"
"94",36.2,10.6,25.5,7.54,0.77,53.9,1.41,44.4,8.72,5.03,55.4,9.1,0.27,12.7,"AA_0724","spleen"
"95",15.2,12.5,25.3,0.42,0.43,62.5,0.73,3.85,6.71,1.03,62,1.99,0.15,1.95,"AA_0725","spleen"
"96",42.6,4.7,20.9,7.3,0.89,23.9,1.93,7.03,10.1,4.84,28,2.51,0.33,6.17,"AA_0726","spleen"
"97",22.9,8.35,22.4,2,4.02,29.2,4.48,5.04,12.1,12.5,26.4,4.67,0.56,14.2,"AA_0727","spleen"
"98",42,4.27,36,15.4,1.87,30.8,9.6,8.25,10.3,7.32,23.8,1.5,0.32,1.15,"AA_0728","spleen"
"99",28.5,12.6,18.9,7.96,4.64,22.4,1.5,5.15,8.52,11.1,32.1,6.53,0.43,19.8,"AA_0729","spleen"
"100",38.7,7.81,29.4,10.4,1.98,46.9,2.63,21.9,15,14.8,18.6,1.53,0.075,29.9,"AA_0730","spleen"
"101",28.7,4.49,25.8,8.63,4.99,46.1,0.94,25.1,11.2,5.26,40.8,0.57,0.048,2.57,"AA_0763","mLN"
"102",45.4,8.66,19.3,7.23,1.96,36,1.09,14.3,12.5,10.2,19.4,0.51,0.22,9.26,"AA_0764","mLN"
"103",46.1,4.2,25,12.8,2.06,39.5,1.19,21.3,9.41,7.89,39.4,1.42,0,3.23,"AA_0765","mLN"
"104",32.8,3.53,29.4,9.48,1.09,49.2,1.01,22.4,4.97,4.97,37.8,0.56,0,9.52,"AA_0766","mLN"
"105",51.1,2.69,39.8,9.78,2.1,46.8,1.1,25.8,10.7,5.64,50.4,0.92,0.08,18.2,"AA_0767","mLN"
"106",56,9.1,11.5,10.1,4.48,44.1,3.61,9.33,3.94,9.32,53.3,5.19,0,6.9,"AA_0768","mLN"
"107",35.9,3.07,38.4,11,2.2,40.7,1.23,48.9,7.37,7.02,42.8,1.5,0.34,26.2,"AA_0769","mLN"
"108",18.9,7.34,33.2,3.65,15.8,42.8,2.98,13.6,10.7,34.9,51.6,3.57,0.23,5.16,"AA_0770","mLN"
"109",25.2,5.77,13.8,5.59,6.37,31.9,0.9,14.7,13.9,22.1,26.7,3.63,0.63,15.7,"AA_0771","mLN"
"110",46.8,4.66,30,9.31,5.6,34.7,1.43,26.2,10.1,13.3,30.7,0.88,0.11,3.12,"AA_0772","mLN"
"111",47.2,3.87,22.2,10.7,1.72,40.4,1,26.7,9.06,7.7,49.2,0.82,0.29,15.6,"AA_0773","mLN"
"112",52,3.04,18.9,9.14,0.93,36.5,0.77,9.3,6.9,3.79,48.3,1.24,0,4.92,"AA_0774","mLN"
"113",39.7,4.39,25.5,6.73,3.36,39,1.15,29.8,6.44,5.2,49.2,1.9,0.71,21,"AA_0775","mLN"
"114",35.3,6.27,27.5,5.09,6.5,30.1,1.1,20,13.5,12.8,43.7,1.14,0.25,2.14,"AA_0776","mLN"
"115",29.3,2.89,34.2,14.3,12.4,39.8,1.1,32.9,15.8,14.4,35.8,3.99,0.87,3.94,"AA_0777","mLN"
"116",36.2,5.87,22.8,7.95,2.68,43.3,1.18,32.9,10.3,6.58,68.4,0.63,0.48,2.5,"AA_0778","mLN"
"117",34.7,7.19,22.4,8.6,5.01,31.7,3.38,20.6,7.61,10.7,50.6,2.47,0.86,17.9,"AA_0779","mLN"
"118",46,2.41,32.4,5.64,0.96,37.6,0.69,17.6,7.1,5.04,39.8,1.43,0.1,13.5,"AA_0780","mLN"
