"","Mouse_ID","Position","pop","counts"
"638","AA_0780","mLN","Th17",0.69
"639","AA_0781","mLN","Th17",0.8
"640","AA_0782","mLN","Th17",1.39
"641","AA_0783","mLN","Th17",0.75
"642","AA_0784","mLN","Th17",0.84
"643","AA_0785","mLN","Th17",1.03
"644","AA_0786","mLN","Th17",1.31
"645","AA_0787","mLN","Th17",1.35
"646","AA_0788","mLN","Th17",0.65
"647","AA_0789","mLN","Th17",0.6
"648","AA_0790","mLN","Th17",1.65
"649","AA_0791","mLN","Th17",66.7
"650","AA_0792","mLN","Th17",0.66
"651","AA_0793","mLN","Th17",0.94
"652","AA_0794","mLN","Th17",0.74
"653","AA_0795","mLN","Th17",0.89
"654","AA_0796","mLN","Th17",0.85
"655","AA_0797","mLN","Th17",0.48
"656","AA_0798","mLN","Th17",1.72
"657","AA_0799","mLN","Th17",1.05
"658","AA_0800","mLN","Th17",3.26
"659","AA_0801","mLN","Th17",0.89
"660","AA_0802","mLN","Th17",0.33
"661","AA_0803","mLN","Th17",0.73
"662","AA_0804","mLN","Th17",0.4
"663","AA_0805","mLN","Th17",0.72
"664","AA_0806","mLN","Th17",0.87
"665","AA_0807","mLN","Th17",1.25
"666","AA_0681","mLN","Div_Th17",8.26
"667","AA_0682","mLN","Div_Th17",12.8
"668","AA_0683","mLN","Div_Th17",6.25
"669","AA_0684","mLN","Div_Th17",8.46
"670","AA_0685","mLN","Div_Th17",0
"671","AA_0686","mLN","Div_Th17",12.4
"672","AA_0687","mLN","Div_Th17",11.5
"673","AA_0688","mLN","Div_Th17",12.8
"674","AA_0689","mLN","Div_Th17",12
"675","AA_0690","mLN","Div_Th17",15.1
"676","AA_0691","mLN","Div_Th17",1.67
"677","AA_0692","mLN","Div_Th17",5.91
"678","AA_0693","mLN","Div_Th17",7.51
"679","AA_0694","mLN","Div_Th17",14.2
"680","AA_0695","mLN","Div_Th17",3.33
"681","AA_0696","mLN","Div_Th17",10.2
"682","AA_0697","mLN","Div_Th17",5.02
"683","AA_0698","mLN","Div_Th17",8.7
"684","AA_0699","mLN","Div_Th17",1.59
"685","AA_0700","mLN","Div_Th17",15
"686","AA_0701","mLN","Div_Th17",12
"687","AA_0702","mLN","Div_Th17",9.18
"688","AA_0703","mLN","Div_Th17",6.81
"689","AA_0704","mLN","Div_Th17",16.1
"690","AA_0705","mLN","Div_Th17",13.2
"691","AA_0706","mLN","Div_Th17",6.35
"692","AA_0707","mLN","Div_Th17",6.46
"693","AA_0708","mLN","Div_Th17",6.74
"694","AA_0709","mLN","Div_Th17",3.58
"695","AA_0710","mLN","Div_Th17",11
"696","AA_0711","mLN","Div_Th17",12.4
"697","AA_0712","mLN","Div_Th17",8.53
"698","AA_0713","mLN","Div_Th17",13.6
"699","AA_0714","mLN","Div_Th17",24.5
"700","AA_0715","mLN","Div_Th17",28.1
"701","AA_0716","mLN","Div_Th17",5.41
"702","AA_0717","mLN","Div_Th17",58.8
"703","AA_0718","mLN","Div_Th17",12.9
"704","AA_0719","mLN","Div_Th17",19.3
"705","AA_0720","mLN","Div_Th17",14.8
"706","AA_0721","mLN","Div_Th17",11.3
"707","AA_0722","mLN","Div_Th17",13.3
"708","AA_0723","mLN","Div_Th17",25.7
"709","AA_0724","mLN","Div_Th17",11
"710","AA_0725","mLN","Div_Th17",8.1
"711","AA_0726","mLN","Div_Th17",7.96
"712","AA_0727","mLN","Div_Th17",6.59
"713","AA_0728","mLN","Div_Th17",13.6
"714","AA_0729","mLN","Div_Th17",5.29
"715","AA_0730","mLN","Div_Th17",20.5
"716","AA_0763","mLN","Div_Th17",25.1
"717","AA_0764","mLN","Div_Th17",14.3
"718","AA_0765","mLN","Div_Th17",21.3
"719","AA_0766","mLN","Div_Th17",22.4
"720","AA_0767","mLN","Div_Th17",25.8
"721","AA_0768","mLN","Div_Th17",9.33
"722","AA_0769","mLN","Div_Th17",48.9
"723","AA_0770","mLN","Div_Th17",13.6
"724","AA_0771","mLN","Div_Th17",14.7
"725","AA_0772","mLN","Div_Th17",26.2
"726","AA_0773","mLN","Div_Th17",26.7
"727","AA_0774","mLN","Div_Th17",9.3
"728","AA_0775","mLN","Div_Th17",29.8
"729","AA_0776","mLN","Div_Th17",20
"730","AA_0777","mLN","Div_Th17",32.9
"731","AA_0778","mLN","Div_Th17",32.9
"732","AA_0779","mLN","Div_Th17",20.6
"733","AA_0780","mLN","Div_Th17",17.6
"734","AA_0781","mLN","Div_Th17",18.5
"735","AA_0782","mLN","Div_Th17",30
"736","AA_0783","mLN","Div_Th17",14.3
"737","AA_0784","mLN","Div_Th17",9.7
"738","AA_0785","mLN","Div_Th17",14.3
"739","AA_0786","mLN","Div_Th17",17.7
"740","AA_0787","mLN","Div_Th17",17.5
"741","AA_0788","mLN","Div_Th17",20.1
"742","AA_0789","mLN","Div_Th17",49.6
"743","AA_0790","mLN","Div_Th17",32.5
"744","AA_0791","mLN","Div_Th17",0
"745","AA_0792","mLN","Div_Th17",55
"746","AA_0793","mLN","Div_Th17",14.9
"747","AA_0794","mLN","Div_Th17",36.6
"748","AA_0795","mLN","Div_Th17",35.1
"749","AA_0796","mLN","Div_Th17",23.3
"750","AA_0797","mLN","Div_Th17",57.7
"751","AA_0798","mLN","Div_Th17",41.3
"752","AA_0799","mLN","Div_Th17",32.7
"753","AA_0800","mLN","Div_Th17",46.2
"754","AA_0801","mLN","Div_Th17",26.5
"755","AA_0802","mLN","Div_Th17",23.2
"756","AA_0803","mLN","Div_Th17",14.9
"757","AA_0804","mLN","Div_Th17",38.4
"758","AA_0805","mLN","Div_Th17",33.8
"759","AA_0806","mLN","Div_Th17",11.5
"760","AA_0807","mLN","Div_Th17",13.2
"761","AA_0681","mLN","CD8",11.1
"762","AA_0682","mLN","CD8",15
"763","AA_0683","mLN","CD8",17.5
"764","AA_0684","mLN","CD8",24.1
"765","AA_0685","mLN","CD8",21.6
"766","AA_0686","mLN","CD8",20.3
"767","AA_0687","mLN","CD8",17.5
"768","AA_0688","mLN","CD8",21
"769","AA_0689","mLN","CD8",26
"770","AA_0690","mLN","CD8",19.9
"771","AA_0691","mLN","CD8",17
"772","AA_0692","mLN","CD8",27.1
"773","AA_0693","mLN","CD8",22.8
"774","AA_0694","mLN","CD8",12
"775","AA_0695","mLN","CD8",12.1
"776","AA_0696","mLN","CD8",15.2
"777","AA_0697","mLN","CD8",17.5
"778","AA_0698","mLN","CD8",14.7
"779","AA_0699","mLN","CD8",6.45
"780","AA_0700","mLN","CD8",13
"781","AA_0701","mLN","CD8",16
"782","AA_0702","mLN","CD8",18.3
"783","AA_0703","mLN","CD8",16.1
"784","AA_0704","mLN","CD8",14.8
"785","AA_0705","mLN","CD8",13.1
"786","AA_0706","mLN","CD8",22.3
"787","AA_0707","mLN","CD8",20.9
"788","AA_0708","mLN","CD8",19.6
"789","AA_0709","mLN","CD8",16
"790","AA_0710","mLN","CD8",20.8
"791","AA_0711","mLN","CD8",14.3
"792","AA_0712","mLN","CD8",20.4
"793","AA_0713","mLN","CD8",16.6
"794","AA_0714","mLN","CD8",19.3
"795","AA_0715","mLN","CD8",25.6
"796","AA_0716","mLN","CD8",8.41
"797","AA_0717","mLN","CD8",17.5
"798","AA_0718","mLN","CD8",18.7
"799","AA_0719","mLN","CD8",14.8
"800","AA_0720","mLN","CD8",22.5
"801","AA_0721","mLN","CD8",14.4
"802","AA_0722","mLN","CD8",18
"803","AA_0723","mLN","CD8",20.7
"804","AA_0724","mLN","CD8",15.1
"805","AA_0725","mLN","CD8",11.7
"806","AA_0726","mLN","CD8",10.6
"807","AA_0727","mLN","CD8",21.5
"808","AA_0728","mLN","CD8",12.1
"809","AA_0729","mLN","CD8",10
"810","AA_0730","mLN","CD8",19.9
"811","AA_0763","mLN","CD8",11.2
"812","AA_0764","mLN","CD8",12.5
"813","AA_0765","mLN","CD8",9.41
"814","AA_0766","mLN","CD8",4.97
"815","AA_0767","mLN","CD8",10.7
"816","AA_0768","mLN","CD8",3.94
"817","AA_0769","mLN","CD8",7.37
"818","AA_0770","mLN","CD8",10.7
"819","AA_0771","mLN","CD8",13.9
"820","AA_0772","mLN","CD8",10.1
"821","AA_0773","mLN","CD8",9.06
"822","AA_0774","mLN","CD8",6.9
"823","AA_0775","mLN","CD8",6.44
"824","AA_0776","mLN","CD8",13.5
"825","AA_0777","mLN","CD8",15.8
"826","AA_0778","mLN","CD8",10.3
"827","AA_0779","mLN","CD8",7.61
"828","AA_0780","mLN","CD8",7.1
"829","AA_0781","mLN","CD8",25
"830","AA_0782","mLN","CD8",9.94
"831","AA_0783","mLN","CD8",17
"832","AA_0784","mLN","CD8",13.6
"833","AA_0785","mLN","CD8",19.2
"834","AA_0786","mLN","CD8",29.2
"835","AA_0787","mLN","CD8",13.4
"836","AA_0788","mLN","CD8",22.6
"837","AA_0789","mLN","CD8",21.3
"838","AA_0790","mLN","CD8",16.7
"839","AA_0791","mLN","CD8",1.79
"840","AA_0792","mLN","CD8",16.4
"841","AA_0793","mLN","CD8",24
"842","AA_0794","mLN","CD8",24.2
"843","AA_0795","mLN","CD8",22.7
"844","AA_0796","mLN","CD8",23.7
"845","AA_0797","mLN","CD8",26.2
"846","AA_0798","mLN","CD8",33.4
"847","AA_0799","mLN","CD8",27.1
"848","AA_0800","mLN","CD8",17.2
"849","AA_0801","mLN","CD8",44.4
"850","AA_0802","mLN","CD8",37.8
"851","AA_0803","mLN","CD8",20.8
"852","AA_0804","mLN","CD8",23.6
"853","AA_0805","mLN","CD8",22.4
"854","AA_0806","mLN","CD8",22.6
"855","AA_0807","mLN","CD8",24.5
"856","AA_0681","mLN","Act_CD8",27.9
"857","AA_0682","mLN","Act_CD8",26.7
"858","AA_0683","mLN","Act_CD8",23.9
"859","AA_0684","mLN","Act_CD8",21.3
"860","AA_0685","mLN","Act_CD8",15.7
"861","AA_0686","mLN","Act_CD8",11.7
"862","AA_0687","mLN","Act_CD8",10
"863","AA_0688","mLN","Act_CD8",12.1
"864","AA_0689","mLN","Act_CD8",29.3
"865","AA_0690","mLN","Act_CD8",31
"866","AA_0691","mLN","Act_CD8",6
"867","AA_0692","mLN","Act_CD8",14.2
"868","AA_0693","mLN","Act_CD8",27.7
"869","AA_0694","mLN","Act_CD8",17.1
"870","AA_0695","mLN","Act_CD8",17
"871","AA_0696","mLN","Act_CD8",21.1
"872","AA_0697","mLN","Act_CD8",9.58
"873","AA_0698","mLN","Act_CD8",14.6
"874","AA_0699","mLN","Act_CD8",15.2
"875","AA_0700","mLN","Act_CD8",16.5
"876","AA_0701","mLN","Act_CD8",28.1
"877","AA_0702","mLN","Act_CD8",10.5
"878","AA_0703","mLN","Act_CD8",10.5
"879","AA_0704","mLN","Act_CD8",49.4
"880","AA_0705","mLN","Act_CD8",19.3
"881","AA_0706","mLN","Act_CD8",9.25
"882","AA_0707","mLN","Act_CD8",11.1
"883","AA_0708","mLN","Act_CD8",15.2
"884","AA_0709","mLN","Act_CD8",10.4
"885","AA_0710","mLN","Act_CD8",6.18
"886","AA_0711","mLN","Act_CD8",6.83
"887","AA_0712","mLN","Act_CD8",4.86
"888","AA_0713","mLN","Act_CD8",13.8
"889","AA_0714","mLN","Act_CD8",12.9
"890","AA_0715","mLN","Act_CD8",5.09
"891","AA_0716","mLN","Act_CD8",6.71
"892","AA_0717","mLN","Act_CD8",7.12
"893","AA_0718","mLN","Act_CD8",7.06
"894","AA_0719","mLN","Act_CD8",5.44
"895","AA_0720","mLN","Act_CD8",11.8
"896","AA_0721","mLN","Act_CD8",7.34
"897","AA_0722","mLN","Act_CD8",23
"898","AA_0723","mLN","Act_CD8",16.1
"899","AA_0724","mLN","Act_CD8",28.7
"900","AA_0725","mLN","Act_CD8",7.82
"901","AA_0726","mLN","Act_CD8",6.86
"902","AA_0727","mLN","Act_CD8",5.35
"903","AA_0728","mLN","Act_CD8",7.38
"904","AA_0729","mLN","Act_CD8",15.9
"905","AA_0730","mLN","Act_CD8",9.51
"906","AA_0763","mLN","Act_CD8",5.26
"907","AA_0764","mLN","Act_CD8",10.2
"908","AA_0765","mLN","Act_CD8",7.89
"909","AA_0766","mLN","Act_CD8",4.97
"910","AA_0767","mLN","Act_CD8",5.64
"911","AA_0768","mLN","Act_CD8",9.32
"912","AA_0769","mLN","Act_CD8",7.02
"913","AA_0770","mLN","Act_CD8",34.9
"914","AA_0771","mLN","Act_CD8",22.1
"915","AA_0772","mLN","Act_CD8",13.3
"916","AA_0773","mLN","Act_CD8",7.7
"917","AA_0774","mLN","Act_CD8",3.79
"918","AA_0775","mLN","Act_CD8",5.2
"919","AA_0776","mLN","Act_CD8",12.8
"920","AA_0777","mLN","Act_CD8",14.4
"921","AA_0778","mLN","Act_CD8",6.58
"922","AA_0779","mLN","Act_CD8",10.7
"923","AA_0780","mLN","Act_CD8",5.04
"924","AA_0781","mLN","Act_CD8",4.49
"925","AA_0782","mLN","Act_CD8",4.81
"926","AA_0783","mLN","Act_CD8",5.68
"927","AA_0784","mLN","Act_CD8",6.83
"928","AA_0785","mLN","Act_CD8",8.64
"929","AA_0786","mLN","Act_CD8",2.91
"930","AA_0787","mLN","Act_CD8",9.7
"931","AA_0788","mLN","Act_CD8",4.42
"932","AA_0789","mLN","Act_CD8",11.4
"933","AA_0790","mLN","Act_CD8",13.8
"934","AA_0791","mLN","Act_CD8",0
"935","AA_0792","mLN","Act_CD8",14.2
"936","AA_0793","mLN","Act_CD8",19.6
"937","AA_0794","mLN","Act_CD8",28.7
"938","AA_0795","mLN","Act_CD8",7.49
"939","AA_0796","mLN","Act_CD8",1.55
"940","AA_0797","mLN","Act_CD8",14.8
"941","AA_0798","mLN","Act_CD8",7.38
"942","AA_0799","mLN","Act_CD8",3.27
"943","AA_0800","mLN","Act_CD8",5.6
"944","AA_0801","mLN","Act_CD8",4.98
"945","AA_0802","mLN","Act_CD8",2.21
"946","AA_0803","mLN","Act_CD8",2.65
"947","AA_0804","mLN","Act_CD8",4.97
"948","AA_0805","mLN","Act_CD8",6.39
"949","AA_0806","mLN","Act_CD8",4.02
"950","AA_0807","mLN","Act_CD8",7.7
"951","AA_0681","mLN","Div_Act_CD8",21.3
"952","AA_0682","mLN","Div_Act_CD8",22
"953","AA_0683","mLN","Div_Act_CD8",15.8
"954","AA_0684","mLN","Div_Act_CD8",16.1
"955","AA_0685","mLN","Div_Act_CD8",40.7
"956","AA_0686","mLN","Div_Act_CD8",14.9
"957","AA_0687","mLN","Div_Act_CD8",26.2
"958","AA_0688","mLN","Div_Act_CD8",20.9
"959","AA_0689","mLN","Div_Act_CD8",19.5
"960","AA_0690","mLN","Div_Act_CD8",20.8
"961","AA_0691","mLN","Div_Act_CD8",26.4
"962","AA_0692","mLN","Div_Act_CD8",13.5
"963","AA_0693","mLN","Div_Act_CD8",27.2
"964","AA_0694","mLN","Div_Act_CD8",36.3
"965","AA_0695","mLN","Div_Act_CD8",30.7
"966","AA_0696","mLN","Div_Act_CD8",36.7
"967","AA_0697","mLN","Div_Act_CD8",10.9
"968","AA_0698","mLN","Div_Act_CD8",10.2
"969","AA_0699","mLN","Div_Act_CD8",80
"970","AA_0700","mLN","Div_Act_CD8",40.4
"971","AA_0701","mLN","Div_Act_CD8",17.3
"972","AA_0702","mLN","Div_Act_CD8",13.6
"973","AA_0703","mLN","Div_Act_CD8",13.6
"974","AA_0704","mLN","Div_Act_CD8",39.2
"975","AA_0705","mLN","Div_Act_CD8",6.54
"976","AA_0706","mLN","Div_Act_CD8",17
"977","AA_0707","mLN","Div_Act_CD8",13.1
"978","AA_0708","mLN","Div_Act_CD8",26.8
"979","AA_0709","mLN","Div_Act_CD8",15.1
"980","AA_0710","mLN","Div_Act_CD8",27.9
"981","AA_0711","mLN","Div_Act_CD8",23.1
"982","AA_0712","mLN","Div_Act_CD8",46.1
"983","AA_0713","mLN","Div_Act_CD8",43.7
"984","AA_0714","mLN","Div_Act_CD8",18.7
"985","AA_0715","mLN","Div_Act_CD8",64.6
"986","AA_0716","mLN","Div_Act_CD8",36.4
"987","AA_0717","mLN","Div_Act_CD8",56.3
"988","AA_0718","mLN","Div_Act_CD8",43.4
"989","AA_0719","mLN","Div_Act_CD8",47.2
"990","AA_0720","mLN","Div_Act_CD8",61.5
"991","AA_0721","mLN","Div_Act_CD8",39.1
"992","AA_0722","mLN","Div_Act_CD8",64.3
"993","AA_0723","mLN","Div_Act_CD8",62.1
"994","AA_0724","mLN","Div_Act_CD8",85
"995","AA_0725","mLN","Div_Act_CD8",33.4
"996","AA_0726","mLN","Div_Act_CD8",29.9
"997","AA_0727","mLN","Div_Act_CD8",25.7
"998","AA_0728","mLN","Div_Act_CD8",39.2
"999","AA_0729","mLN","Div_Act_CD8",36.1
"1000","AA_0730","mLN","Div_Act_CD8",21
"1001","AA_0763","mLN","Div_Act_CD8",40.8
"1002","AA_0764","mLN","Div_Act_CD8",19.4
"1003","AA_0765","mLN","Div_Act_CD8",39.4
"1004","AA_0766","mLN","Div_Act_CD8",37.8
"1005","AA_0767","mLN","Div_Act_CD8",50.4
"1006","AA_0768","mLN","Div_Act_CD8",53.3
"1007","AA_0769","mLN","Div_Act_CD8",42.8
"1008","AA_0770","mLN","Div_Act_CD8",51.6
"1009","AA_0771","mLN","Div_Act_CD8",26.7
"1010","AA_0772","mLN","Div_Act_CD8",30.7
"1011","AA_0773","mLN","Div_Act_CD8",49.2
"1012","AA_0774","mLN","Div_Act_CD8",48.3
"1013","AA_0775","mLN","Div_Act_CD8",49.2
"1014","AA_0776","mLN","Div_Act_CD8",43.7
"1015","AA_0777","mLN","Div_Act_CD8",35.8
"1016","AA_0778","mLN","Div_Act_CD8",68.4
"1017","AA_0779","mLN","Div_Act_CD8",50.6
"1018","AA_0780","mLN","Div_Act_CD8",39.8
"1019","AA_0781","mLN","Div_Act_CD8",37.6
"1020","AA_0782","mLN","Div_Act_CD8",54.8
"1021","AA_0783","mLN","Div_Act_CD8",19
"1022","AA_0784","mLN","Div_Act_CD8",21.4
"1023","AA_0785","mLN","Div_Act_CD8",32.7
"1024","AA_0786","mLN","Div_Act_CD8",71.1
"1025","AA_0787","mLN","Div_Act_CD8",75.6
"1026","AA_0788","mLN","Div_Act_CD8",33.6
"1027","AA_0789","mLN","Div_Act_CD8",70.3
"1028","AA_0790","mLN","Div_Act_CD8",30.2
"1029","AA_0791","mLN","Div_Act_CD8",0
"1030","AA_0792","mLN","Div_Act_CD8",69.2
"1031","AA_0793","mLN","Div_Act_CD8",33.8
"1032","AA_0794","mLN","Div_Act_CD8",80.4
"1033","AA_0795","mLN","Div_Act_CD8",49.5
"1034","AA_0796","mLN","Div_Act_CD8",40.4
"1035","AA_0797","mLN","Div_Act_CD8",62.2
"1036","AA_0798","mLN","Div_Act_CD8",32.7
"1037","AA_0799","mLN","Div_Act_CD8",76.7
"1038","AA_0800","mLN","Div_Act_CD8",52.1
"1039","AA_0801","mLN","Div_Act_CD8",39
"1040","AA_0802","mLN","Div_Act_CD8",46.8
"1041","AA_0803","mLN","Div_Act_CD8",41.9
"1042","AA_0804","mLN","Div_Act_CD8",63.3
"1043","AA_0805","mLN","Div_Act_CD8",63.1
"1044","AA_0806","mLN","Div_Act_CD8",40.9
"1045","AA_0807","mLN","Div_Act_CD8",57
"1046","AA_0681","mLN","IFNy_CD4",12.7
"1047","AA_0682","mLN","IFNy_CD4",4.78
"1048","AA_0683","mLN","IFNy_CD4",3.12
"1049","AA_0684","mLN","IFNy_CD4",4.6
"1050","AA_0685","mLN","IFNy_CD4",18
"1051","AA_0686","mLN","IFNy_CD4",0.45
"1052","AA_0687","mLN","IFNy_CD4",0.69
"1053","AA_0688","mLN","IFNy_CD4",0.99
"1054","AA_0689","mLN","IFNy_CD4",1.7
"1055","AA_0690","mLN","IFNy_CD4",1.32
"1056","AA_0691","mLN","IFNy_CD4",2.06
"1057","AA_0692","mLN","IFNy_CD4",3.31
"1058","AA_0693","mLN","IFNy_CD4",2.34
"1059","AA_0694","mLN","IFNy_CD4",1.08
"1060","AA_0695","mLN","IFNy_CD4",11.4
"1061","AA_0696","mLN","IFNy_CD4",1.53
"1062","AA_0697","mLN","IFNy_CD4",4.99
"1063","AA_0698","mLN","IFNy_CD4",9.71
"1064","AA_0699","mLN","IFNy_CD4",10.8
"1065","AA_0700","mLN","IFNy_CD4",1.58
"1066","AA_0701","mLN","IFNy_CD4",3.27
"1067","AA_0702","mLN","IFNy_CD4",12.5
"1068","AA_0703","mLN","IFNy_CD4",6.68
"1069","AA_0704","mLN","IFNy_CD4",5.03
"1070","AA_0705","mLN","IFNy_CD4",4.66
"1071","AA_0706","mLN","IFNy_CD4",0.74
"1072","AA_0707","mLN","IFNy_CD4",0.73
"1073","AA_0708","mLN","IFNy_CD4",7.46
"1074","AA_0709","mLN","IFNy_CD4",1.66
"1075","AA_0710","mLN","IFNy_CD4",1.87
"1076","AA_0711","mLN","IFNy_CD4",1.35
"1077","AA_0712","mLN","IFNy_CD4",0.62
"1078","AA_0713","mLN","IFNy_CD4",0.19
"1079","AA_0714","mLN","IFNy_CD4",0.38
"1080","AA_0715","mLN","IFNy_CD4",2.03
"1081","AA_0716","mLN","IFNy_CD4",5.63
"1082","AA_0717","mLN","IFNy_CD4",0.66
"1083","AA_0718","mLN","IFNy_CD4",0.65
"1084","AA_0719","mLN","IFNy_CD4",0.13
"1085","AA_0720","mLN","IFNy_CD4",0.054
"1086","AA_0721","mLN","IFNy_CD4",0.048
"1087","AA_0722","mLN","IFNy_CD4",0.39
"1088","AA_0723","mLN","IFNy_CD4",0.16
"1089","AA_0724","mLN","IFNy_CD4",0.23
"1090","AA_0725","mLN","IFNy_CD4",0.16
"1091","AA_0726","mLN","IFNy_CD4",0.34
"1092","AA_0727","mLN","IFNy_CD4",0.15
"1093","AA_0728","mLN","IFNy_CD4",0.11
"1094","AA_0729","mLN","IFNy_CD4",0.28
"1095","AA_0730","mLN","IFNy_CD4",0.29
"1096","AA_0763","mLN","IFNy_CD4",0.57
"1097","AA_0764","mLN","IFNy_CD4",0.51
"1098","AA_0765","mLN","IFNy_CD4",1.42
"1099","AA_0766","mLN","IFNy_CD4",0.56
"1100","AA_0767","mLN","IFNy_CD4",0.92
"1101","AA_0768","mLN","IFNy_CD4",5.19
"1102","AA_0769","mLN","IFNy_CD4",1.5
"1103","AA_0770","mLN","IFNy_CD4",3.57
"1104","AA_0771","mLN","IFNy_CD4",3.63
"1105","AA_0772","mLN","IFNy_CD4",0.88
"1106","AA_0773","mLN","IFNy_CD4",0.82
"1107","AA_0774","mLN","IFNy_CD4",1.24
"1108","AA_0775","mLN","IFNy_CD4",1.9
"1109","AA_0776","mLN","IFNy_CD4",1.14
"1110","AA_0777","mLN","IFNy_CD4",3.99
"1111","AA_0778","mLN","IFNy_CD4",0.63
"1112","AA_0779","mLN","IFNy_CD4",2.47
"1113","AA_0780","mLN","IFNy_CD4",1.43
"1114","AA_0781","mLN","IFNy_CD4",0.38
"1115","AA_0782","mLN","IFNy_CD4",0.57
"1116","AA_0783","mLN","IFNy_CD4",0.11
"1117","AA_0784","mLN","IFNy_CD4",0.41
"1118","AA_0785","mLN","IFNy_CD4",0.52
"1119","AA_0786","mLN","IFNy_CD4",0.94
"1120","AA_0787","mLN","IFNy_CD4",0.093
"1121","AA_0788","mLN","IFNy_CD4",0.15
"1122","AA_0789","mLN","IFNy_CD4",0.24
"1123","AA_0790","mLN","IFNy_CD4",0.59
"1124","AA_0791","mLN","IFNy_CD4",0
"1125","AA_0792","mLN","IFNy_CD4",0
"1126","AA_0793","mLN","IFNy_CD4",1
"1127","AA_0794","mLN","IFNy_CD4",0.53
"1128","AA_0795","mLN","IFNy_CD4",0.32
"1129","AA_0796","mLN","IFNy_CD4",0.15
"1130","AA_0797","mLN","IFNy_CD4",0.68
"1131","AA_0798","mLN","IFNy_CD4",0.34
"1132","AA_0799","mLN","IFNy_CD4",1.01
"1133","AA_0800","mLN","IFNy_CD4",0.15
"1134","AA_0801","mLN","IFNy_CD4",0.53
"1135","AA_0802","mLN","IFNy_CD4",1.03
"1136","AA_0803","mLN","IFNy_CD4",0.33
"1137","AA_0804","mLN","IFNy_CD4",0.8
"1138","AA_0805","mLN","IFNy_CD4",1.12
"1139","AA_0806","mLN","IFNy_CD4",0.65
"1140","AA_0807","mLN","IFNy_CD4",0.89
"1141","AA_0681","mLN","IL17A_CD4",1.92
"1142","AA_0682","mLN","IL17A_CD4",1.16
"1143","AA_0683","mLN","IL17A_CD4",1.78
"1144","AA_0684","mLN","IL17A_CD4",0.43
"1145","AA_0685","mLN","IL17A_CD4",1.12
"1146","AA_0686","mLN","IL17A_CD4",0.24
"1147","AA_0687","mLN","IL17A_CD4",0.6
"1148","AA_0688","mLN","IL17A_CD4",0.9
"1149","AA_0689","mLN","IL17A_CD4",4.58
"1150","AA_0690","mLN","IL17A_CD4",1.66
"1151","AA_0691","mLN","IL17A_CD4",2.14
"1152","AA_0692","mLN","IL17A_CD4",0.5
"1153","AA_0693","mLN","IL17A_CD4",3.15
"1154","AA_0694","mLN","IL17A_CD4",2.15
"1155","AA_0695","mLN","IL17A_CD4",26.7
"1156","AA_0696","mLN","IL17A_CD4",1.63
"1157","AA_0697","mLN","IL17A_CD4",11.1
"1158","AA_0698","mLN","IL17A_CD4",1.71
"1159","AA_0699","mLN","IL17A_CD4",6.67
"1160","AA_0700","mLN","IL17A_CD4",1.87
"1161","AA_0701","mLN","IL17A_CD4",4.73
"1162","AA_0702","mLN","IL17A_CD4",3.65
"1163","AA_0703","mLN","IL17A_CD4",1.59
"1164","AA_0704","mLN","IL17A_CD4",2.34
"1165","AA_0705","mLN","IL17A_CD4",0.98
"1166","AA_0706","mLN","IL17A_CD4",1.48
"1167","AA_0707","mLN","IL17A_CD4",0.5
"1168","AA_0708","mLN","IL17A_CD4",1.49
"1169","AA_0709","mLN","IL17A_CD4",0.23
"1170","AA_0710","mLN","IL17A_CD4",0.28
"1171","AA_0711","mLN","IL17A_CD4",0.042
"1172","AA_0712","mLN","IL17A_CD4",0.44
"1173","AA_0713","mLN","IL17A_CD4",0.41
"1174","AA_0714","mLN","IL17A_CD4",0.031
"1175","AA_0715","mLN","IL17A_CD4",0.22
"1176","AA_0716","mLN","IL17A_CD4",0
"1177","AA_0717","mLN","IL17A_CD4",0.45
"1178","AA_0718","mLN","IL17A_CD4",0.28
"1179","AA_0719","mLN","IL17A_CD4",0.72
"1180","AA_0720","mLN","IL17A_CD4",0.11
"1181","AA_0721","mLN","IL17A_CD4",0.8
"1182","AA_0722","mLN","IL17A_CD4",0.88
"1183","AA_0723","mLN","IL17A_CD4",0.13
"1184","AA_0724","mLN","IL17A_CD4",0.13
"1185","AA_0725","mLN","IL17A_CD4",0.087
"1186","AA_0726","mLN","IL17A_CD4",0.17
"1187","AA_0727","mLN","IL17A_CD4",0.049
"1188","AA_0728","mLN","IL17A_CD4",0.14
"1189","AA_0729","mLN","IL17A_CD4",0.22
"1190","AA_0730","mLN","IL17A_CD4",0.13
"1191","AA_0763","mLN","IL17A_CD4",0.048
"1192","AA_0764","mLN","IL17A_CD4",0.22
"1193","AA_0765","mLN","IL17A_CD4",0
"1194","AA_0766","mLN","IL17A_CD4",0
"1195","AA_0767","mLN","IL17A_CD4",0.08
"1196","AA_0768","mLN","IL17A_CD4",0
"1197","AA_0769","mLN","IL17A_CD4",0.34
"1198","AA_0770","mLN","IL17A_CD4",0.23
"1199","AA_0771","mLN","IL17A_CD4",0.63
"1200","AA_0772","mLN","IL17A_CD4",0.11
"1201","AA_0773","mLN","IL17A_CD4",0.29
"1202","AA_0774","mLN","IL17A_CD4",0
"1203","AA_0775","mLN","IL17A_CD4",0.71
"1204","AA_0776","mLN","IL17A_CD4",0.25
"1205","AA_0777","mLN","IL17A_CD4",0.87
