Mouse_ID,Transect,State,Address,Latitude,Longitude,Trap_date,Dissection_date,Sex,Status,Species,Year,Ectoparasites,Body_weight,Body_length,Tail_length,Spleen,Left_Testis,Right_Testis,Epididymis,Seminal_vesicles,Embryo_left,Embryo_right,Feces,ASP,SYP,HET,MART,CP,HD,HM,MM,TM
AA_0750,HZ_BR,Germany,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0751,HZ_BR,Germany,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0752,HZ_BR,Germany,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0753,HZ_BR,Germany,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0754,HZ_BR,Germany,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0755,HZ_BR,Germany,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0756,HZ_BR,Germany,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0757,HZ_BR,Germany,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0758,HZ_BR,Germany,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0759,HZ_BR,Germany,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0760,HZ_BR,Germany,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0761,HZ_BR,Germany,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0762,HZ_BR,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA_0763,HZ_BR,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA_0764,HZ_BR,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA_0765,HZ_BR,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA_0766,HZ_BR,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA_0767,HZ_BR,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA_0768,HZ_BR,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA_0769,HZ_BR,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
