"X","PIN","Transect","Code","Sex","X_Longit","Y_Latit","Year","mtBamH","YNPAR","X332","X347","X65","Tsx","Btk","Syap1","Es1","Gpd1","Idh1","Mpi","Np","Sod1","Es1C","Gpd1C","Idh1C","MpiC","NpC","Sod1C","ith","HI_NLoci","HI"
3815,"SK3206","HZ_BR","BESTE6","F",13.6025,52.2225,2015,"d","","dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",266,"HI 13",0
3973,"SK3378","HZ_BR","BESTE6","F",13.6025,52.2225,2015,"d","","dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",267,"HI 13",0
3974,"SK3379","HZ_BR","BESTE6","F",13.6025,52.2225,2015,"d","","dd","dd","dd","dd","dd","dd","100","100","100/125","100","100","100","mm","dd","dm","dd","dd","dd",268,"HI 13",0.12
200,"AA_0246","HZ_BR","BESTE6","F",13.6025,52.2225,2017,"d","","mm","mm","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",269,"HI 13",0.16
202,"AA_0248","HZ_BR","BESTE6","F",13.6025,52.2225,2017,"d","","dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",270,"HI 13",0
205,"AA_0251","HZ_BR","BESTE6","F",13.6025,52.2225,2017,"d","","dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",271,"HI 13",0
207,"AA_0253","HZ_BR","BESTE6","F",13.6025,52.2225,2017,"","","","dd","dd","","mm","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",272,"HI 10",0.1
210,"AA_0256","HZ_BR","BESTE6","F",13.6025,52.2225,2017,"d","","dd","dd","mm","dd","dd","mm","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",273,"HI 13",0.16
213,"AA_0259","HZ_BR","BESTE6","F",13.6025,52.2225,2017,"","","dd","dd","dd","dd","dd","mm","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",274,"HI 12",0.0833333333333333
214,"AA_0260","HZ_BR","BESTE6","F",13.6025,52.2225,2017,"","","dd","dd","dd","","dd","","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",275,"HI 10",0
4629,"SK820","HZ_BR","BIAL","M",14.8547,53.6103,2010,"m","m","m","m","m","","m","m","","","","","","","","","","","","",307,"HI 7",1
4630,"SK821","HZ_BR","BIAL","F",14.8547,53.6103,2010,"d","","mm","mm","mm","","mm","mm","","95","125","120","70","80","","mm","mm","mm","mm","mm",308,"HI 11",0.952380952380952
4658,"SK850","HZ_BR","BLIND","M",13.8875,53.3511,2010,"d","m","m","m","m","m","m","m","","","","","","","","","","","","",337,"HI 8",0.875
4659,"SK851","HZ_BR","BLIND","F",13.8875,53.3511,2010,"m","","mm","mm","mm","","mm","mm","","","","","","","","","","","","",338,"HI 6",1
133,"AA_0179","HZ_BR","BOCK31","M",13.7542,53.1314,2016,"d","m","m","m","m","d","m","m","100","95","125","120","90","80","mm","mm","mm","mm","mm","mm",340,"HI 14",0.9
132,"AA_0178","HZ_BR","BOCK31","F",13.7542,53.1314,2016,"d","","mm","mm","mm","dd","mm","mm","100","95","125","120","90/100","80","mm","mm","mm","mm","dm","mm",341,"HI 13",0.84
3551,"SK2922","HZ_BR","BOCK34","M",13.755,53.1333,2014,"d","m","m","m","m","d","m","m","100","95","125","120","70/90","80/100","mm","mm","mm","mm","mm","dm",342,"HI 14",0.85
285,"AA_0329","HZ_BR","BRIES23","M",14.0189,51.9661,2017,"m","m","m","m","m","m","m","m","100","95","125","120","70","80","mm","mm","mm","mm","mm","mm",396,"HI 14",1
299,"AA_0343","HZ_BR","BRIES23","F",14.0189,51.9661,2017,"m","","mm","dd","mm","mm","mm","mm","100","95/100","100/125","120","100","80","mm","dm","dm","mm","dd","mm",397,"HI 13",0.76
3792,"SK3183","HZ_BR","BRITZ2","M",13.8119,52.8875,2015,"d","m","m","m","m","d","m","m","100","95","125","100/120","90/100","100","mm","mm","mm","dm","dm","dd",398,"HI 14",0.7
3794,"SK3185","HZ_BR","BRITZ2","M",13.8119,52.8875,2015,"d","m","m","m","m","d","m","m","94/100","95","125","120","90/100","80/100","dm","mm","mm","mm","dm","dm",399,"HI 14",0.75
197,"AA_0243","HZ_BR","BRITZ2","M",13.8119,52.8875,2017,"d","m","m","m","m","d","m","m","100","95","125","120","90/100","80","mm","mm","mm","mm","dm","mm",400,"HI 14",0.85
3451,"SK2817","HZ_BR","BRUNN3","M",12.5269,52.9086,2014,"d","d","d","d","d","d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",401,"HI 14",0
3452,"SK2818","HZ_BR","BRUNN3","M",12.5269,52.9086,2014,"d","d","d","d","d","d","d","d","94","100","100/125","100","100","100","dd","dd","dm","dd","dd","dd",402,"HI 14",0.05
3453,"SK2819","HZ_BR","BRUNN3","F",12.5269,52.9086,2014,"d","","dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",403,"HI 13",0
3524,"SK2890","HZ_BR","BRUNN3","F",12.5269,52.9086,2014,"d","","dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",404,"HI 13",0
3821,"SK3212","HZ_BR","BUCHH29","M",13.7881,52.5844,2015,"d","d","d","d","d","d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",409,"HI 14",0
194,"AA_0240","HZ_BR","BUCHH29","F",13.7881,52.5844,2017,"d","","mm","dm","dm","dm","dm","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",410,"HI 13",0.24
193,"AA_0239","HZ_BR","BUCHH4","M",13.7897,52.5861,2017,"d","d","d","d","d","d","d","d","94","95/100","125","100/120","100","100","dd","dm","mm","dm","dd","dd",411,"HI 14",0.2
192,"AA_0238","HZ_BR","BUCHH4","F",13.7897,52.5861,2017,"d","","dd","dd","dd","dd","dd","dd","94","100","125","100/120","100","100","dd","dd","mm","dm","dd","dd",412,"HI 13",0.12
248,"AA_0294","HZ_BR","CROU17","M",14.1161,52.7914,2017,"d","m","m","m","m","m","m","m","94","100","100/125","120","70","80","dd","dd","dm","mm","mm","mm",799,"HI 14",0.7
249,"AA_0295","HZ_BR","CROU17","M",14.1161,52.7914,2017,"d","m","m","m","m","m","d","m","100","95","125","120","70","80","mm","mm","mm","mm","mm","mm",800,"HI 14",0.9
272,"AA_0316","HZ_BR","CROU17","M",14.1161,52.7914,2017,"","m","m","m","m","m","m","m","94","100","100/125","120","70","100","dd","dd","dm","mm","mm","dd",801,"HI 13",0.631578947368421
3697,"SK3092","HZ_BR","CROU17","F",14.1161,52.7914,2015,"d","","mm","mm","mm","dm","mm","mm","94","95","125/155","120","90","100","dd","mm","mm","mm","mm","dd",802,"HI 13",0.76
3951,"SK3356","HZ_BR","CROU17","F",14.1161,52.7914,2015,"d","","mm","mm","mm","mm","mm","mm","94/100","100","125","120","90","80","dm","dd","mm","mm","mm","mm",803,"HI 13",0.84
251,"AA_0297","HZ_BR","CROU17","F",14.1161,52.7914,2017,"d","","mm","mm","mm","dm","mm","mm","100","100","100/125","120","90","80","mm","dd","dm","mm","mm","mm",804,"HI 13",0.8
254,"AA_0300","HZ_BR","CROU17","F",14.1161,52.7914,2017,"d","","mm","mm","mm","mm","dm","mm","100","95","125","120","70/100","80","mm","mm","mm","mm","dm","mm",805,"HI 13",0.88
274,"AA_0318","HZ_BR","CROU17","F",14.1161,52.7914,2017,"d","","mm","mm","mm","dm","mm","mm","100","100","125","120","","80","mm","dd","mm","mm","","mm",806,"HI 12",0.826086956521739
3461,"SK2827","HZ_BR","DANE22","M",13.6664,52.7339,2014,"d","d","d","m","d","d","d","d","94","100","125","100","110","100","dd","dd","mm","dd","dd","dd",827,"HI 14",0.15
3464,"SK2830","HZ_BR","DANE22","M",13.6664,52.7339,2014,"d","d","d","m","d","d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",828,"HI 14",0.05
3465,"SK2831","HZ_BR","DANE22","M",13.6664,52.7339,2014,"d","d","d","d","d","d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",829,"HI 14",0
3478,"SK2844","HZ_BR","DANE22","M",13.6664,52.7339,2014,"d","d","d","m","d","d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",830,"HI 14",0.05
3481,"SK2847","HZ_BR","DANE22","M",13.6664,52.7339,2014,"d","d","d","d","d","d","d","d","94","100","100","100","90","100","dd","dd","dd","dd","mm","dd",831,"HI 14",0.1
3482,"SK2848","HZ_BR","DANE22","M",13.6664,52.7339,2014,"d","d","d","m","d","d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",832,"HI 14",0.05
3526,"SK2893","HZ_BR","DANE22","M",13.6664,52.7339,2014,"d","","d","d","d","d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",833,"HI 13",0
3727,"SK3122","HZ_BR","DANE22","M",13.6664,52.7339,2015,"d","d","d","d","d","d","d","d","94","95/100","100","100","100","100","dd","dm","dd","dd","dd","dd",834,"HI 14",0.05
3728,"SK3123","HZ_BR","DANE22","M",13.6664,52.7339,2015,"d","d","d","d","d","d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",835,"HI 14",0
3731,"SK3126","HZ_BR","DANE22","M",13.6664,52.7339,2015,"d","d","d","d","d","d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",836,"HI 14",0
3732,"SK3127","HZ_BR","DANE22","M",13.6664,52.7339,2015,"d","d","d","d","d","d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",837,"HI 14",0
3735,"SK3130","HZ_BR","DANE22","M",13.6664,52.7339,2015,"d","d","d","m","d","d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",838,"HI 14",0.05
3736,"SK3131","HZ_BR","DANE22","M",13.6664,52.7339,2015,"d","d","d","d","d","d","d","d","94","95/100","100","100","100","100","dd","dm","dd","dd","dd","dd",839,"HI 14",0.05
3738,"SK3133","HZ_BR","DANE22","M",13.6664,52.7339,2015,"d","d","d","d","d","d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",840,"HI 14",0
3463,"SK2829","HZ_BR","DANE22","F",13.6664,52.7339,2014,"d","","dd","dm","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",841,"HI 13",0.04
3525,"SK2892","HZ_BR","DANE22","F",13.6664,52.7339,2014,"d","","dd","dd","dd","dd","dd","dd","94","100","100","100","90","100","dd","dd","dd","dd","mm","dd",842,"HI 13",0.08
3729,"SK3124","HZ_BR","DANE22","F",13.6664,52.7339,2015,"d","","dd","dm","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",843,"HI 13",0.04
3730,"SK3125","HZ_BR","DANE22","F",13.6664,52.7339,2015,"d","","dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",844,"HI 13",0
3733,"SK3128","HZ_BR","DANE22","F",13.6664,52.7339,2015,"d","","dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",845,"HI 13",0
3734,"SK3129","HZ_BR","DANE22","F",13.6664,52.7339,2015,"d","","dd","dm","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",846,"HI 13",0.04
3737,"SK3132","HZ_BR","DANE22","F",13.6664,52.7339,2015,"d","","dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",847,"HI 13",0
3778,"SK3168","HZ_BR","DANE22","F",13.6664,52.7339,2015,"d","","dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",848,"HI 13",0
3779,"SK3169","HZ_BR","DANE22","F",13.6664,52.7339,2015,"d","","dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",849,"HI 13",0
3780,"SK3170","HZ_BR","DANE22","F",13.6664,52.7339,2015,"d","","dd","mm","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",850,"HI 13",0.08
