Transect,State,Address,Code,Letter,Number,Mouse_ID,Sex,Latitude,Longitude,Dist0,Year,Month,Day,REGion,mtBamH,Zfy2,SRY1,Y,X332,X347,X65,Tsx,Btk,Syap1,Es1,Gpd1,Idh1,Mpi,Np,Sod1,Es1C,Gpd1C,Idh1C,MpiC,NpC,Sod1C,Lab,Days in lab,BW,L,LCd,Spleen,Left_testis,Right_testis,Testes,Epididymis,Seminal_vesicles,Sperm,Dissociated,Defect,Ovaria,Gravid,Taenia,Hymenolepis,Mastophorus,Rodentolepis,Mesocestoides,Capillaria,Trichuris,Heterakis,Aspiculuris,Syphacia,Oxyurids,Ectoparasites,Leptopsylla,segnis,Ctenophthalmus,agyrtes,Ctenophthalmus,assimilis,Nosophyllus,fasciatus,Hystrichopsylla,sp.,HI_NLoci,HI
HZ_BR,D,Joachimstahl 8,JOACH8,AA,_0115,AA_0115,M,52.9783,13.7336,10.08,2016,9,25,mus,m,m,,m,m,m,,d,m,m,100,95,125,120,90,80,mm,mm,mm,mm,mm,mm,HZ,2,10.31,70,67,0.017,0.049,0.046,0.0475,0.011,0.008,10.2,25.53,0.028,,,0,0,0,0,0,,0,,5,4,9,0,,,,,,,,,,,HI 13,0.9473684211
HZ_BR,D,Joachimstahl 8,JOACH8,AA,_0116,AA_0116,M,52.9783,13.7336,10.08,2016,9,25,mus,d,m,,m,m,m,,d,m,m,100,95,125,120,90,,mm,mm,mm,mm,mm,,HZ,2,16.56,79,70,0.036,0.053,0.056,0.0545,0.021,0.152,21.5,18.48,0.111,,,0,0,0,0,0,,0,,0,0,0,0,,,,,,,,,,,HI 12,0.8823529412
HZ_BR,D,Joachimstahl 8,JOACH8,AA,_0117,AA_0117,F,52.9783,13.7336,10.08,2016,9,25,mus,m,,,,mm,mm,mm,mm,mm,mm,100,95,125,120,90,100,mm,mm,mm,mm,mm,dd,HZ,2,11.38,65,73,0.019,,,,,,,,,,B-,0,0,0,0,0,,0,,7,9,16,2,,,,,,,,,,,HI 13,0.92
HZ_BR,D,Joachimstahl 8,JOACH8,AA,_0118,AA_0118,F,52.9783,13.7336,10.08,2016,9,25,mus,m,,,,mm,mm,mm,dm,dm,mm,100,95,125,120,90,,mm,mm,mm,mm,mm,,HZ,2,12.73,83,76,0.031,,,,,,,,,,B-,0,0,0,0,0,,0,,207,21,228,2,,,,,,,,,,,HI 12,0.9130434783
HZ_BR,D,Joachimstahl 8,JOACH8,AA,_0119,AA_0119,F,52.9783,13.7336,10.08,2016,9,25,mus,d,,,,mm,mm,mm,dd,mm,mm,100,95,125,120,90,,mm,mm,mm,mm,mm,,HZ,2,13.96,73,73,0.02,,,,,,,,,,B-,0,0,0,0,0,,0,,3,0,3,3,,,,,,,,,,,HI 12,0.8695652174
HZ_BR,D,Groß Ziethen 1,GROSZIE,AA,_0120,AA_0120,F,52.9581,13.895,17.2,2016,9,26,mus,d,,,,mm,mm,,dd,mm,mm,100,95,125,120,90,80,mm,mm,mm,mm,mm,mm,HZ,1,15.73,84,74,0.042,,,,,,,,,,B-,0,,0,,,,0,,98,48,146,1,,,,,,,,,,,HI 12,0.8695652174
HZ_BR,D,Groß Ziethen 1,GROSZIE,AA,_0121,AA_0121,F,52.9581,13.895,17.2,2016,9,26,mus,,,,,,,,dd,mm,mm,100,95,125,120,90,80,mm,mm,mm,mm,mm,mm,HZ,1,21.55,94,71,0.043,,,,,,,,,,B-,0,,0,,,,0,,48,3,51,0,,,,,,,,,,,HI 9,0.8888888889
HZ_BR,D,Joachimstahl 8,JOACH8,AA,_0122,AA_0122,F,52.9783,13.7336,10.08,2016,9,25,mus,m,,,,mm,mm,mm,mm,mm,mm,100,95,125,120,90,,mm,mm,mm,mm,mm,,HZ,2,11.23,71,72,0.03,,,,,,,,,,B-,0,0,0,0,,,0,,99,27,126,1,,,,,,,,,,,HI 12,1
HZ_BR,D,Mildenberg 1,MILD1,AA,_0123,AA_0123,F,52.9936,13.3047,-8.52,2016,9,26,dom,d,,,,dd,dd,dd,dd,dd,dd,94,100,100,100,100,100,dd,dd,dd,dd,dd,dd,HZ,1,16.35,80,81,0.048,,,,,,,,,,B-,0,,0,,,,0,,0,2,2,1,,,,,,,,,,,HI 13,0
HZ_BR,D,Mildenberg 1,MILD1,AA,_0124,AA_0124,F,52.9936,13.3047,-8.52,2016,9,25,dom,d,,,,dm,dd,dd,dd,dd,dd,94,100,100,100,100,100,dd,dd,dd,dd,dd,dd,HZ,2,8.38,63,66,0.011,,,,,,,,,,B-,0,,0,,,,0,,0,7,7,1,,,,,,,,,,,HI 13,0.04
HZ_BR,D,Mildenberg 1,MILD1,AA,_0125,AA_0125,F,52.9936,13.3047,-8.52,2016,9,26,dom,m,,,,dd,dd,,dd,dd,dd,94,100,100,100,100,100,dd,dd,dd,dd,dd,dd,HZ,1,15.57,72,85,0.028,,,,,,,,,,B-,0,,0,,,,4,,2,0,2,0,,,,,,,,,,,HI 12,0.0434782609
HZ_BR,D,Tuchen 13,TUCH13,AA,_0126,AA_0126,F,52.7544,13.7875,-1.37,2016,9,26,mus,,,,,,mm,,dd,,,94,100,100,100,100,80,dd,dd,dd,dd,dd,mm,HZ,1,11.78,72,78,0.024,,,,,,,,,,B-,0,,0,,,,0,,0,0,0,1,,,,,,,,,,,HI 8,0.25
HZ_BR,D,Ribbeck 8,RIBB8,AA,_0127,AA_0127,M,53.0322,13.2567,-7.61,2016,9,26,dom,d,m,,m,d,d,d,d,d,d,94,100,100,100,100,100,dd,dd,dd,dd,dd,dd,HZ,1,17.7,88,80,0.039,0.079,0.08,0.0705,0.02,0.065,33,11.89,0.075,,,0,,0,,,,0,,0,8,8,15,,,,,,,,,,,HI 14,0.05
HZ_BR,D,Altlüdersdorf 34-35,ALTLU,AA,_0128,AA_0128,M,53.0386,13.1869,-10.25,2016,9,26,dom,d,d,,d,d,,d,d,d,d,94,100,100,100,100,100,dd,dd,dd,dd,dd,dd,HZ,1,10.01,67,60,0.017,0.047,0.051,0.049,0.011,0.024,9.1,18.6,0.083,,,0,0,3,0,,,0,,0,5,5,2,,,,,,,,,,,HI 13,0
HZ_BR,D,Ribbeck 8,RIBB8,AA,_0129,AA_0129,F,53.0322,13.2567,-7.61,2016,9,26,dom,d,,,,dd,dd,dd,dd,dd,dd,94,100,100,,100,100,dd,dd,dd,,dd,dd,HZ,1,21.59,86,89,0.047,,,,,,,,,,B-,0,0,0,0,,,0,,11,69,80,1,,,,,,,,,,,HI 12,0
HZ_BR,D,Töpchin 7,TOPEGS7,AA,_0130,AA_0130,F,52.1583,13.5878,-20.14,2016,9,26,dom,d,,,,dd,dd,dd,dd,dd,dd,94,100,100,100,100,100,dd,dd,dd,dd,dd,dd,HZ,2,12.38,72,75,0.021,,,,,,,,,,B-,0,,0,,,,0,,0,0,0,0,,,,,,,,,,,HI 13,0
HZ_BR,D,Töpchin 7,TOPEGS7,AA,_0131,AA_0131,M,52.1583,13.5878,-20.14,2016,9,26,dom,d,,,,d,d,,d,d,,94,100,100,100,100,100,dd,dd,dd,dd,dd,dd,HZ,2,10.63,65,70,0.009,0.039,0.044,0.0415,0.006,0.005,1,50,,,,0,,0,,,,0,,0,0,0,0,,,,,,,,,,,HI 11,0
HZ_BR,D,Töpchin 7,TOPEGS7,AA,_0132,AA_0132,M,52.1583,13.5878,-20.14,2016,9,26,dom,d,d,,d,d,d,d,d,d,d,94,100,100,100,100,100,dd,dd,dd,dd,dd,dd,HZ,2,20.25,85,86,0.043,0.075,0.078,0.0765,0.032,0.297,35.2,10.65,0.03,,,0,,0,,,,0,,0,0,0,1,,,,,,,,,,,HI 14,0
HZ_BR,D,Teupitz 41,TEUP41,AA,_0133,AA_0133,M,52.1303,13.6086,-18.46,2016,9,26,dom,d,d,,d,d,d,,d,d,d,94,100,100,100,100,100,dd,dd,dd,dd,dd,dd,HZ,2,17.37,87,89,0.021,0.088,0.089,0.0885,0.039,0.148,68.5,9.06,0.02,,,0,,0,,,,0,,0,1,1,0,,,,,,,,,,,HI 13,0
HZ_BR,D,Töpchin 7,TOPEGS7,AA,_0134,AA_0134,F,52.1583,13.5878,-20.14,2016,9,26,dom,d,,,,dd,dd,dd,dd,dd,dd,94,100,100,100,100,100,dd,dd,dd,dd,dd,dd,HZ,2,19.85,82,75,0.03,,,,,,,,,,B+,0,,0,,,,0,,0,0,0,0,,,,,,,,,,,HI 13,0
HZ_BR,D,Töpchin 7,TOPEGS7,AA,_0135,AA_0135,M,52.1583,13.5878,-20.14,2016,9,26,dom,d,,,,,d,d,d,d,d,94,100,100,100,100,100,dd,dd,dd,dd,dd,dd,HZ,2,17.56,82,84,0.046,0.081,0.073,0.077,0.026,0.175,34.1,15.47,0.033,,,0,,0,,,,1,,0,0,0,0,,,,,,,,,,,HI 12,0
HZ_BR,D,Tuchen 13,TUCH13,AA,_0136,AA_0136,M,52.7544,13.7875,-1.37,2016,9,26,mus,d,d,,d,d,d,d,d,d,d,94,100,100,100,90,100,dd,dd,dd,dd,mm,dd,HZ,2,6.06,59,57,0.011,0.008,0.01,0.009,0.002,0.005,,,,,,0,,0,,,,0,,0,0,0,1,,,,,,,,,,,HI 14,0.1
HZ_BR,D,Tuchen 13,TUCH13,AA,_0137,AA_0137,F,52.7544,13.7875,-1.37,2016,9,26,mus,d,,,,dd,dd,,dd,dd,dd,94,100,100,100,70/100,80,dd,dd,dd,dd,dm,mm,HZ,2,17.73,80,84,0.03,,,,,,,,,,B-,0,,0,,,,0,,0,0,0,0,,,,,,,,,,,HI 12,0.1304347826
HZ_BR,D,Steinhöfel 1,STEINHO1,AA,_0138,AA_0138,F,52.4206,14.1167,16.69,2016,9,27,mus,d,,,,mm,mm,mm,dm,mm,mm,100,95,125,120,70,100,mm,mm,mm,mm,mm,dd,HZ,1,17.62,90,79,0.023,,,,,,,,,,B-,0,,0,,,,0,,28,27,55,2,,,,,,,,,,,HI 13,0.84
HZ_BR,,Beerfelde 10,BEER10,AA,_0139,AA_0139,M,52.4317,14.0403,11.69,2016,9,27,mus,d,m,,m,m,d,m,d,m,m,100,95,125,120,70,80,mm,mm,mm,mm,mm,mm,HZ,1,9.8,64,56,0.014,0.023,0.025,0.024,0.004,0.003,,,,,,0,,0,,,,0,,0,0,0,1,,,,,,,,,,,HI 14,0.85
HZ_BR,D,Willmine 5,WILL5,AA,_0140,AA_0140,F,53.1164,13.7731,23.03,2016,9,27,mus,d,,,,mm,dd,mm,dd,mm,mm,100,95,125,120,90,80,mm,mm,mm,mm,mm,mm,HZ,1,19.01,84,77,0.053,,,,,,,,,,B -,0,,0,,,,0,,69,9,78,0,,,,,,,,,,,HI 13,0.8
HZ_BR,D,Willmine 5,WILL5,AA,_0141,AA_0141,M,53.1164,13.7731,23.03,2016,9,27,mus,,m,,m,,m,d,d,,,100,95,125,120,90,80,mm,mm,mm,mm,mm,mm,HZ,1,12.47,74,72,0.04,0.049,0.052,0.0505,0.015,0.021,2.7,33.33,0.2,,,0,,0,,,,0,,0,0,0,0,,,,,,,,,,,HI 10,0.875
HZ_BR,D,Willmine 5,WILL5,AA,_0142,AA_0142,F,53.1164,13.7731,23.03,2016,9,27,mus,d,,,,mm,mm,,dd,mm,mm,100,95,125,120,100,80,mm,mm,mm,mm,dd,mm,HZ,1,16.15,82,78,0.063,,,,,,,,,,B -,0,,0,,,,0,,165,15,180,0,,,,,,,,,,,HI 12,0.7826086957
HZ_BR,D,Prenden 14,PREN14,AA,_0143,AA_0143,M,52.7881,13.5544,-12.43,2016,9,27,dom,,d,,d,d,d,d,d,d,d,94,100,100,100,100,100,dd,dd,dd,dd,dd,dd,HZ,1,11.99,,,0.025,0.026,0.031,0.0285,0.011,0.01,4.5,9.52,0.056,,,0,,0,,,,0,,1,12,13,6,,,,,,,,,,,HI 13,0
HZ_BR,D,Lüdersdorf,LUDER,AA,_0144,AA_0144,F,52.7,14.0828,17.78,2016,9,27,mus,d,,,,mm,mm,,mm,mm,mm,100,95,125,120,100,80,mm,mm,mm,mm,dd,mm,HZ,1,15.83,82,72,0.042,,,,,,,,,,B-,0,1,,,,,1,,20,18,38,3,,,,,,,,,,,HI 12,0.8695652174
HZ_BR,D,Frankenfelde 6,FRANK6,AA,_0145,AA_0145,F,52.6703,14.0589,15.78,2016,9,27,mus,m,,,,mm,mm,mm,dm,mm,mm,100,95,100/125,120,90,80,mm,mm,dm,mm,mm,mm,HZ,1,11.39,80,74,0.024,,,,,,,,,,B-,0,,0,,,,0,,0,0,0,0,,,,,,,,,,,HI 13,0.92
HZ_BR,D,Duben 19,DUBEN,AA,_0146,AA_0146,M,51.8978,13.8097,-2.78,2016,9,28,mus,d,d,,d,m,d,d,d,d,m,100,100,100,100,100,100,mm,dd,dd,dd,dd,dd,HZ,1,20.67,83,82,0.015,0.062,0.059,0.0605,0.022,0.171,37.8,12.68,0.034,,,0,,0,,,,0,,0,0,0,5,,,,,,,,,,,HI 14,0.2
HZ_BR,D,Freiimfelde 1,FREII,AA,_0147,AA_0147,F,51.8853,13.7875,-4.21,2016,9,28,mus,d,,,,mm,dd,dd,dd,dm,,94,100,100/125,100,100,100,dd,dd,dm,dd,dd,dd,HZ,1,15.51,76,86,0.036,,,,,,,,,,B-,0,,0,,,,0,,0,0,0,0,,,,,,,,,,,HI 12,0.1739130435
HZ_BR,D,Duben 19,DUBEN,AA,_0148,AA_0148,M,51.8978,13.8097,-2.78,2016,9,28,mus,d,d,,d,m,d,d,d,d,d,94,100,100,100,100,100,dd,dd,dd,dd,dd,dd,HZ,1,12.05,69,78,0.039,0.024,0.027,0.0255,0.005,0.007,,,,,,0,,0,,,,0,,0,0,0,5,,,,,,,,,,,HI 14,0.05
HZ_BR,D,Freiimfelde 1,FREII,AA,_0149,AA_0149,F,51.8853,13.7875,-4.21,2016,9,28,mus,d,,,,dm,dd,dd,dd,dm,dd,94,100,125,100,90,100,dd,dd,mm,dd,mm,dd,HZ,1,10.82,69,73,0.022,,,,,,,,,,B-,0,,0,,,,0,,0,10,10,0,,,,,,,,,,,HI 13,0.24
HZ_BR,D,Duben 19,DUBEN,AA,_0150,AA_0150,M,51.8978,13.8097,-2.78,2016,9,28,mus,d,d,,d,m,d,d,d,d,d,100,100,100,100/120,100,80/100,mm,dd,dd,dm,dd,dm,HZ,1,21.25,85,85,0.035,0.058,0.059,0.0585,0.023,0.107,22.8,19.44,0.037,,,0,,0,,,,0,,0,0,0,15,,,,,,,,,,,HI 14,0.25
HZ_BR,D,Duben 19,DUBEN,AA,_0151,AA_0151,F,51.8978,13.8097,-2.78,2016,9,28,mus,d,,,,dm,dd,dd,dd,dd,dd,94,100,100,100,100,80,dd,dd,dd,dd,dd,mm,HZ,1,19.01,85,87,0.031,,,,,,,,,,B-,0,,0,,,,0,,0,0,0,1,,,,,,,,,,,HI 13,0.12
HZ_BR,D,Duben 19,DUBEN,AA,_0152,AA_0152,M,51.8978,13.8097,-2.78,2016,9,28,mus,d,,,,m,d,d,d,d,d,94,100,100,100/120,100,100,dd,dd,dd,dm,dd,dd,HZ,1,13.75,75,81,0.017,0.058,0.057,0.0575,0.012,0.033,16.9,10.53,0.053,,,0,,0,,,,0,,0,45,45,3,,,,,,,,,,,HI 13,0.1052631579
HZ_BR,D,Duben 19,DUBEN,AA,_0153,AA_0153,F,51.8978,13.8097,-2.78,2016,9,28,mus,d,,,,mm,dd,dd,dd,dd,dd,100,100,100,100,100,100,mm,dd,dd,dd,dd,dd,HZ,1,13.03,75,75,0.031,,,,,,,,,,B-,0,,0,,,,0,,0,0,0,2,,,,,,,,,,,HI 13,0.16
HZ_BR,D,Duben 19,DUBEN,AA,_0154,AA_0154,M,51.8978,13.8097,-2.78,2016,9,28,mus,d,d,,d,m,d,d,d,d,d,100,100,100,100,100,80,mm,dd,dd,dd,dd,mm,HZ,1,17.37,80,83,0.051,0.016,0.018,0.017,0.013,0.118,0,,,,,0,,0,,,,6,,0,7,7,3,,,,,,,,,,,HI 14,0.25
HZ_BR,D,Duben 19,DUBEN,AA,_0155,AA_0155,F,51.8978,13.8097,-2.78,2016,9,28,mus,d,,,,dd,dd,dd,dd,dd,dd,100,100,100,100,100,80,mm,dd,dd,dd,dd,mm,HZ,1,14.96,78,85,0.027,,,,,,,,,,B-,0,,0,,,,0,,0,0,0,3,,,,,,,,,,,HI 13,0.16
HZ_BR,D,Duben 19,DUBEN,AA,_0156,AA_0156,F,51.8978,13.8097,-2.78,2016,9,28,mus,d,,,,mm,dd,dd,dd,dd,dd,94,100,100,100/120,100,100,dd,dd,dd,dm,dd,dd,HZ,1,21.27,90,85,0.046,,,,,,,,,,B-,0,,0,,,,0,,0,0,0,0,,,,,,,,,,,HI 13,0.12
HZ_BR,D,Duben 19,DUBEN,AA,_0157,AA_0157,M,51.8978,13.8097,-2.78,2016,9,28,mus,d,,,,d,d,d,d,d,d,94,100,100,100/120,100,80,dd,dd,dd,dm,dd,mm,HZ,1,11.63,69,77,0.022,0.021,0.021,0.021,0.003,0.002,,,,,,0,,0,,,,0,,0,4,4,2,,,,,,,,,,,HI 13,0.1578947368
HZ_BR,D,Duben 19,DUBEN,AA,_0158,AA_0158,F,51.8978,13.8097,-2.78,2016,9,28,mus,d,,,,mm,dd,dd,dd,dd,dd,100,100,100,100,70/100,100,mm,dd,dd,dd,dm,dd,HZ,1,20.54,90,84,0.053,,,,,,,,,,B-,0,,0,,,,0,,0,0,0,2,,,,,,,,,,,HI 13,0.2
HZ_BR,D,Duben 19,DUBEN,AA,_0159,AA_0159,F,51.8978,13.8097,-2.78,2016,9,28,mus,d,,,,mm,dd,dd,dd,dd,dd,94,95/100,100,100,100,100,dd,dm,dd,dd,dd,dd,HZ,1,26.38,89,85,0.064,,,,,,,,,,B+,0,,0,,,,0,,0,0,0,2,,,,,,,,,,,HI 13,0.12
HZ_BR,D,Duben 19,DUBEN,AA,_0160,AA_0160,F,51.8978,13.8097,-2.78,2016,9,28,mus,d,,,,dd,dd,dd,dd,dd,dd,94,95/100,100,100,90/100,80,dd,dm,dd,dd,dm,mm,HZ,1,20.26,86,78,0.041,,,,,,,,,,B-,0,,0,,,,0,,0,0,0,0,,,,,,,,,,,HI 13,0.16
HZ_SX,D,Kemlitz 21,KEML21,AA,_0161,AA_0161,F,51.8489,13.5339,-12.54,2016,9,28,dom,m,,,,mm,dd,dd,dd,dm,dd,94,100,100/125,100,100,100,dd,dd,dm,dd,dd,dd,HZ,1,15.57,80,85,0.032,,,,,,,,,,B-,0,,0,,,,0,,0,3,3,2,,,,,,,,,,,HI 13,0.2
HZ_SX,D,Kemlitz 21,KEML21,AA,_0162,AA_0162,F,51.8489,13.5339,-12.54,2016,9,28,dom,d,,,,dd,dd,dd,dd,dd,dd,94,100,100,100,100,100,dd,dd,dd,dd,dd,dd,HZ,1,16.28,82,82,0.037,,,,,,,,,,B-,0,,0,,,,0,,0,0,0,0,,,,,,,,,,,HI 13,0
HZ_SX,D,Kemlitz 21,KEML21,AA,_0163,AA_0163,F,51.8489,13.5339,-12.54,2016,9,28,dom,m,,,,mm,dd,dd,dd,dm,dd,94/100,100,100/125,100,90,100,dm,dd,dm,dd,mm,dd,HZ,1,13.89,80,75,0.045,,,,,,,,,,B-,0,,0,,,,0,,0,0,0,0,,,,,,,,,,,HI 13,0.32
HZ_SX,D,Hindenberg 31,HIND31,AA,_0164,AA_0164,M,51.8536,13.8469,0.16,2016,9,28,mus,d,m,,m,m,d,d,d,d,m,100,95,100,100/120,90,80,mm,mm,dd,dm,mm,mm,HZ,1,14.46,80,80,,0.066,0.066,0.066,0.023,0.081,46,7.79,0.048,,,0,,0,,,,0,,0,0,0,0,,,,,,,,,,,HI 14,0.6
HZ_SX,D,Hindenberg 31,HIND31,AA,_0165,AA_0165,F,51.8536,13.8469,0.16,2016,9,28,mus,m,,,,mm,dm,dd,dd,dd,dd,94,95,100/125,100/120,90,100,dd,mm,dm,dm,mm,dd,HZ,1,11.39,73,81,0.027,,,,,,,,,,B-,0,,0,,,,0,,0,0,0,0,,,,,,,,,,,HI 13,0.4
HZ_SX,D,Hindenberg 31,HIND31,AA,_0166,AA_0166,M,51.8536,13.8469,0.16,2016,9,28,mus,,,,,,d,d,d,,,100,95,100/125,100/120,90,100,mm,mm,dm,dm,mm,dd,HZ,1,16.42,84,84,0.033,0.103,0.096,0.0995,0.026,0.151,35.1,15.68,0.061,,,0,,0,,,,0,,0,4,4,0,,,,,,,,,,,HI 9,0.5333333333
HZ_SX,D,Hindenberg 31,HIND31,AA,_0167,AA_0167,F,51.8536,13.8469,0.16,2016,9,28,mus,m,,,,mm,dm,dd,dd,dd,mm,94,95/100,100,120,90,80,dd,dm,dd,mm,mm,mm,HZ,1,18.09,89,81,0.038,,,,,,,,,,B-,0,,0,,,,0,,0,28,28,0,,,,,,,,,,,HI 13,0.52
HZ_SX,D,Hindenberg 31,HIND31,AA,_0168,AA_0168,F,51.8536,13.8469,0.16,2016,9,28,mus,d,,,,mm,mm,dd,mm,dd,mm,94,95/100,100,120,70,100,dd,dm,dd,mm,mm,dd,HZ,1,11.83,70,75,0.05,,,,,,,,,,B+,0,,0,,,,0,,0,18,18,0,,,,,,,,,,,HI 13,0.52
HZ_SX,D,Hindenberg 31,HIND31,AA,_0169,AA_0169,M,51.8536,13.8469,0.16,2016,9,28,mus,,,,,,,,d,,,100,100,100,100,90/100,100,mm,dd,dd,dd,dm,dd,HZ,1,17.1,81,80,0.033,0.064,0.068,0.066,0.018,0.068,32.6,10.39,0.064,,,0,,0,,,,0,,0,2,2,0,,,,,,,,,,,HI 7,0.2307692308
HZ_SX,D,Hindenberg 31,HIND31,AA,_0170,AA_0170,F,51.8536,13.8469,0.16,2016,9,28,mus,m,,,,mm,dm,dm,mm,mm,dm,100,95/100,100/125,100,70/90,80,mm,dm,dm,dd,mm,mm,HZ,1,21.55,86,90,0.041,,,,,,,,,,B+,0,,0,,,,0,,0,9,9,0,,,,,,,,,,,HI 13,0.72
HZ_SX,D,Hindenberg 31,HIND31,AA,_0171,AA_0171,M,51.8536,13.8469,0.16,2016,9,28,mus,m,m,,m,m,m,d,m,d,m,100,95/100,100,100/120,70/90,80,mm,dm,dd,dm,mm,mm,HZ,2,20.57,84,90,0.04,0.075,0.077,0.076,0.024,0.122,47.5,31.88,0.069,,,0,,0,,,,0,,0,4,4,0,,,,,,,,,,,HI 14,0.7
HZ_SX,D,Hindenberg 31,HIND31,AA,_0172,AA_0172,F,51.8536,13.8469,0.16,2016,9,28,mus,d,,,,mm,mm,dd,dm,dd,dm,100,95/100,100,100/120,70/90,80,mm,dm,dd,dm,mm,mm,HZ,2,19.85,89,82,0.039,,,,,,,,,,B-,0,,0,,,,0,,0,34,34,0,,,,,,,,,,,HI 13,0.56
HZ_BR,D,Dobberzin 1,DOBB1,AA,_0173,AA_0173,M,53.02,14.0358,28.88,2016,9,28,mus,d,m,,m,m,m,m,d,m,m,100,95,125,120,90,80,mm,mm,mm,mm,mm,mm,HZ,2,17.61,83,70,0.09,0.07,0.067,0.0685,0.016,0.111,21.7,18.81,0.07,,,0,1,0,0,,,0,,49,17,66,20,,,,,,,,,,,HI 14,0.9
HZ_SX,D,Hindenberg 31,HIND31,AA,_0174,AA_0174,F,51.8536,13.8469,0.16,2016,9,28,mus,d,,,,mm,dm,dd,dm,dd,dm,100,95/100,100/125,120,90,80,mm,dm,dm,mm,mm,mm,HZ,2,28.14,85,83,0.027,,,,,,,,,,B+,0,,0,,,,0,,0,46,46,0,,,,,,,,,,,HI 13,0.6
HZ_SX,D,Hindenberg 31,HIND31,AA,_0175,AA_0175,F,51.8536,13.8469,0.16,2016,9,28,mus,d,,,,mm,dm,dd,,dd,dm,94,95/100,100/125,100,90/100,100,dd,dm,dm,dd,dm,dd,HZ,2,15.9,81,80,0.04,,,,,,,,,,B-,0,,0,,,,0,,0,5,5,0,,,,,,,,,,,HI 12,0.3043478261
HZ_SX,D,Hindenberg 31,HIND31,AA,_0176,AA_0176,F,51.8536,13.8469,0.16,2016,9,28,mus,m,,,,mm,dm,dd,dd,dd,dm,100,95,100,120,70,80,mm,mm,dd,mm,mm,mm,HZ,2,18.9,80,81,0.06,,,,,,,,,,B+,0,,0,,,,0,,0,3,3,0,,,,,,,,,,,HI 13,0.6
HZ_BR,D,Stegelitz 1,STEG1,AA,_0177,AA_0177,M,53.1267,13.8433,27.12,2016,9,28,mus,d,m,,m,m,m,,d,m,m,,,,,,,,,,,,,HZ,2,16.59,82,71,0.03,0.08,0.07,0.075,0.022,0.124,29.8,17.22,0.021,,,0,,0,,,,0,,0,0,0,0,,,,,,,,,,,HI 7,0.7142857143
HZ_BR,D,Böckenberg 31,BOCK31,AA,_0178,AA_0178,F,53.1314,13.7542,23.37,2016,9,28,mus,d,,,,mm,mm,mm,dd,mm,mm,100,95,125,120,90/100,80,mm,mm,mm,mm,dm,mm,HZ,2,11.96,74,69,0.02,,,,,,,,,,B-,0,,0,,,,0,,0,0,0,1,,,,,,,,,,,HI 13,0.84
HZ_BR,D,Böckenberg 31,BOCK31,AA,_0179,AA_0179,M,53.1314,13.7542,23.37,2016,9,28,mus,d,m,,m,m,m,m,d,m,m,100,95,125,120,90,80,mm,mm,mm,mm,mm,mm,HZ,2,12.41,75,69,0.021,0.065,0.067,0.066,0.014,0.043,21.5,12.87,0.086,,,0,,0,,,,0,,0,0,0,6,,,,,,,,,,,HI 14,0.9
HZ_BR,D,Zootzen 16,ZOOTZ,AA,_0180,AA_0180,F,53.1514,13.2144,0.15,2016,9,28,mus,d,,,,mm,mm,mm,mm,mm,mm,100,95,100,120,100,80,mm,mm,dd,mm,dd,mm,HZ,2,25.49,104,90,0.034,,,,,,,,,,B-,0,,0,,,,0,,0,0,0,0,,,,,,,,,,,HI 13,0.8
HZ_BR,D,Zootzen 16,ZOOTZ,AA,_0181,AA_0181,M,53.1514,13.2144,0.15,2016,9,28,mus,d,m,,m,m,m,m,m,m,m,100,95,100,120,100,100,mm,mm,dd,mm,dd,dd,HZ,2,17.55,80,82,0.03,0.071,0.084,0.0775,0.021,0.056,22.7,25.6,0.049,,,0,,0,,,,0,,5,0,5,1,,,,,,,,,,,HI 14,0.65
HZ_BR,D,Neulüdersdorf 20,NEULUD,AA,_0182,AA_0182,F,53.0503,13.1725,-9.98,2016,9,28,dom,d,,,,dd,dd,dd,dd,dd,dd,94,100,100,100/120,100,100,dd,dd,dd,dm,dd,dd,HZ,2,17.69,88,86,0.043,,,,,,,,,,B-,0,,0,,,,0,,0,0,0,0,,,,,,,,,,,HI 13,0.04
HZ_BR,D,Zootzen 16,ZOOTZ,AA,_0183,AA_0183,M,53.1514,13.2144,0.15,2016,9,28,mus,d,m,,m,m,m,m,m,m,m,94/100,95,100/125,120,100,80,dm,mm,dm,mm,dd,mm,HZ,2,17.75,82,81,0.047,0.072,0.076,0.074,0.02,0.132,32.3,25.48,0.044,,,0,,0,,,,0,,41,0,41,2,,,,,,,,,,,HI 14,0.75
HZ_BR,D,Zootzen 16,ZOOTZ,AA,_0184,AA_0184,F,53.1514,13.2144,0.15,2016,9,28,mus,d,,,,mm,mm,mm,mm,mm,mm,100,95,100/125,120,100,80,mm,mm,dm,mm,dd,mm,HZ,2,18.36,90,80,0.051,,,,,,,,,,B-,0,,0,,,,0,,59,11,70,0,,,,,,,,,,,HI 13,0.84
HZ_BR,D,Dobberzin 8,DOBB8,AA,_0185,AA_0185,M,53.0203,14.0356,28.89,2016,9,29,mus,d,m,,m,m,m,m,d,m,m,100,95,100/125,120,90,80,mm,mm,dm,mm,mm,mm,HZ,1,14.4,79,70,0.053,0.054,0.061,0.0575,0.017,0.086,,,,,,0,,0,,,,0,,8,5,13,0,,,,,,,,,,,HI 14,0.85
