Name,Eimeria_IL,Crypto_IL,Eimeria presence in Caecum,Worms,Sex,GPS.latitude,GPS.longitude,Status,Eimeria subspecies,deltaCtMmE_tissue,BMI.BMI
CEWE_AA_609,FALSE,FALSE,FALSE,TRUE,F,5222584,137311,adult,non infected,-9.5,0.002881660899654
CEWE_AA_610,FALSE,FALSE,FALSE,FALSE,F,5330059,140801,juvenile,non infected,-9.81,0.0019189453125
CEWE_AA_611,FALSE,FALSE,FALSE,TRUE,F,5330059,140801,juvenile,non infected,-8.07,0.001729968782518
CEWE_AA_612,FALSE,FALSE,FALSE,FALSE,F,5330059,140801,juvenile,non infected,-9.24,0.002008101851852
CEWE_AA_613,FALSE,FALSE,FALSE,FALSE,F,5226306,124558,adult,non infected,-9.29,0.002680993750953
CEWE_AA_614,FALSE,FALSE,FALSE,FALSE,F,5226306,124558,pregnant,non infected,-9.18,0.003044444444444
CEWE_AA_615,FALSE,FALSE,FALSE,FALSE,F,5226306,124558,adult,non infected,-14.52,0.002185185185185
CEWE_AA_616,FALSE,FALSE,FALSE,FALSE,F,5222584,137311,pregnant,non infected,-8.7,0.002768166089965
CEWE_AA_617,FALSE,FALSE,FALSE,TRUE,F,5330059,140801,adult,non infected,-7.75,0.002433610780816
CEWE_AA_618,FALSE,FALSE,FALSE,FALSE,F,5222584,137311,adult,non infected,-8.33,0.002728233584357
CEWE_AA_619,FALSE,FALSE,FALSE,FALSE,F,5222584,137311,pregnant,non infected,-9.42,0.003444982698962
CEWE_AA_620,FALSE,FALSE,FALSE,FALSE,F,5222584,137311,juvenile,non infected,-7.81,0.002302847064752
CEWE_AA_621,FALSE,FALSE,FALSE,FALSE,F,5229765,140667,juvenile,non infected,-9.09,0.001592174059707
CEWE_AA_622,FALSE,FALSE,FALSE,TRUE,F,5227369,136605,juvenile,non infected,-7.42,0.002630612244898
CEWE_AA_623,FALSE,FALSE,TRUE,FALSE,M,5227369,136605,juvenile,Eimeria sp.,-6.78,0.002442764125184
CEWE_AA_624,FALSE,FALSE,FALSE,FALSE,M,5226306,124558,juvenile,non infected,-8.57,0.002434693877551
CEWE_AA_625,FALSE,FALSE,FALSE,TRUE,M,5330705,140939,adult,non infected,-8.2,0.002638092503938
CEWE_AA_626,TRUE,FALSE,FALSE,TRUE,M,5330705,140939,adult,non infected,-9.41,0.002765623501744
CEWE_AA_627,FALSE,FALSE,FALSE,TRUE,F,5330705,140939,adult,non infected,-13.45,0.002156333001707
CEWE_AA_629,FALSE,FALSE,FALSE,TRUE,M,5330705,140939,adult,non infected,-9.23,0.002400659638934
CEWE_AA_630,FALSE,FALSE,FALSE,TRUE,M,5330785,141413,adult,non infected,-12.28,0.002870690759964
