Sample_ID,conc_DNA_ngpermicroL,destiliertes Wasser,ILEUM_DNA_conc_ngpermicroL,ILEUM_260/280,ILEUM_260/230,sample ID,qPCR_results,Nbr_oocyst_dup1,Nbr_oocyst_dup2,Nbr_oocyst_MEAN,date of qPCR
IL 622,7.46,92.54,670.40,1.92,2.17,IL 622,FALSE,0,0,0,15.11.2018
IL 623,24.05,75.95,207.90,2.05,1.44,IL 623,FALSE,0,0,0,15.11.2018
IL 624,13.19,86.81,379.10,1.89,1.83,IL 624,FALSE,657,0,0,21.11.2018
IL 625,294.12,-194.12,17.00,3.27,0.34,IL 625,FALSE,0,0,0,11/29/18
IL 626,88.18,11.82,56.70,1.26,0.57,IL 626,FALSE,0,0,0,21.11.2018
IL 627,25.41,74.59,196.80,1.95,1.99,IL 627,FALSE,0,0,0,21.11.2018
IL 628,26.19,73.81,190.90,2.06,2.07,IL 628,FALSE,0,0,0,21.11.2018
IL 629,43.67,56.33,114.50,1.96,1.38,IL 629,FALSE,0,0,0,21.11.2018
IL 630,65.27,34.73,76.60,2.37,1.15,IL 630,FALSE,0,0,0,21.11.2018
IL 632,6.33,93.67,790.50,1.91,2.24,IL 632,FALSE,0,0,0,10.10.2018
IL 633,12.62,87.38,396.20,1.88,1.82,IL 633,FALSE,0,0,0,21.11.2018
IL 634,22.41,77.59,223.10,2.03,1.76,IL 634,FALSE,414,0,0,21.11.2018
IL 635,19.39,80.61,257.90,1.95,2.17,IL 635,FALSE,0,0,0,21.11.2018
IL 636,30.53,69.47,163.80,1.94,1.44,IL 636,FALSE,0,0,0,21.11.2018
IL 637,18.81,81.19,265.80,1.96,1.87,IL 637,FALSE,0,0,0,21.11.2018
IL 638,33.85,66.15,147.70,2.10,1.39,IL 638,FALSE,0,1002,0,21.11.2018
IL 639,15.19,84.81,329.20,1.92,1.98,IL 639,FALSE,0,0,0,21.11.2018
IL 640,15.37,84.63,325.30,1.92,1.93,IL 640,FALSE,0,0,0,10.10.2018
IL 641,22.09,77.91,226.30,1.99,1.13,IL 641,FALSE,0,0,0,21.11.2018
IL 642,413.22,-313.22,12.10,5.28,0.35,IL 642,FALSE,0,0,0,27.11.2018
IL 643,93.98,6.02,53.20,2.79,1.03,IL 643,FALSE,0,0,0,11/21/18
IL 644,29.85,70.15,167.50,1.94,1.79,IL 644,FALSE,0,1875,0,11/21/18
IL 645,33.90,66.10,147.50,1.99,1.44,IL 645,FALSE,0,0,0,27.11.2018
IL 647,7.69,92.31,650.40,1.99,2.16,IL 647,FALSE,0,0,0,11/21/18
IL 648,61.27,38.73,81.60,2.07,1.44,IL 648,FALSE,0,0,0,11/21/18
IL 649,40.92,59.08,122.20,2.23,0.78,IL 649,FALSE,0,0,0,11/21/18
IL 650,4.22,95.78,"1,185.40",1.85,2.15,IL 650,FALSE,1196,0,0,11/21/18
IL 651,292.40,-192.40,17.10,6.00,0.17,IL 651,FALSE,0,0,0,27.11.2018
IL 652,19.61,80.39,255.00,1.92,1.91,IL 652,FALSE,0,0,0,11/21/18
IL 653,17.55,82.45,284.90,1.98,2.08,IL 653,FALSE,0,0,0,11/21/18
IL 654,14.47,85.53,345.60,1.94,1.98,IL 654,FALSE,0,0,0,11/21/18
IL 655,14.03,85.97,356.30,1.94,1.99,IL 655,FALSE,0,0,0,11/21/18
IL 656,6.28,93.72,796.00,1.84,2.25,IL 656,FALSE,0,0,0,11/21/18
