Mouse_ID,DNA_Dilution_ng/microliter,dest_Water,Nanodrop_1,Nanodrop_2,ILWE_260/280,ILWE_260/230,ILWE_Tissue_used_up,Date_Extraction,ILWE_DNA_Content_ng/microliter
AA_0925,4.74,45.26,515.4,540.1,1.97,1.41,FALSE,9/23/2021,527.8
AA_0926,10.90,39.10,224.9,233.9,2.04,1.31,FALSE,9/23/2021,229.4
AA_0927,9.42,40.58,284.4,246.5,2.02,1.38,FALSE,9/23/2021,265.5
AA_0928,7.52,42.48,331.1,333.7,2.02,1.64,FALSE,9/22/2021,332.4
AA_0929,6.17,43.83,411.2,399.7,2.03,1.88,FALSE,9/22/2021,405.5
AA_0930,7.21,42.79,353.6,339.8,2.04,0.97,FALSE,9/24/2021,346.7
AA_0931,11.26,38.74,218.4,225.6,2.01,1.90,FALSE,9/24/2021,222.0
AA_0932,4.28,45.72,595.3,574.2,1.98,1.43,FALSE,9/22/2021,584.8
AA_0933,6.37,43.63,393.4,392.1,2.00,1.55,FALSE,9/24/2021,392.8
AA_0934,5.33,44.67,486.7,451.2,2.04,0.97,FALSE,9/22/2021,469.0
AA_0935,4.12,45.88,653.9,558.9,1.88,2.22,FALSE,9/23/2021,606.4
AA_0936,6.62,43.38,384.8,370.5,2.02,1.73,FALSE,9/24/2021,377.7
AA_0937,4.34,45.66,550.9,601.1,2.06,1.51,FALSE,9/24/2021,576.0
AA_0938,4.69,45.31,539.0,527.4,2.00,1.66,FALSE,9/22/2021,533.2
AA_0939,29.33,20.67,87.0,83.5,2.02,0.99,FALSE,9/22/2021,85.3
AA_0940,4.79,45.21,516.0,527.4,1.99,1.42,FALSE,9/23/2021,521.7
AA_0942,10.82,39.18,234.2,227.8,2.23,1.36,FALSE,9/24/2021,231.0
AA_0943,4.91,45.09,518.8,499.2,2.03,1.85,FALSE,9/22/2021,509.0
AA_0944,7.17,42.83,326.8,370.6,1.99,1.45,FALSE,9/23/2021,348.7
AA_0945,2.37,47.63,1147.2,965.4,1.96,1.96,FALSE,9/22/2021,1056.3
AA_0946,7.80,42.20,292.6,348.4,1.97,2.01,FALSE,9/22/2021,320.5
AA_0947,8.73,41.27,284.8,288.2,2.00,1.60,FALSE,9/24/2021,286.5
AA_0948,7.94,42.06,312.9,316.6,2.07,0.67,TRUE,9/22/2021,314.8
AA_0949,9.18,40.82,272.9,271.6,2.02,1.16,FALSE,9/24/2021,272.3
