# File Name: qPCR_eimeria_field_faeces_JK_09022022_2.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2022-02-09 12:17:00 PM UTC
# Run End Date/Time: 2022-02-09 01:35:11 PM UTC
# Run Duration: 78 minutes 10 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 3
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2022-02-09 12:52:46 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Relative Quantification v1.5.0
# Exported By: guest
# Exported On: 2022-02-09 12:53:35 PM UTC
"Well","Well Position","Cycle Number","X1_M1","X2_M2","X4_M4"
"64","F4","2","62096.598","32705.42","128855.62"
"65","F5","2","67800.58","32875.75","118910.28"
"66","F6","2","71353.28","27890.377","97714.22"
"67","F7","2","70293.14","33810.363","122367.69"
"68","F8","2","49550.797","22009.553","79795.625"
"69","F9","2","52293.875","20383.12","72455.05"
"70","F10","2","42118.28","24878.283","98712.984"
"71","F11","2","52259.273","26252.945","100882.61"
"72","F12","2","47287.07","23646.148","90865.06"
"73","G1","2","72914.41","38148.934","160542.83"
"74","G2","2","66222.914","31818.93","126153.07"
"75","G3","2","62342.434","31037.586","120344.82"
"76","G4","2","58507.703","32885.324","127559.93"
"77","G5","2","46422.22","23851.72","92628.91"
"78","G6","2","48122.066","25607.848","98354.26"
"79","G7","2","55031.7","30565.307","118114.39"
"80","G8","2","57948.17","29090.836","107580.08"
"81","G9","2","41309.867","20341.955","78587.52"
"82","G10","2","46746.215","24282.49","94873.3"
"83","G11","2","61218.27","25219.117","89512.11"
"84","G12","2","61926.22","27187.953","108040.66"
"85","H1","2","74959.54","38875.676","164058.55"
"86","H2","2","66880.93","32083.434","127902.086"
"87","H3","2","75274.07","33338.105","125182.94"
"88","H4","2","60204.36","33467.984","130894.56"
"89","H5","2","60498.664","31048.328","117747.03"
"90","H6","2","64477.254","28478.703","108659.79"
"91","H7","2","69773.766","34734.926","129882.836"
"92","H8","2","62912.73","30492.527","114018.836"
"93","H9","2","42661.285","20616.428","81119.78"
"94","H10","2","39277.8","25911.355","109637.6"
"95","H11","2","37731.375","26778.037","121509.05"
"96","H12","2","41967.23","24314.107","123549.19"
"1","A1","3","139287.88","42876.992","139149.53"
"2","A2","3","129959.96","39858.69","127838.71"
"3","A3","3","111816.4","34698.652","102892.56"
"4","A4","3","107590.836","38562.48","131716.45"
"5","A5","3","106696.43","35279.754","105549.42"
"6","A6","3","96286.22","31853.428","97301.586"
"7","A7","3","145719.98","39322.84","111867.61"
"8","A8","3","140583.9","38124.703","106116.36"
"9","A9","3","116228.78","32030.297","88534.45"
"10","A10","3","111368.24","35234.547","108975.98"
"11","A11","3","78792.46","22214.293","65857.805"
"12","A12","3","141283.88","42137.8","118867.49"
"13","B1","3","133107.73","42719.35","134343.06"
"14","B2","3","193750.17","53869.37","151592.97"
"15","B3","3","196228.22","50752.81","132880.14"
"16","B4","3","149509.92","45860.945","144471.48"
"17","B5","3","152912.86","39415.9","107919.25"
"18","B6","3","152499.28","41312.344","116633.55"
"19","B7","3","140892.02","39029.04","115809.83"
"20","B8","3","114054.625","29697.012","86916.445"
"21","B9","3","123334.02","32593.11","91069.3"
"22","B10","3","122972.65","36351.906","106026.29"
"23","B11","3","139757.78","35796.023","92785.414"
"24","B12","3","129027.336","37506.42","92337.46"
"25","C1","3","142778.7","47302.188","148933.95"
"26","C2","3","158726.44","45277.8","128067.08"
"27","C3","3","153542.94","42313.24","118665.96"
"28","C4","3","125556.33","40935.97","136434.1"
"29","C5","3","110966.695","32261.518","101329.914"
"30","C6","3","117201.23","32750.832","96463.52"
"31","C7","3","121754.58","42959.754","144975.98"
"32","C8","3","102017.46","31498.209","96732.89"
"33","C9","3","120559.95","37189.04","111409.25"
"34","C10","3","134973.78","39670.0","115379.43"
"35","C11","3","102624.03","27900.387","77857.19"
"36","C12","3","102959.26","27636.525","69907.01"
"37","D1","3","135403.58","44362.86","141345.39"
"38","D2","3","151954.55","44433.586","131338.38"
"39","D3","3","144365.19","40466.08","117894.14"
"40","D4","3","130294.12","42014.598","137534.97"
"41","D5","3","134978.58","39348.137","121658.57"
"42","D6","3","109007.49","30634.84","92423.02"
"43","D7","3","126297.08","38623.52","121270.15"
"44","D8","3","134051.02","39105.043","120858.98"
"45","D9","3","111199.72","30439.174","87768.65"
"46","D10","3","146946.47","41793.387","122021.81"
"47","D11","3","120432.27","33329.734","90750.93"
"48","D12","3","121053.42","34063.42","86813.84"
"49","E1","3","121581.26","37410.406","118066.0"
"50","E2","3","139035.62","38915.457","114208.53"
"51","E3","3","102439.945","29697.332","86876.625"
"52","E4","3","124907.016","40733.16","128251.44"
"53","E5","3","119793.875","34585.11","105885.52"
"54","E6","3","131547.94","36804.496","108248.87"
"55","E7","3","170835.92","44900.08","128520.72"
"56","E8","3","129187.45","32937.336","90665.53"
"57","E9","3","138536.1","34391.383","89023.29"
"58","E10","3","186892.19","47168.043","116541.93"
"59","E11","3","183265.0","43399.707","98752.234"
"60","E12","3","175242.48","44518.64","92151.125"
"61","F1","3","132510.95","42805.13","138281.47"
"62","F2","3","149526.97","43840.91","135276.0"
"63","F3","3","137536.81","37168.266","106442.09"
"64","F4","3","133599.45","41672.344","134363.17"
"65","F5","3","159850.78","44128.496","124296.76"
