# File Name: qPCR_eimeria_field_faeces_JK_09022022_2.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2022-02-09 12:17:00 PM UTC
# Run End Date/Time: 2022-02-09 01:35:11 PM UTC
# Run Duration: 78 minutes 10 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 3
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2022-02-09 12:52:46 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Relative Quantification v1.5.0
# Exported By: guest
# Exported On: 2022-02-09 12:53:35 PM UTC
"Well","Well Position","Sample","Target","Tm","Melt Peak Height"
"48","D12","AA821","Eim","61.50571060180664","5438.8779296875"
"48","D12","AA821","Eim","0.0","0.0"
"49","E1","AA730","Eim","80.53377532958984","51790.36328125"
"49","E1","AA730","Eim","0.0","0.0"
"49","E1","AA730","Eim","0.0","0.0"
"49","E1","AA730","Eim","0.0","0.0"
"49","E1","AA730","Eim","0.0","0.0"
"50","E2","AA730","Eim","80.68480682373047","54796.921875"
"50","E2","AA730","Eim","84.7626953125","30725.283203125"
"50","E2","AA730","Eim","92.76744079589844","1092.876953125"
"50","E2","AA730","Eim","0.0","0.0"
"50","E2","AA730","Eim","0.0","0.0"
"51","E3","AA730","Eim","80.68480682373047","40596.48828125"
"51","E3","AA730","Eim","84.3095932006836","20168.69140625"
"51","E3","AA730","Eim","0.0","0.0"
"51","E3","AA730","Eim","0.0","0.0"
"51","E3","AA730","Eim","0.0","0.0"
"52","E4","AA757","Eim","81.74203491210938","42002.61328125"
"52","E4","AA757","Eim","74.34142303466797","28954.025390625"
"52","E4","AA757","Eim","87.02818298339844","18165.423828125"
"52","E4","AA757","Eim","91.55917358398438","-1092.8779296875"
"52","E4","AA757","Eim","0.0","0.0"
"53","E5","AA757","Eim","81.4512939453125","32727.525390625"
"53","E5","AA757","Eim","75.10438537597656","30629.189453125"
"53","E5","AA757","Eim","87.19374084472656","14533.642578125"
"53","E5","AA757","Eim","61.503868103027344","10109.421875"
"53","E5","AA757","Eim","93.23841857910156","301.7177734375"
"54","E6","AA757","Eim","74.49992370605469","31511.4140625"
"54","E6","AA757","Eim","81.14906311035156","31057.474609375"
"54","E6","AA757","Eim","62.41056823730469","3076.72314453125"
"54","E6","AA757","Eim","93.99400329589844","217.9365234375"
"54","E6","AA757","Eim","0.0","0.0"
"55","E7","AA844","Eim","74.9532699584961","32953.79296875"
"55","E7","AA844","Eim","79.94013214111328","32388.9609375"
