# File Name: qPCR_eimeria_field_faeces_FW_28012022.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2022-01-28 02:33:23 PM UTC
# Run End Date/Time: 2022-01-28 03:54:21 PM UTC
# Run Duration: 80 minutes 58 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 3
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2022-01-28 03:12:47 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Relative Quantification v1.5.0
# Exported By: guest
# Exported On: 2022-01-28 03:13:03 PM UTC
"Well","Well Position","Cycle Number","SYBR","ROX"
"4","A4","15","198781.05","167080.22"
"4","A4","16","108249.78","161910.34"
"4","A4","17","201286.33","167318.19"
"4","A4","18","110186.2","161830.72"
"4","A4","19","202631.61","167306.27"
"4","A4","20","110684.89","161792.72"
"4","A4","21","205164.6","167255.56"
"4","A4","22","111058.914","162217.28"
"4","A4","23","205952.88","167305.84"
"4","A4","24","112278.11","162441.16"
"4","A4","25","207747.66","167231.95"
"4","A4","26","113409.984","162559.3"
"4","A4","27","209491.77","167153.6"
"4","A4","28","114134.86","162424.83"
"4","A4","29","210548.1","167169.61"
"4","A4","30","114416.19","162279.14"
"4","A4","31","210338.14","167362.23"
"4","A4","32","114398.234","162378.38"
"4","A4","33","211111.38","167742.25"
"4","A4","34","115556.96","162349.19"
"4","A4","35","212897.7","167924.83"
"4","A4","36","115927.23","162667.77"
"4","A4","37","214056.98","167914.61"
"4","A4","38","116386.51","162812.78"
"4","A4","39","214703.02","168077.56"
"4","A4","40","117080.12","162865.03"
"4","A4","41","216035.62","168114.08"
"4","A4","42","118076.305","162853.36"
"4","A4","43","216773.36","168359.69"
"4","A4","44","117502.24","162977.11"
"4","A4","45","218454.61","168379.66"
"4","A4","46","117365.086","163238.83"
"4","A4","47","218809.98","168443.4"
"4","A4","48","119055.2","163439.22"
"4","A4","49","219350.27","168679.45"
"4","A4","50","119387.555","163545.12"
"4","A4","51","220340.94","168687.83"
"4","A4","52","120495.7","163603.56"
"4","A4","53","222244.27","168548.86"
"4","A4","54","121867.89","163478.8"
"4","A4","55","223276.02","168309.75"
"4","A4","56","123724.69","163566.06"
"4","A4","57","226493.86","168278.67"
"4","A4","58","126655.58","163551.77"
"4","A4","59","232386.5","168708.05"
"4","A4","60","132969.84","163609.62"
"4","A4","61","241637.31","168696.7"
"4","A4","62","144560.77","163774.31"
"4","A4","63","258781.55","168654.19"
"4","A4","64","164305.28","163355.44"
