# File Name: qPCR_eimeria_field_faeces_FW_28012022.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2022-01-28 02:33:23 PM UTC
# Run End Date/Time: 2022-01-28 03:54:21 PM UTC
# Run Duration: 80 minutes 58 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 3
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2022-01-28 03:12:47 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Relative Quantification v1.5.0
# Exported By: guest
# Exported On: 2022-01-28 03:13:03 PM UTC
"Well","Well Position","Cycle Number","Target","Rn","dRn","Sample","Omit"
"3","A3","27","Eim","0.7134426236152649","-0.013541401716379017","AA899","false"
"3","A3","28","Eim","0.728484034538269","-0.0027689391374588453","AA899","false"
"3","A3","29","Eim","0.735142171382904","-3.7975063690770267E-4","AA899","false"
"3","A3","30","Eim","0.750210702419281","0.010419832055385273","AA899","false"
"3","A3","31","Eim","0.7892232537269592","0.045163435018979625","AA899","false"
"3","A3","32","Eim","0.8450148701667786","0.09668610311471498","AA899","false"
"3","A3","33","Eim","0.9352763891220093","0.18267867372586172","AA899","false"
"3","A3","34","Eim","1.0883241891860962","0.33145752544586476","AA899","false"
"3","A3","35","Eim","1.3531008958816528","0.5919652837973375","AA899","false"
"3","A3","36","Eim","1.7461265325546265","0.9807219721262271","AA899","false"
"3","A3","37","Eim","2.1756513118743896","1.4059778031019063","AA899","false"
"3","A3","38","Eim","2.4391555786132812","1.665213121496714","AA899","false"
"3","A3","39","Eim","2.536442995071411","1.75823158961076","AA899","false"
"3","A3","40","Eim","2.56184983253479","1.779369478730055","AA899","false"
"4","A4","1","Eim","0.5941554307937622","-0.03992250625903793","AA866","false"
"4","A4","2","Eim","0.6035168766975403","-0.03495223045349117","AA866","false"
"4","A4","3","Eim","0.619689404964447","-0.02317087228481585","AA866","false"
"4","A4","4","Eim","0.6332043409347534","-0.014047106412740876","AA866","false"
"4","A4","5","Eim","0.6452915072441101","-0.0063511102016154996","AA866","false"
"4","A4","6","Eim","0.6507062315940857","-0.005327555949871336","AA866","false"
"4","A4","7","Eim","0.6570761203765869","-0.0033488372656015385","AA866","false"
"4","A4","8","Eim","0.668578565120697","0.003762437380277146","AA866","false"
"4","A4","9","Eim","0.6808732151985168","0.01166591735986566","AA866","false"
"4","A4","10","Eim","0.6841154098510742","0.01051694191419161","AA866","false"
"4","A4","11","Eim","0.6846305727958679","0.006640934760753887","AA866","false"
"4","A4","12","Eim","0.6911925077438354","0.008811699610490106","AA866","false"
"4","A4","13","Eim","0.6976529955863953","0.010881017354818497","AA866","false"
"4","A4","14","Eim","0.7026934027671814","0.011530254437373207","AA866","false"
"4","A4","15","Eim","0.7050578594207764","0.009503540992736866","AA866","false"
"4","A4","16","Eim","0.7045164108276367","0.004570922301365794","AA866","false"
"4","A4","17","Eim","0.7117803692817688","0.007443710657266451","AA866","false"
"4","A4","18","Eim","0.7126625776290894","0.003934748906355585","AA866","false"
"4","A4","19","Eim","0.7148486971855164","0.0017296983645512755","AA866","false"
"4","A4","20","Eim","0.7188781499862671","0.001367981067070585","AA866","false"
"4","A4","21","Eim","0.7250468134880066","0.0031454744705786642","AA866","false"
"4","A4","22","Eim","0.7209739089012146","-0.00531860021444464","AA866","false"
"4","A4","23","Eim","0.7189777493476868","-0.011705929866203894","AA866","false"
"4","A4","24","Eim","0.7284371852874756","-0.006637664024646499","AA866","false"
"4","A4","25","Eim","0.7299976348876953","-0.009468384522658083","AA866","false"
"4","A4","26","Eim","0.7365102767944336","-0.007346912714151226","AA866","false"
"4","A4","27","Eim","0.7454660534858704","-0.002782306120945881","AA866","false"
"4","A4","28","Eim","0.7564202547073364","0.0037807250022888718","AA866","false"
"4","A4","29","Eim","0.7744066715240479","0.017375971720768876","AA866","false"
"4","A4","30","Eim","0.8127263188362122","0.051304448934701756","AA866","false"
"4","A4","31","Eim","0.8826828002929688","0.11686976029322704","AA866","false"
"4","A4","32","Eim","1.005814552307129","0.23561034220915578","AA866","false"
"4","A4","33","Eim","1.210821509361267","0.43622612916506254","AA866","false"
"4","A4","34","Eim","1.5412832498550415","0.7622966995606055","AA866","false"
"4","A4","35","Eim","1.9468209743499756","1.1634432539573083","AA866","false"
"4","A4","36","Eim","2.283555269241333","1.4957863787504342","AA866","false"
"4","A4","37","Eim","2.443521738052368","1.6513616774632378","AA866","false"
"4","A4","38","Eim","2.473734140396118","1.6771829097087565","AA866","false"
"4","A4","39","Eim","2.4811205863952637","1.6801781856096707","AA866","false"
"4","A4","40","Eim","2.482179880142212","1.6768463092583874","AA866","false"
"5","A5","1","Eim","0.49137404561042786","-0.041795705597624785","AA866","false"
"5","A5","2","Eim","0.4979906678199768","-0.0401879506844741","AA866","false"
"5","A5","3","Eim","0.5229910612106323","-0.020196424590216738","AA866","false"
"5","A5","4","Eim","0.5350192189216614","-0.013177134175585841","AA866","false"
"5","A5","5","Eim","0.5477269291877747","-0.005478291205870827","AA866","false"
"5","A5","6","Eim","0.557336151599884","-8.779360901596082E-4","AA866","false"
"5","A5","7","Eim","0.5652192831039429","0.0019963281175010734","AA866","false"
