"","Mouse_ID","Target","delta","NE","HI","MC"
"372","AA_0542","IL-6",-1.69,-8,0.882352941,"TRUE"
"373","AA_0542","CXCR3",-1.69,NA,0.882352941,"TRUE"
"374","AA_0542","IL.12",-1.69,NA,0.882352941,"TRUE"
"375","AA_0542","IRG6",-1.69,-5.28666666666667,0.882352941,"TRUE"
"376","AA_0543","GBP2",-8.91,-8.105,0,"FALSE"
"377","AA_0543","CXCR3",-8.91,-3.75166666666667,0,"FALSE"
"378","AA_0543","IL-6",-8.91,-4.755,0,"FALSE"
"379","AA_0543","IRG6",-8.91,-2.625,0,"FALSE"
"380","AA_0543","IL.12",-8.91,-3.74166666666667,0,"FALSE"
"381","AA_0544","IRG6",-6.88,-1.895,0.894736842,"FALSE"
"382","AA_0544","CXCR3",-6.88,-4.73166666666667,0.894736842,"FALSE"
"383","AA_0544","GBP2",-6.88,-4.45833333333333,0.894736842,"FALSE"
"384","AA_0544","IL.12",-6.88,-1.06166666666666,0.894736842,"FALSE"
"385","AA_0544","IL-6",-6.88,-4.84833333333333,0.894736842,"FALSE"
"386","AA_0546","IRG6",-8.05,-1.87333333333333,0.1,"FALSE"
"387","AA_0546","GBP2",-8.05,-4.04333333333334,0.1,"FALSE"
"388","AA_0546","IL.12",-8.05,-4.09,0.1,"FALSE"
"389","AA_0546","CXCR3",-8.05,-4.51333333333334,0.1,"FALSE"
"390","AA_0546","IL-6",-8.05,-4.47666666666667,0.1,"FALSE"
"391","AA_0547","GBP2",-9.43,-8.50666666666666,0.043478261,"FALSE"
"392","AA_0547","IL-6",-9.43,-7.08,0.043478261,"FALSE"
"393","AA_0547","IRG6",-9.43,-4.57,0.043478261,"FALSE"
"394","AA_0547","CXCR3",-9.43,-5.94,0.043478261,"FALSE"
"395","AA_0547","IL.12",-9.43,-6.62666666666667,0.043478261,"FALSE"
"396","AA_0548","IL-6",-8.65,-4.93,0.086956522,"FALSE"
"397","AA_0548","GBP2",-8.65,-8.20666666666667,0.086956522,"FALSE"
"398","AA_0548","CXCR3",-8.65,-4.09,0.086956522,"FALSE"
"399","AA_0548","IRG6",-8.65,-1.65333333333333,0.086956522,"FALSE"
"400","AA_0548","IL.12",-8.65,-4.6,0.086956522,"FALSE"
"401","AA_0549","IL-6",-8.7,-7.35166666666667,0.04,"FALSE"
"402","AA_0549","IRG6",-8.7,-2.34833333333333,0.04,"FALSE"
"403","AA_0549","CXCR3",-8.7,-4.14166666666667,0.04,"FALSE"
"404","AA_0549","GBP2",-8.7,-4.96833333333333,0.04,"FALSE"
"405","AA_0549","IL.12",-8.7,-3.87833333333333,0.04,"FALSE"
"406","AA_0550","IL.12",-9.66,-4.16833333333333,0.05,"FALSE"
"407","AA_0550","IRG6",-9.66,-2.28833333333333,0.05,"FALSE"
"408","AA_0550","IL-6",-9.66,-5.00166666666667,0.05,"FALSE"
"409","AA_0550","GBP2",-9.66,-7.04166666666667,0.05,"FALSE"
"410","AA_0550","CXCR3",-9.66,-4.90166666666667,0.05,"FALSE"
"411","AA_0551","IL.12",-9.85,-5.68666666666667,0,"FALSE"
"412","AA_0551","GBP2",-9.85,-4.89333333333333,0,"FALSE"
"413","AA_0551","IL-6",-9.85,-4.51666666666667,0,"FALSE"
"414","AA_0551","IRG6",-9.85,-1.98666666666667,0,"FALSE"
"415","AA_0551","CXCR3",-9.85,-4.58333333333334,0,"FALSE"
"416","AA_0552","IL.12",-9.46,-4.88333333333333,0,"FALSE"
"417","AA_0552","IL-6",-9.46,-4.70666666666667,0,"FALSE"
"418","AA_0552","GBP2",-9.46,-7.47666666666667,0,"FALSE"
"419","AA_0552","CXCR3",-9.46,-4.07333333333333,0,"FALSE"
"420","AA_0552","IRG6",-9.46,-1.75333333333333,0,"FALSE"
"421","AA_0553","CXCR3",-10.21,-4.44333333333334,0.894736842,"FALSE"
"422","AA_0553","IL-6",-10.21,-4.37333333333333,0.894736842,"FALSE"
"423","AA_0553","IL.12",-10.21,-4.90666666666667,0.894736842,"FALSE"
"424","AA_0553","IRG6",-10.21,-1.08,0.894736842,"FALSE"
"425","AA_0553","GBP2",-10.21,-4.67333333333334,0.894736842,"FALSE"
"426","AA_0554","CXCR3",1.25,-6.19,0.88,"TRUE"
"427","AA_0554","IL.12",1.25,-9.48,0.88,"TRUE"
"428","AA_0554","IRG6",1.25,-4.58,0.88,"TRUE"
"429","AA_0554","IL-6",1.25,-2.66333333333333,0.88,"TRUE"
"430","AA_0554","GBP2",1.25,-5.08,0.88,"TRUE"
"431","AA_0555","IL.12",-4.85,NA,0.88,"TRUE"
"432","AA_0555","GBP2",-4.85,-5.85,0.88,"TRUE"
"433","AA_0555","CXCR3",-4.85,-8.35666666666667,0.88,"TRUE"
"434","AA_0555","IL-6",-4.85,-5.75333333333333,0.88,"TRUE"
"435","AA_0555","IRG6",-4.85,-7.34666666666667,0.88,"TRUE"
"436","AA_0556","GBP2",-6.83,-7.31333333333333,0.65,"TRUE"
"437","AA_0556","IL.12",-6.83,-10.6933333333333,0.65,"TRUE"
"438","AA_0556","IL-6",-6.83,-7.81333333333334,0.65,"TRUE"
"439","AA_0556","CXCR3",-6.83,-10.08,0.65,"TRUE"
"440","AA_0556","IRG6",-6.83,-6.26666666666667,0.65,"TRUE"
"441","AA_0559","GBP2",1.41,-4.53666666666667,0.857142857,"TRUE"
"442","AA_0559","CXCR3",1.41,-5.6,0.857142857,"TRUE"
"443","AA_0559","IL-6",1.41,-4.80333333333333,0.857142857,"TRUE"
"444","AA_0559","IL.12",1.41,-8.46333333333333,0.857142857,"TRUE"
"445","AA_0559","IRG6",1.41,-4.13333333333333,0.857142857,"TRUE"
"446","AA_0561","IRG6",1.31,NA,0.869565217,"TRUE"
"447","AA_0561","CXCR3",1.31,NA,0.869565217,"TRUE"
"448","AA_0561","GBP2",1.31,-6.25666666666667,0.869565217,"TRUE"
"449","AA_0561","IL.12",1.31,NA,0.869565217,"TRUE"
"450","AA_0561","IL-6",1.31,-6.73666666666666,0.869565217,"TRUE"
"451","AA_0569","IRG6",-5.74,-6.615,0,"TRUE"
"452","AA_0569","IL.12",-5.74,-11.9616666666667,0,"TRUE"
"453","AA_0569","GBP2",-5.74,-7.735,0,"TRUE"
"454","AA_0569","CXCR3",-5.74,-9.445,0,"TRUE"
"455","AA_0569","IL-6",-5.74,-9.22833333333333,0,"TRUE"
"456","AA_0572","IRG6",-7.71,-9.29500000000001,0.04,"TRUE"
"457","AA_0572","GBP2",-7.71,-7.945,0.04,"TRUE"
"458","AA_0572","IL.12",-7.71,-13.4083333333333,0.04,"TRUE"
"459","AA_0572","IL-6",-7.71,-8.62166666666667,0.04,"TRUE"
"460","AA_0572","CXCR3",-7.71,-8.875,0.04,"TRUE"
"461","AA_0579","IL-6",-0.100000000000001,NA,0.95,"TRUE"
"462","AA_0579","GBP2",-0.100000000000001,NA,0.95,"TRUE"
"463","AA_0579","IRG6",-0.100000000000001,NA,0.95,"TRUE"
"464","AA_0579","CXCR3",-0.100000000000001,NA,0.95,"TRUE"
"465","AA_0579","IL.12",-0.100000000000001,NA,0.95,"TRUE"
"466","AA_0591","IL-6",3.25,NA,0.611111111,"TRUE"
"467","AA_0591","IRG6",3.25,NA,0.611111111,"TRUE"
"468","AA_0591","CXCR3",3.25,NA,0.611111111,"TRUE"
"469","AA_0591","GBP2",3.25,-2.13666666666667,0.611111111,"TRUE"
"470","AA_0591","IL.12",3.25,NA,0.611111111,"TRUE"
"471","AA_0620","IRG6",-7.81,-7.85,0.16,"FALSE"
"472","AA_0620","IL.12",-7.81,-13.6733333333333,0.16,"FALSE"
"473","AA_0620","IL-6",-7.81,-7.49333333333333,0.16,"FALSE"
"474","AA_0620","GBP2",-7.81,-8.56666666666667,0.16,"FALSE"
"475","AA_0620","CXCR3",-7.81,-8.64,0.16,"FALSE"
"476","AA_0623","IL.12",-6.78,-13,0,"TRUE"
"477","AA_0623","IRG6",-6.78,-7.56,0,"TRUE"
"478","AA_0623","GBP2",-6.78,-9.33666666666667,0,"TRUE"
"479","AA_0623","IL-6",-6.78,-10.5666666666667,0,"TRUE"
"480","AA_0623","CXCR3",-6.78,-11.1633333333333,0,"TRUE"
"481","AA_0631","IL.12",-7.74,NA,0.777777778,"TRUE"
"482","AA_0631","IL-6",-7.74,-12.735,0.777777778,"TRUE"
"483","AA_0631","GBP2",-7.74,-7.94166666666666,0.777777778,"TRUE"
"484","AA_0631","IRG6",-7.74,-8.755,0.777777778,"TRUE"
"485","AA_0631","CXCR3",-7.74,NA,0.777777778,"TRUE"
"486","AA_0635","CXCR3",-5.82,-9.98333333333333,0.736842105,"TRUE"
"487","AA_0635","IL-6",-5.82,-8.89666666666667,0.736842105,"TRUE"
"488","AA_0635","IL.12",-5.82,-11.8166666666667,0.736842105,"TRUE"
"489","AA_0635","IRG6",-5.82,-6.71,0.736842105,"TRUE"
"490","AA_0635","GBP2",-5.82,-7.26666666666667,0.736842105,"TRUE"
"491","AA_0636","CXCR3",-6.82,-11.385,0.8,"TRUE"
"492","AA_0636","IRG6",-6.82,-7.70166666666667,0.8,"TRUE"
"493","AA_0636","IL.12",-6.82,-12.4283333333333,0.8,"TRUE"
"494","AA_0636","IL-6",-6.82,-9.23166666666667,0.8,"TRUE"
"495","AA_0636","GBP2",-6.82,-8.125,0.8,"TRUE"
"496","AA_0643","CXCR3",-8.06,-1.87,0.84,"TRUE"
"497","AA_0643","IL.12",-8.06,-9.75333333333334,0.84,"TRUE"
"498","AA_0643","IRG6",-8.06,-4.83,0.84,"TRUE"
"499","AA_0643","GBP2",-8.06,-5.83666666666667,0.84,"TRUE"
"500","AA_0643","IL-6",-8.06,-4.79666666666667,0.84,"TRUE"
"501","AA_0646","GBP2",-5.08,-6.325,0.842105263,"TRUE"
"502","AA_0646","IL.12",-5.08,-10.6516666666667,0.842105263,"TRUE"
"503","AA_0646","CXCR3",-5.08,-7.90166666666667,0.842105263,"TRUE"
"504","AA_0646","IL-6",-5.08,-9.775,0.842105263,"TRUE"
"505","AA_0646","IRG6",-5.08,-5.325,0.842105263,"TRUE"
"506","AA_0650","GBP2",-2.15,-4.80666666666666,0.8,"TRUE"
"507","AA_0650","CXCR3",-2.15,-8.45333333333333,0.8,"TRUE"
"508","AA_0650","IL-6",-2.15,-5.76333333333333,0.8,"TRUE"
"509","AA_0650","IL.12",-2.15,-8.01333333333334,0.8,"TRUE"
"510","AA_0650","IRG6",-2.15,-4.02,0.8,"TRUE"
"511","AA_0661","CXCR3",-1.81,-8.22833333333333,0.88,"TRUE"
"512","AA_0661","IRG6",-1.81,-6.53833333333333,0.88,"TRUE"
"513","AA_0661","GBP2",-1.81,-6.83833333333333,0.88,"TRUE"
"514","AA_0661","IL.12",-1.81,-9.695,0.88,"TRUE"
"515","AA_0661","IL-6",-1.81,-7.62166666666666,0.88,"TRUE"
"516","AA_0662","IRG6",-2.5,-6.68666666666666,0.95,"TRUE"
"517","AA_0662","CXCR3",-2.5,-10.7433333333333,0.95,"TRUE"
"518","AA_0662","IL.12",-2.5,-11.5266666666667,0.95,"TRUE"
"519","AA_0662","GBP2",-2.5,-7.36333333333333,0.95,"TRUE"
"520","AA_0662","IL-6",-2.5,-10.72,0.95,"TRUE"
"521","AA_0666","IRG6",-5.13,-4.57,0.84,"TRUE"
"522","AA_0666","GBP2",-5.13,-6.21666666666667,0.84,"TRUE"
"523","AA_0666","IL.12",-5.13,-8.97,0.84,"TRUE"
"524","AA_0666","CXCR3",-5.13,-6.01666666666667,0.84,"TRUE"
"525","AA_0666","IL-6",-5.13,-5.98666666666666,0.84,"TRUE"
