"Mouse_ID","MC.Eimeria","delta_ct_cewe_MminusE","eimeriaSpecies","OPG","Sex","Latitude","Longitude","Year","HI"
"AA_0283",NA,-5,"Negative",0,"F",52.8969,13.5353,2017,0.083333333
"AA_0284",NA,-5,"Negative",0,"F",52.8969,13.5353,2017,0.272727273
"AA_0285",NA,-5,"Negative",0,"M",52.8969,13.5353,2017,0.176470588
"AA_0286",NA,-14.1,"Negative",0,"F",52.3744,13.7772,2017,0.04
"AA_0287",NA,-5,"Negative",NA,"M",52.6053,13.8756,2017,0.9
"AA_0288",NA,-13.59,"Negative",0,"M",52.6053,13.8756,2017,0.8125
"AA_0289",NA,-12.3433333333333,"Negative",0,"M",52.6053,13.8756,2017,0.947368421
"AA_0290",NA,-15.91,"Negative",0,"F",52.6053,13.8756,2017,0.869565217
"AA_0291",NA,-12.8,"Negative",0,"F",52.8969,13.5353,2017,0.16
"AA_0292",NA,-12.81,"Negative",NA,"F",52.8969,13.5353,2017,0.12
"AA_0293",NA,NA,"Negative",NA,"F",53.1406,13.7586,2017,0.88
"AA_0294",NA,NA,"Negative",NA,"M",52.7914,14.1161,2017,0.7
"AA_0295",NA,NA,"Negative",0,"M",52.7914,14.1161,2017,0.9
"AA_0296",NA,-3.435,"E_ferrisi",1538461.53846154,"M",52.7383,14.0953,2017,0.95
"AA_0297",NA,NA,"Negative",0,"F",52.7914,14.1161,2017,0.8
"AA_0298",NA,-4.73,"E_ferrisi",16153846.1538462,"F",52.7383,14.0953,2017,0.76
"AA_0299",NA,-11.1,"E_ferrisi",0,"M",52.7383,14.0953,2017,0.894736842
"AA_0300",NA,-11.46,"Negative",5208.33333333333,"F",52.7914,14.1161,2017,0.88
"AA_0301",NA,-3.73666666666667,"Negative",14583.3333333333,"F",52.7383,14.0953,2017,0.782608696
"AA_0302",NA,-14.33,"Negative",0,"M",52.497666,13.676085,2017,0.388888889
"AA_0303",NA,-2.07,"E_ferrisi",2812500,"M",52.2428,13.8675,2017,0.2
"AA_0304",NA,-11.04,"Negative",0,"F",52.497666,13.676085,2017,0.52
"AA_0304_E1",NA,NA,NA,NA,"M",52.4978,13.6761,2017,0.714285714285714
"AA_0304_E2",NA,NA,NA,NA,"M",52.4978,13.6761,2017,0.666666666666667
"AA_0305",NA,-10.85,"Negative",NA,"F",52.8969,13.5353,2017,0.2
"AA_0306",NA,-10.99,"Negative",0,"M",52.2428,13.8675,2017,0.263157895
"AA_0307",NA,-10.51,"Negative",0,"F",52.2428,13.8675,2017,0.12
"AA_0308",NA,-6.32,"E_ferrisi",889423.076923077,"M",52.2428,13.8675,2017,0.3
"AA_0309",NA,NA,"E_ferrisi",1666666.66666667,"F",52.2428,13.8675,2017,0.24
"AA_0310",NA,-9.21,"E_falciformis",1250000,"F",52.7383,14.0953,2017,0.8
"AA_0311",NA,-15.6,"Negative",1034482.75862069,"F",52.7383,14.0953,2017,0.88
"AA_0312",NA,-11.41,"E_ferrisi",144444.444444444,"F",52.7383,14.0953,2017,0.96
