"Mouse_ID","Target","Task","Reporter","Amp Status","Amp Score","Cq Confidence","ILWE_Crypto_Ct","Cq SD","Threshold","Auto Baseline","Baseline Start","Baseline End","plate","ILWE_Crypto_Ct1","ILWE_Crypto_Ct2","ILWE_Crypto_Ct3"
"AA_0773","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.0399999991059303,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate4.eds",NA,NA,NA
"AA_0774","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.211462620160383,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate2.eds",NA,NA,NA
"AA_0775","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.0926475283105291,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate6.eds",NA,NA,NA
"AA_0780","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.12809791932362,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate3.eds",NA,NA,NA
"AA_0783","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.211462620160383,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate2.eds",NA,NA,NA
"AA_0784","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.0399999991059303,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate4.eds",NA,NA,NA
"AA_0786","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.0399999991059303,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate4.eds",NA,NA,NA
"AA_0788","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.265073790415862,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate5.eds",NA,NA,NA
"AA_0789","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.269380199710307,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate1.eds",NA,NA,NA
"AA_0790","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.211462620160383,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate2.eds",NA,NA,NA
"AA_0791","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.269380199710307,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate1.eds",NA,NA,NA
"AA_0793","Unknown","UNKNOWN","FAM","Amp",1.38066300255821,0.931102813088172,29.46,0.425564865082324,0.12809791932362,"TRUE",3,25,"HZ19_ILWE_Crypto_Plate3.eds",29.8589805464626,29.0108841543673,29.4971074697445
"AA_0794","Unknown","UNKNOWN","FAM","Amp",1.44769456216082,0.993551873861616,31.18,0.373752384737533,0.12809791932362,"TRUE",3,26,"HZ19_ILWE_Crypto_Plate3.eds",30.9839957632673,30.9469603528954,31.6120411401351
"AA_0799","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.12809791932362,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate3.eds",NA,NA,NA
"AA_0801","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.0399999991059303,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate4.eds",NA,NA,NA
"AA_0801","Unknown","UNKNOWN","FAM","Amp",1.28424532343755,0.972680142677491,33.59,0.688432557444845,0.0399999991059303,"TRUE",3,31,"HZ19_ILWE_Crypto_Plate4.eds",33.5275994821978,32.9318855702619,34.3047596701835
"AA_0804","Unknown","UNKNOWN","FAM","Amp",1.44901384601977,0.982944677665324,32.63,0.195635002130079,0.211462620160383,"TRUE",3,26,"HZ19_ILWE_Crypto_Plate2.eds",32.5244677285324,32.516021180802,32.8590152533646
"AA_0805","Unknown","UNKNOWN","FAM","Amp",1.47915721254527,0.97411201550957,29.7,0.0728446589633559,0.269380199710307,"TRUE",3,24,"HZ19_ILWE_Crypto_Plate1.eds",29.75638787324,29.6156803228281,29.7187460524533
