"","Mouse_ID","Ct.Eimeria","MC.Eimeria","Ct.Mus","delta","EXP_type","IFNy","CD4","Treg","Div_Treg","Treg17","Th1","Div_Th1","Th17","Div_Th17","CD8","Act_CD8","Div_Act_CD8","IFNy_CD4","IL17A_CD4","IFNy_CD8","Position"
"44","AA_0702",33.1933333333333,FALSE,16.8866666666667,-16.3066666666667,"wild",NA,48.5,4.92,21.6,4.26,1.04,27.5,1.48,9.18,18.3,10.5,13.6,12.5,3.65,25,"mLN"
"45","AA_0703",33.5466666666667,FALSE,22.8533333333333,-10.6933333333333,"wild",NA,30.7,10.6,11.4,10.5,7.38,16.5,4.01,6.81,16.1,10.5,13.6,6.68,1.59,25.2,"mLN"
"46","AA_0703",33.5466666666667,FALSE,22.8533333333333,-10.6933333333333,"wild",NA,25,9.54,21.3,9.41,12.7,15,2.02,11.1,12.1,26,9.51,20.8,1.24,36.3,"spleen"
"47","AA_0704",32.93,FALSE,23.52,-9.41,"wild",133.679258760397,22.7,3.62,26.2,7.74,12.4,44.4,1.31,16.1,14.8,49.4,39.2,5.03,2.34,15.4,"mLN"
"48","AA_0704",32.93,FALSE,23.52,-9.41,"wild",133.679258760397,25.4,5.64,28.2,2.97,30.5,56.5,2.18,13.5,27.1,70.8,49.2,32.3,5.01,56.5,"spleen"
"49","AA_0705",34.44,FALSE,22.72,-11.72,"wild",21.4613032713458,13.6,3.47,40.3,9.3,9.28,22,9.24,8.33,4.78,19.5,7.58,13.1,8.23,2.99,"spleen"
"50","AA_0705",34.44,FALSE,22.72,-11.72,"wild",21.4613032713458,37.9,3.46,38.5,10.9,2.68,28.6,6.31,13.2,13.1,19.3,6.54,4.66,0.98,5.88,"mLN"
"51","AA_0706",34.1566666666667,FALSE,23.4833333333333,-10.6733333333333,"wild",35.0842022081647,49.8,6.51,18.6,4.3,2.13,38.4,3.14,6.35,22.3,9.25,17,0.74,1.48,0.65,"mLN"
"52","AA_0706",34.1566666666667,FALSE,23.4833333333333,-10.6733333333333,"wild",35.0842022081647,10.7,5.58,24.2,3.97,7.76,21,10.8,8.19,8.41,8.77,12,8.04,5.61,2.09,"spleen"
"53","AA_0708",32.6733333333333,FALSE,21.7433333333333,-10.93,"wild",NA,23.4,6.11,45.4,4.78,3.31,39.9,1.82,16.6,12.3,15.4,20,5.87,0.92,5.3,"spleen"
