Name,Ct SYBR,Target SYBR,Ct Dev SYBR
CEWE_AA_544,24.75,beta-Actin,0.43
CEWE_AA_650,26.620000000000001,beta-Actin,0.56
CEWE_AA_650,25.550000000000001,beta-Actin,0.56
CEWE_AA_650,25.760000000000002,beta-Actin,0.56
CEWE_AA_555,24.850000000000001,beta-Actin,0.54
CEWE_AA_555,24,beta-Actin,0.54
CEWE_AA_555,23.84,beta-Actin,0.54
CEWE_AA_556,20.620000000000001,beta-Actin,0.08
CEWE_AA_556,20.530000000000001,beta-Actin,0.08
CEWE_AA_556,20.469999999999999,beta-Actin,0.08
CEWE_AA_544,28.079999999999998,IL-6,0.08
CEWE_AA_544,27.91,IL-6,0.08
CEWE_AA_544,27.969999999999999,IL-6,0.08
CEWE_AA_650,32.520000000000003,IL-6,1.85
CEWE_AA_650,29.719999999999999,IL-6,1.85
CEWE_AA_650,29.039999999999999,IL-6,1.85
CEWE_AA_555,29.77,IL-6,0.59
CEWE_AA_555,28.739999999999998,IL-6,0.59
CEWE_AA_555,28.739999999999998,IL-6,0.59
CEWE_AA_556,27.940000000000001,IL-6,0.04
CEWE_AA_556,27.960000000000001,IL-6,0.04
CEWE_AA_556,28.010000000000002,IL-6,0.04
CEWE_AA_544,28.260000000000002,IL-12b,5.62
CEWE_AA_544,26.550000000000001,IL-12b,5.62
CEWE_AA_544,17.789999999999999,IL-12b,5.62
CEWE_AA_650,33.109999999999999,IL-12b,0.56
CEWE_AA_650,32.039999999999999,IL-12b,0.56
CEWE_AA_650,32.880000000000003,IL-12b,0.56
CEWE_AA_555,,IL-12b,
CEWE_AA_555,37.189999999999998,IL-12b,
CEWE_AA_555,,IL-12b,
CEWE_AA_556,30.969999999999999,IL-12b,0.32
CEWE_AA_556,30.489999999999998,IL-12b,0.32
CEWE_AA_556,31.09,IL-12b,0.32
CEWE_AA_544,28.210000000000001,GBP2,0.53
CEWE_AA_544,27.219999999999999,GBP2,0.53
CEWE_AA_544,27.359999999999999,GBP2,0.53
CEWE_AA_650,30.59,GBP2,0.97
CEWE_AA_650,28.969999999999999,GBP2,0.97
CEWE_AA_650,28.850000000000001,GBP2,0.97
CEWE_AA_555,29.649999999999999,GBP2,0.41
CEWE_AA_555,28.98,GBP2,0.41
CEWE_AA_555,28.91,GBP2,0.41
CEWE_AA_556,27.579999999999998,GBP2,0.12
CEWE_AA_556,27.48,GBP2,0.12
CEWE_AA_556,27.350000000000001,GBP2,0.12
CEWE_AA_544,29.16,CXCR3,1.12
CEWE_AA_544,27.280000000000001,CXCR3,1.12
CEWE_AA_544,27.170000000000002,CXCR3,1.12
CEWE_AA_650,31.48,CXCR3,2.08
CEWE_AA_650,32.409999999999997,CXCR3,2.08
CEWE_AA_650,35.460000000000001,CXCR3,2.08
CEWE_AA_555,31.469999999999999,CXCR3,0.2
CEWE_AA_555,31.870000000000001,CXCR3,0.2
CEWE_AA_555,31.719999999999999,CXCR3,0.2
CEWE_AA_556,30.25,CXCR3,0.54
CEWE_AA_556,30.77,CXCR3,0.54
CEWE_AA_556,29.690000000000001,CXCR3,0.54
CEWE_AA_544,26.260000000000002,IRG6,1.06
