Transect,State,Locality,Code,ID_mouse,Sex,Species,Year,Capture,Dissection,Head taken?,Ectoparasites,Body_weight,Body_length,Tail_length,Liver_mass,Spleen_mass,Testis_mass,Left epididymis weight,Seminal vesicle weight,Embryo,Notes
,,,,,nb male :,93,,,,159,,,,,,,,,,,
,,,,,nb female :,117,,,,,,,,,,,,,,,
HZ_BR,Germany,,RUDN21,AA_0097,male,mus musculus,2016,25.09.2016,26.09.2016,TRUE,FALSE,10515,71,61,NA,15,0.052/0.054,15,33,,
HZ_BR,Germany,,RUDN21,AA_0098,male,mus musculus,2016,25.09.2016,26.09.2016,TRUE,FALSE,15579,80,81,NA,23,0.078/0.077,25,104,,
HZ_BR,Germany,,E_GR17,AA_0099,male,mus musculus,2016,25.09.2016,26.09.2016,TRUE,fleas,17583,78,84,NA,42,0.064/0.07,26,137,,
HZ_BR,Germany,,E_RO38,AA_0100,female,mus musculus,2016,25.09.2016,26.09.2016,TRUE,fleas,5823,59,66,NA,8,NA,NA,NA,,
HZ_BR,Germany,,E_RO38,AA_0101,male,mus musculus,2016,25.09.2016,26.09.2016,TRUE,fleas,16541,84,91,NA,39,0.072/0.076,19,95,,
HZ_BR,Germany,,E_GRAF,AA_0102,male,mus musculus,2016,25.09.2016,26.09.2016,TRUE,fleas,14945,77,78,NA,12,0.069/0.073,23,136,,
HZ_BR,Germany,,E_ZEH8,AA_0103,female,mus musculus,2016,25.09.2016,26.09.2016,TRUE,fleas,17.78,86,76,NA,34,NA,NA,NA,,
HZ_BR,Germany,,E_ZEH8,AA_0104,male,mus musculus,2016,25.09.2016,26.09.2016,TRUE,fleas,20586,91,84,NA,46,0.083/0.092,0.03,106,,
HZ_BR,Germany,,E_ZEH8,AA_0105,female,mus musculus,2016,25.09.2016,26.09.2016,TRUE,FALSE,15274,82,72,NA,27,NA,NA,NA,,
HZ_BR,Germany,,E_ZEH8,AA_0106,male,mus musculus,2016,25.09.2016,26.09.2016,TRUE,fleas,14.14,76,66,NA,36,0.05/0.054,17,126,,
HZ_BR,Germany,,E_ZEH8,AA_0107,female (pregnant),mus musculus,2016,25.09.2016,26.09.2016,TRUE,FALSE,22351,84,75,NA,41,NA,NA,NA,,
HZ_BR,Germany,,E_ZEH8,AA_0108,male,mus musculus,2016,25.09.2016,26.09.2016,TRUE,fleas,16921,82,79,NA,34,0.085/0.080,26,0.12,,
HZ_BR,Germany,,E_ZEH8,AA_0109,male,mus musculus,2016,25.09.2016,26.09.2016,TRUE,FALSE,18.13,85,75,NA,41,0.08/0.091,33,0.12,,
HZ_BR,Germany,,HOPPE1,AA_0110,male,mus musculus,2016,24.09.2016,26.09.2016,TRUE,FALSE,18718,83,86,NA,25,0.051/0.052,18,158,,
HZ_BR,Germany,,E_KIR1,AA_0111,female (young),mus musculus,2016,26.09.2016,27.09.2016,TRUE,FALSE,6.71,68,57,NA,14,NA,NA,NA,,
HZ_BR,Germany,,E_KIR1,AA_0112,male (young),mus musculus,2016,26.09.2016,27.09.2016,TRUE,FALSE,4.11,46,49,NA,7,0.004/0.003,too small,2,,
HZ_BR,Germany,,E_WOLZ,AA_0113,male,mus musculus,2016,26.09.2016,27.09.2016,TRUE,FALSE,9768,64,76,NA,0.03,0.018/0.017,3,NA,,
HZ_BR,Germany,,E_KIR1,AA_0114,female,mus musculus,2016,26.09.2016,27.09.2016,TRUE,FALSE,9076,64,67,NA,19,NA,NA,NA,,
HZ_BR,Germany,,E_ZEH8,AA_0115,male,mus musculus,2016,25.09.2016,27.09.2016,TRUE,FALSE,10.31,70,67,NA,17,0.049/0.046,11,8,,
HZ_BR,Germany,,E_ZEH8,AA_0116,male,mus musculus,2016,25.09.2016,27.09.2016,TRUE,FALSE,16562,79,70,NA,36,0.053/0.056,21,152,,
HZ_BR,Germany,,E_ZEH8,AA_0117,female,mus musculus,2016,25.09.2016,27.09.2016,TRUE,FALSE,11378,65,73,NA,19,NA,NA,NA,,
HZ_BR,Germany,,E_ZEH8,AA_0118,female,mus musculus,2016,25.09.2016,27.09.2016,TRUE,fleas,12.73,83,76,NA,31,NA,NA,NA,,
HZ_BR,Germany,,E_ZEH8,AA_0119,female,mus musculus,2016,25.09.2016,27.09.2016,TRUE,fleas,13.96,73,73,NA,0.02,NA,NA,NA,,
HZ_BR,Germany,,E_KIR1,AA_0120,female,mus musculus,2016,26.09.2016,27.09.2016,TRUE,fleas,15.73,84,74,NA,42,NA,NA,NA,,
HZ_BR,Germany,,E_KIR1,AA_0121,female,mus musculus,2016,26.09.2016,27.09.2016,TRUE,FALSE,21.55,94,71,NA,43,NA,NA,NA,,
HZ_BR,Germany,,E_ZEH8,AA_0122,female,mus musculus,2016,25.09.2016,27.09.2016,TRUE,FALSE,11.23,71,72,NA,0.03,NA,NA,NA,,
HZ_BR,Germany,,E_MIL1,AA_0123,female,mus musculus,2016,26.09.2016,27.09.2016,TRUE,FALSE,16351,80,81,NA,48,NA,NA,NA,,
HZ_BR,Germany,,E_MIL1,AA_0124,female,mus musculus,2016,25.09.2016,27.09.2016,TRUE,fleas,8381,63,66,NA,11,NA,NA,NA,,
HZ_BR,Germany,,E_MIL1,AA_0125,female,mus musculus,2016,26.09.2016,27.09.2016,TRUE,FALSE,15.57,72,85,NA,28,NA,NA,NA,,
HZ_BR,Germany,,E_KI13,AA_0126,female,mus musculus,2016,26.09.2016,27.09.2016,TRUE,FALSE,11784,72,78,NA,24,NA,NA,NA,,
HZ_BR,Germany,,E_RIB8,AA_0127,male,mus musculus,2016,26.09.2016,27.09.2016,TRUE,fleas,17.7,88,80,NA,39,0.079/0.080,0.02,65,,
HZ_BR,Germany,,E_ALTE,AA_0128,male,mus musculus,2016,26.09.2016,27.09.2016,TRUE,fleas,10008,67,60,NA,17,0.047/0.051,11,24,,
HZ_BR,Germany,,E_RIB8,AA_0129,female,mus musculus,2016,26.09.2016,28.09.2016,TRUE,fleas,21588,86,89,NA,47,NA,NA,NA,,
HZ_BR,Germany,,E_EGS7,AA_0130,female,mus musculus,2016,26.09.2016,28.09.2016,TRUE,FALSE,12.38,72,75,NA,21,NA,NA,NA,,
HZ_BR,Germany,,E_EGS7,AA_0131,male,mus musculus,2016,26.09.2016,28.09.2016,TRUE,FALSE,10634,65,70,NA,9,0.039/0.044,6,5,,
HZ_BR,Germany,,E_EGS7,AA_0132,male,mus musculus,2016,26.09.2016,28.09.2016,TRUE,fleas,20.25,85,86,NA,43,0.075/0.078,32,297,,
HZ_BR,Germany,,E_GUTS,AA_0133,male,mus musculus,2016,26.09.2016,28.09.2016,TRUE,FALSE,17374,87,89,NA,21,0.088/0.089,39,148,,
HZ_BR,Germany,,E_EGS7,AA_0134,female (pregnant),mus musculus,2016,26.09.2016,28.09.2016,TRUE,FALSE,19.85,82,75,NA,0.03,NA,NA,NA,,
HZ_BR,Germany,,E_EGS7,AA_0135,male,mus musculus,2016,26.09.2016,28.09.2016,TRUE,FALSE,17561,82,84,NA,46,0.081/0.073,26,175,,
HZ_BR,Germany,,E_KI13,AA_0136,male (young),mus musculus,2016,26.09.2016,28.09.2016,TRUE,fleas,6063,59,57,NA,11,0.008/0.010,2,5,,
HZ_BR,Germany,,E_KI13,AA_0137,female,mus musculus,2016,26.09.2016,28.09.2016,TRUE,FALSE,17.73,80,84,NA,0.03,NA,NA,NA,,
HZ_BR,Germany,,E_STE1,AA_0138,female,mus musculus,2016,27.09.2016,28.09.2016,TRUE,fleas,17.62,90,79,NA,23,NA,NA,NA,,
HZ_BR,Germany,,E_ANDE,AA_0139,male,mus musculus,2016,27.09.2016,28.09.2016,TRUE,fleas,9.8,64,56,NA,14,0.023/0.025,4,3,,
HZ_BR,Germany,,E_WILM,AA_0140,female,mus musculus,2016,27.09.2016,28.09.2016,TRUE,FALSE,19.01,84,77,NA,53,NA,NA,NA,,
HZ_BR,Germany,,E_WILM,AA_0141,male,mus musculus,2016,27.09.2016,28.09.2016,TRUE,FALSE,12.47,74,72,NA,0.04,0.049/0.052,15,21,,
HZ_BR,Germany,,E_WILM,AA_0142,female,mus musculus,2016,27.09.2016,28.09.2016,TRUE,FALSE,16152,82,78,NA,63,NA,NA,NA,,
HZ_BR,Germany,,E_MU14,AA_0143,male,mus musculus,2016,27.09.2016,28.09.2016,TRUE,fleas,11986,NA,NA,NA,25,0.026/0.031,11,0.01,,
HZ_BR,Germany,,E_LUDE,AA_0144,female,mus musculus,2016,27.09.2016,28.09.2016,TRUE,fleas,15.83,82,72,NA,42,NA,NA,NA,,
HZ_BR,Germany,,E_WRI6,AA_0145,female,mus musculus,2016,27.09.2016,28.09.2016,TRUE,FALSE,11.39,80,74,NA,24,NA,NA,NA,,
HZ_BR,Germany,20h35,E_DU19,AA_0146,male,mus musculus,2016,28.09.2016,29.09.2016,TRUE,fleas,20668,83,82,NA,15,0.062/0.059,22,171,,
HZ_BR,Germany,,E_LUCK,AA_0147,female,mus musculus,2016,28.09.2016,29.09.2016,TRUE,FALSE,15.51,76,86,NA,36,NA,NA,NA,,
HZ_BR,Germany,,E_DU19,AA_0148,male,mus musculus,2016,28.09.2016,29.09.2016,TRUE,fleas,12.05,69,78,NA,39,0.024/0.027,5,7,,
HZ_BR,Germany,,E_LUCK,AA_0149,female,mus musculus,2016,28.09.2016,29.09.2016,TRUE,FALSE,10816,69,73,NA,22,NA,NA,NA,,
HZ_BR,Germany,,E_DU19,AA_0150,male,mus musculus,2016,28.09.2016,29.09.2016,TRUE,fleas,21245,85,85,NA,35,0.058/0.059,23,107,,
