Mouse_ID,Transect,State,Address,Code,Latitude,Longitude,Sex,Status,Species,Year,Capture,Dissection,Dissectors,Ectoparasites,Body_weight,Body_length,Tail_length,Spleen_mass,Left_Testis_mass,Right_Testis_mass,Left.epididymis.weight,Seminal.vesicle.weight,Left.ovarium.weight,Right.ovarium.weight,Total,Embryo_left,Embryo_right,Feces_weight,Worms_presence,Syphacia_cecum_colon,Cysticercus_tenia_teniformis_liver,Catotenia_pusilla_SI,Mastophorus_stomach_SI,Heterakis_spumosa_colon_cecum,Tapeworm_SI,Trichuris_cecum,Aspiculuris_colon,Hymenolepis_SI,Rodentolepis_liver_digtract,Mesocoides_body_cavities,Mesocoides_lungs,Heigmosomoides_polyguis,H_diminita?,Notes
AA_0278,HZ_BR,Germany,Reiterhof Böse,NA,52.896941,13.535213,female,young,Mus musculus,2017,12/09/17,13/09/17,Czech,FALSE,9.21,66.98,75,0.0176,NA,NA,NA,NA,0.0013,0.0011,0.0024,0,0,0.08,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA
AA_0279,HZ_BR,Germany,Alt-Gielsdorf 68 15345 Alt-Landsberg,GIEL68,52.6053,13.8756,female,adult,Mus musculus,2017,12/09/17,13/09/17,Czech,FALSE,15.43,75.78,def,0.0273,0.1122,0.11,0.0202,0.0957,NA,NA,NA,0,0,0.35,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA
AA_0280,HZ_BR,Germany,Alt-Gielsdorf 68 15345 Alt-Landsberg,GIEL68,52.6053,13.8756,female,young,Mus musculus,2017,12/09/17,13/09/17,Czech,FALSE,7.45,63.95,67.4,0.0219,NA,NA,NA,NA,NA,NA,NA,0,0,0.07,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA
AA_0281,HZ_BR,Germany,Wildpark Schorfheide,SCHORFHOF,52.921731,13.547089,male,young,Mus musculus,2017,12/09/17,13/09/17,Czech,FALSE,11.39,74.14,74.14,0.0187,0.0248,0.0265,0.0065,NA,NA,NA,NA,NA,NA,0.19,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA
AA_0282,HZ_BR,Germany,Wildpark Schorfheide,SCHORFHOF,52.921731,13.547089,male,adult,Mus musculus,2017,12/09/17,13/09/17,Czech,FALSE,9.57,66.58,72.23,0.0128,0.0234,0.0235,NA,NA,NA,NA,NA,NA,NA,0.21,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA
AA_0283,HZ_BR,Germany,Wildpark Schorfheide,SCHORFHOF,52.921731,13.547089,female,adult,Mus musculus,2017,12/09/17,13/09/17,German,FALSE,16.45,77.02,77.01,0.2,NA,NA,NA,NA,NA,NA,NA,0,0,0.19,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA
AA_0284,HZ_BR,Germany,Wildpark Schorfheide,SCHORFHOF,52.921731,13.547089,female,adult,Mus musculus,2017,12/09/17,13/09/17,German,FALSE,21.51,84.53,85.33,0.05,NA,NA,NA,NA,NA,NA,NA,0,0,0.05,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA
AA_0285,HZ_BR,Germany,Wildpark Schorfheide,SCHORFHOF,52.921731,13.547089,male,young,Mus musculus,2017,12/09/17,13/09/17,German,FALSE,10.04,66.99,70.05,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA
AA_0286,HZ_BR,Germany,Kiefernweg 8 15537 Gosen-Neu Zittau,NA,52.374686,13.777103,na,adult,Mus musculus,2017,12/09/17,13/09/17,German,FALSE,11.87,71.15,79.27,<0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA
AA_0287,HZ_BR,Germany,Alt-Gielsdorf 68 15345 Alt-Landsberg,GIEL68,52.6053,13.8756,male,young,Mus musculus,2017,12/09/17,13/09/17,German,FALSE,7.89,65.91,60.55,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA
