"Mouse_ID","OPG","counter","year"
"AA_0272",0,"Lorenzo","2017"
"AA_0273",0,"Lorenzo","2017"
"AA_0274",4464,"Lorenzo","2017"
"AA_0275",0,"Lorenzo","2017"
"AA_0276",0,"Lorenzo","2017"
"AA_0277",0,"Lorenzo","2017"
"AA_0278",0,"Lorenzo","2017"
"AA_0279",0,"Lorenzo","2017"
"AA_0280",0,"Lorenzo","2017"
"AA_0281",0,"Lorenzo","2017"
"AA_0282",0,"Lorenzo","2017"
"AA_0283",0,"Lorenzo","2017"
"AA_0284",0,"Lorenzo","2017"
"AA_0285",0,"Lorenzo","2017"
"AA_0286",0,"Lorenzo","2017"
"AA_0288",0,"Lorenzo","2017"
"AA_0289",0,"Lorenzo","2017"
"AA_0290",0,"Lorenzo","2017"
"AA_0291",0,"Lorenzo","2017"
"AA_0295",0,"Lorenzo","2017"
"AA_0296",42582,"Lorenzo","2017"
"AA_0297",0,"Lorenzo","2017"
"AA_0298",413462,"Lorenzo","2017"
"AA_0299",0,"Lorenzo","2017"
"AA_0300",0,"Lorenzo","2017"
"AA_0302",0,"Lorenzo","2017"
"AA_0303",62500,"Lorenzo","2017"
"AA_0304",0,"Lorenzo","2017"
"AA_0306",0,"Lorenzo","2017"
"AA_0307",0,"Lorenzo","2017"
"AA_0308",14423,"Lorenzo","2017"
"AA_0309",41667,"Lorenzo","2017"
"AA_0310",17857,"Lorenzo","2017"
"AA_0311",8621,"Lorenzo","2017"
"AA_0312",66667,"Lorenzo","2017"
"AA_0313",0,"Lorenzo","2017"
"AA_0314",145833,"Lorenzo","2017"
"AA_0315",0,"Lorenzo","2017"
"AA_0316",60484,"Lorenzo","2017"
"AA_0317",0,"Lorenzo","2017"
"AA_0318",0,"Lorenzo","2017"
"AA_0319",46131,"Lorenzo","2017"
"AA_0320",0,"Lorenzo","2017"
"AA_0321",21341,"Lorenzo","2017"
"AA_0322",0,"Lorenzo","2017"
"AA_0323",0,"Lorenzo","2017"
"AA_0324",0,"Lorenzo","2017"
"AA_0325",12931,"Lorenzo","2017"
"AA_0326",0,"Lorenzo","2017"
"AA_0327",0,"Lorenzo","2017"
"AA_0328",0,"Lorenzo","2017"
"AA_0329",0,"Lorenzo","2017"
"AA_0330",0,"Lorenzo","2017"
"AA_0331",0,"Lorenzo","2017"
"AA_0332",0,"Lorenzo","2017"
"AA_0333",0,"Lorenzo","2017"
"AA_0334",0,"Lorenzo","2017"
"AA_0335",0,"Lorenzo","2017"
"AA_0336",0,"Lorenzo","2017"
"AA_0337",0,"Lorenzo","2017"
"AA_0338",6667,"Lorenzo","2017"
"AA_0339",0,"Lorenzo","2017"
"AA_0340",0,"Lorenzo","2017"
"AA_0341",0,"Lorenzo","2017"
"AA_0342",0,"Lorenzo","2017"
"AA_0343",0,"Lorenzo","2017"
"AA_0344",0,"Lorenzo","2017"
"AA_0345",0,"Lorenzo","2017"
"AA_0346",0,"Lorenzo","2017"
"AA_0347",0,"Lorenzo","2017"
"AA_0348",0,"Lorenzo","2017"
"AA_0349",15306,"Lorenzo","2017"
"AA_0350",5556,"Lorenzo","2017"
"AA_0351",0,"Lorenzo","2017"
"AA_0352",1008,"Lorenzo","2017"
"AA_0353",0,"Lorenzo","2017"
"AA_0354",0,"Lorenzo","2017"
"AA_0355",0,"Lorenzo","2017"
"AA_0356",0,"Lorenzo","2017"
"AA_0358",0,"Lorenzo","2017"
"AA_0359",0,"Lorenzo","2017"
"AA_0365",0,"Lorenzo","2017"
"AA_0366",844697,"Lorenzo","2017"
"AA_0367",0,"Lorenzo","2017"
"AA_0368",0,"Lorenzo","2017"
"AA_0369",0,"Lorenzo","2017"
"AA_0370",0,"Lorenzo","2017"
"AA_0371",0,"Lorenzo","2017"
"AA_0372",0,"Lorenzo","2017"
"AA_0373",0,"Lorenzo","2017"
"AA_0374",0,"Lorenzo","2017"
"AA_0375",0,"Lorenzo","2017"
"AA_0376",0,"Lorenzo","2017"
"AA_0377",0,"Lorenzo","2017"
"AA_0378",0,"Lorenzo","2017"
"AA_0379",0,"Lorenzo","2017"
"AA_0380",0,"Lorenzo","2017"
"AA_0381",0,"Lorenzo","2017"
"AA_0382",0,"Lorenzo","2017"
"AA_0383",0,"Lorenzo","2017"
"AA_0384",0,"Lorenzo","2017"
"AA_0385",0,"Lorenzo","2017"
"AA_0386",0,"Lorenzo","2017"
"AA_0387",0,"Lorenzo","2017"
"AA_0388",0,"Lorenzo","2017"
"AA_0389",0,"Lorenzo","2017"
"AA_0390",0,"Lorenzo","2017"
"AA_0391",0,"Lorenzo","2017"
"AA_0392",0,"Lorenzo","2017"
"AA_0393",0,"Lorenzo","2017"
"AA_0394",0,"Lorenzo","2017"
"AA_0395",0,"Lorenzo","2017"
"AA_0396",0,"Lorenzo","2017"
"AA_0397",2062500,"Lorenzo","2017"
"AA_0398",0,"Lorenzo","2017"
"AA_0399",0,"Lorenzo","2017"
"AA_0400",0,"Lorenzo","2017"
"AA_0401",0,"Lorenzo","2017"
"AA_0402",0,"Lorenzo","2017"
"AA_0403",0,"Lorenzo","2017"
"AA_0404",0,"Lorenzo","2017"
"AA_0405",0,"Lorenzo","2017"
