Year ,Transect,Code ,Mouse_ID,CEWE_Tissue,CEWE_DNA,qPCR_Result_C,18S_PCR_C,18S_Sequence_C,COI_PCR_C,COI_Sequence_C,ORF_PCR_C,ORF_Sequence_C,ILWE_Tissue,ILWE_DNA,qPCR_Result_I,18S_PCR_I,18S_Sequence_I,COI_PCR_I,COI_Sequence_I,ORF_PCR_I,ORF_Sequence_I,
2014,HZ_BR ,STAFF ,SK_2826,,,,,,,,,,,,,,,,,,,
2014,HZ_BR ,DANE22 ,SK_2827,,,,,,,,,,,,,,,,,,,
2014,HZ_BR ,TEMP8c ,SK_2828,,,,,,,,,,,,,,,,,,,
2014,HZ_BR ,DANE22 ,SK_2829,,,,,,,,,,,,,,,,,,,
2014,HZ_BR ,DANE22 ,SK_2830,,,,,,,,,,,,,,,,,,,
2014,HZ_BR ,DANE22 ,SK_2831,,,,,,,,,,,,,,,,,,,
2014,HZ_BR ,NEUG21 ,SK_2832,,,,,,,,,,,,,,,,,,,
2014,HZ_BR ,NEUG21 ,SK_2833,,,,,,,,,,,,,,,,,,,
2014,HZ_BR ,NEUG21 ,SK_2834,,,,,,,,,,,,,,,,,,,
2014,HZ_BR ,HAMM ,SK_2835,,,,,,,,,,,,,,,,,,,
2014,HZ_BR ,BEETZ ,SK_2836,,,,,,,,,,,,,,,,,,,
2014,HZ_BR ,BEETZ ,SK_2837,,,,,,,,,,,,,,,,,,,
2014,HZ_BR ,BEETZ ,SK_2838,,,,,,,,,,,,,,,,,,,
2014,HZ_BR ,FRFE11 ,SK_2839,,,,,,,,,,,,,,,,,,,
2014,HZ_BR ,FRFE11 ,SK_2840,,,,,,,,,,,,,,,,,,,
2014,HZ_BR ,FRFE11 ,SK_2841,,,,,,,,,,,,,,,,,,,
2014,HZ_BR ,FRFE11 ,SK_2842,,,,,,,,,,,,,,,,,,,
2014,HZ_BR ,FRFE11 ,SK_2843,,,,,,,,,,,,,,,,,,,
2014,HZ_BR ,DANE22 ,SK_2844,,,,,,,,,,,,,,,,,,,
2014,HZ_BR ,NEUR14 ,SK_2845,,,,,,,,,,,,,,,,,,,
2014,HZ_BR ,NEUR14 ,SK_2846,,,,,,,,,,,,,,,,,,,
2014,HZ_BR ,DANE22 ,SK_2847,,,,,,,,,,,,,,,,,,,
2014,HZ_BR ,DANE22 ,SK_2848,,,,,,,,,,,,,,,,,,,
2014,HZ_BR ,NEUR14 ,SK_2849,,,,,,,,,,,,,,,,,,,
2014,HZ_BR ,ZACK20 ,SK_2850,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,KVET3 ,SK_2851,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,KAC2 ,SK_2852,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,CHOT1 ,SK_2853,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,CHOT1 ,SK_2854,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,KAC2 ,SK_2855,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,VRB7 ,SK_2856,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,VRB7 ,SK_2857,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,NEPO1 ,SK_2858,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,NEB3 ,SK_2859,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,NEB3 ,SK_2860,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,NEB3 ,SK_2861,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,NEPO1 ,SK_2862,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,VRBI4 ,SK_2863,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,KVET3 ,SK_2864,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,DODV ,SK_2865,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,DODV ,SK_2866,,,,,,,,,,,,,,,,,,,
