"Mouse_ID","Feces_g","year","counter","Date_count","N_oocysts_sq1","N_oocysts_sq2","N_oocysts_sq3","N_oocysts_sq4","N_oocysts_sq5","N_oocysts_sq6","N_oocysts_sq7","N_oocysts_sq8","mean_neubauer","comments","PBS_dil_in_microL","oocysts_per_microL","OPG"
"AA_0354",0.08,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0355",0.41,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0356",0.16,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0358",0.05,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0365",0.08,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0367",0.06,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0370",0.73,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0374",0.22,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0393",0.13,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0394",0.6,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0403",0.67,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0422",0.29,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0424",1.11,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0431",0.68,2017,"Alice","March2018",8,7,4,4,9,6,6,4,6,"",100,60,8824
"AA_0432",0.48,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0433",0.01,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0434",0.16,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0436",0.64,2017,"Alice","March2018",5,6,4,9,4,3,4,8,5.375,"",100,53.75,8398
"AA_0437",0.1,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0438",0.32,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0439",0.49,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0442",0.43,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0443",0.26,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0444",0.68,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0445",0.56,2017,"Alice","March2018",69,69,66,63,69,69,66,63,66.75,"",100,667.5,119196
"AA_0447",0.2,2017,"Alice","March2018",7,6,7,6,4,5,2,4,5.125,"",1000,51.25,256250
"AA_0465",0.38,2017,"Alice","March2018",1,0,1,2,0,0,1,2,0.875,"",100,8.75,2303
"AA_0466",0.53,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0469",0.44,2017,"Alice","March2018",58,57,56,61,66,84,77,60,64.875,"",100,648.75,147443
"AA_0470",0.32,2017,"Alice","March2018",1,0,0,0,0,0,0,0,0.125,"",100,1.25,391
"AA_0509",0.16,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"AA_0510",0.2,2017,"Alice","March2018",0,0,0,0,0,0,0,0,0,"",100,0,0
