counter,Mouse_ID,Feces_g,Comments,PBS_dil,Status,N_oocysts_sq1,X,X.1,X.2,N_oocysts_sq2,X.3,X.4,X.5,oocysts_in_feces,OPG,Nematoda,Insgesamt,potassium.dichromat,comment,year
Lorenzo,AA_0406,0.31,,1ml,positive*,0,0,0,0,0,0,0,0,0,0,positive,NA,NA,,2017
Lorenzo,AA_0407,0.35,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0408,0.39,,1ml,,1,1,2,2,3,2,1,2,17500,44872,,NA,NA,,2017
Lorenzo,AA_0409,0.74,,1ml,,2,4,5,3,4,3,6,1,35000,47297,,NA,NA,,2017
Lorenzo,AA_0410,0.18,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0411,0.88,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0412,0.58,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0413,0.16,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0414,1.06,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0422,0.29,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0423,0.27,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0424,1.11,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,rotten,2017
Lorenzo,AA_0425,0.16,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0426,0.35,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,rotten,2017
Lorenzo,AA_0427,0.62,,1ml,,1,0,0,0,0,0,0,0,1250,2016,,NA,NA,rotten,2017
Lorenzo,AA_0428,1.19,,1ml,,0,1,2,5,0,3,0,3,17500,14706,positive,NA,NA,rotten,2017
Lorenzo,AA_0429,0.81,,1ml,,1,1,0,0,0,0,0,3,6250,7716,,NA,NA,rotten,2017
Lorenzo,AA_0430,0.64,,1ml,,41,32,22,19,38,29,35,29,306250,478516,,NA,NA,rotten,2017
Lorenzo,AA_0431,0.68,,1ml,,0,0,3,2,0,0,4,3,15000,22059,,NA,NA,rotten,2017
Lorenzo,AA_0432,0.48,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,rotten,2017
Lorenzo,AA_0433,0.01,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0434,0.16,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0435,0.69,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,positive,NA,NA,,2017
Lorenzo,AA_0436,0.64,,1ml,,1,0,0,0,2,1,0,0,5000,7813,,NA,NA,,2017
Lorenzo,AA_0437,0.1,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0438,0.32,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0439,0.49,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,rotten,2017
Lorenzo,AA_0440,0.81,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,positive,NA,NA,rotten,2017
Lorenzo,AA_0441,0.11,,1ml,positive*,0,0,0,0,0,0,0,0,0,0,positive,NA,NA,,2017
Lorenzo,AA_0442,0.43,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0443,0.26,,1ml,positive*,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0444,0.68,,1ml,positive*,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0445,0.56,,1ml,,8,7,13,14,17,10,15,12,120000,214286,,NA,NA,,2017
Lorenzo,AA_0446,0.23,,1ml,,45,30,34,27,30,34,30,33,328750,1429348,,NA,NA,,2017
Lorenzo,AA_0447,0.2,,1ml,,9,9,8,7,11,11,4,5,80000,400000,,NA,NA,,2017
Lorenzo,AA_0448,0.51,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0449,0.05,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0450,0.08,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0451,0.2,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0452,0.23,,1ml,,1,0,2,0,3,5,2,2,18750,81522,,NA,NA,,2017
Lorenzo,AA_0453,0.19,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0454,0.26, but in the same cage as AA_0463!!!!,1ml,,8,13,10,10,11,23,19,11,131250,504808,,NA,NA,,2017
Lorenzo,AA_0455,0.54,,1ml,,0,3,0,2,3,2,2,0,15000,27778,,NA,NA,,2017
Lorenzo,AA_0456,0.49,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0457,0.59,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0458,0.58,,1ml,positive*,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0459,0.53,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0460,0.76,,1ml,missing,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,NA,NA,,2017
Lorenzo,AA_0461,0.01,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0462,0.17,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0463,0.01,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
